kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 9 0 0 0 0 0 0 0 0 
_1.ptx 98 : 9 28 0 0 0 0 0 0 0 
_1.ptx 99 : 9 64 0 0 0 0 0 0 0 
_1.ptx 100 : 9 94 0 0 0 0 0 0 0 
_1.ptx 101 : 9 99 0 0 0 0 0 0 0 
_1.ptx 105 : 64 3570 1536 0 0 64 64 0 0 
_1.ptx 106 : 64 449 0 0 0 0 0 0 0 
_1.ptx 107 : 64 704 0 0 0 0 0 0 0 
_1.ptx 108 : 64 15305 6656 0 0 64 64 0 0 
_1.ptx 109 : 64 384 0 0 0 0 0 0 0 
_1.ptx 110 : 64 512 0 0 0 0 0 0 0 
_1.ptx 111 : 64 48 0 0 0 0 0 0 0 
_1.ptx 113 : 56 168 0 0 0 0 0 0 0 
_1.ptx 114 : 56 561 0 0 0 0 0 0 0 
_1.ptx 115 : 56 616 0 0 0 0 0 0 0 
_1.ptx 116 : 56 1663 128 0 0 56 56 0 0 
_1.ptx 117 : 56 560 0 0 0 0 0 0 0 
_1.ptx 118 : 56 561 0 0 0 0 0 0 0 
_1.ptx 119 : 56 616 0 0 0 0 0 0 0 
_1.ptx 120 : 56 280 1728 0 0 56 56 0 0 
_1.ptx 122 : 56 336 0 0 0 0 0 0 0 
_1.ptx 123 : 56 616 0 0 0 0 0 0 0 
_1.ptx 124 : 56 281 0 0 0 56 56 0 0 
_1.ptx 126 : 56 336 0 0 0 0 0 0 0 
_1.ptx 127 : 56 170 0 0 0 0 0 0 0 
_1.ptx 128 : 56 327 32 0 0 56 56 0 0 
_1.ptx 129 : 56 226 0 0 0 56 56 0 0 
_1.ptx 130 : 56 224 0 0 0 56 56 0 0 
_1.ptx 131 : 56 616 0 0 0 0 0 0 0 
_1.ptx 134 : 64 640 0 0 0 0 0 0 0 
_1.ptx 135 : 64 640 0 0 0 0 0 0 0 
_1.ptx 136 : 64 512 0 0 0 0 0 0 0 
_1.ptx 137 : 64 330 0 0 0 0 0 0 0 
_1.ptx 141 : 131072 842816 0 0 0 0 0 0 0 
_1.ptx 66 : 131072 875744 0 0 0 0 0 0 0 
_1.ptx 67 : 131072 2078752 0 0 0 0 0 0 0 
_1.ptx 68 : 131072 957952 0 0 0 0 0 0 0 
_1.ptx 69 : 131072 1572832 0 0 0 0 0 0 0 
_1.ptx 70 : 131072 4891040 128 0 0 0 0 0 0 
_1.ptx 71 : 131072 1083264 0 0 0 0 0 0 0 
_1.ptx 72 : 131072 0 0 0 0 0 0 0 0 
_1.ptx 73 : 131072 1044384 0 0 0 0 0 0 0 
_1.ptx 74 : 131072 432768 0 0 0 0 0 0 0 
_1.ptx 75 : 131072 1462592 0 0 0 0 0 0 0 
_1.ptx 76 : 131072 27071424 65536 0 0 4096 4096 0 0 
_1.ptx 77 : 131072 811104 0 0 0 0 0 0 0 
_1.ptx 78 : 131072 1087616 0 0 0 0 0 0 0 
_1.ptx 79 : 131072 851679 0 0 0 0 0 0 9 
_1.ptx 81 : 9 64 0 0 0 0 0 0 0 
_1.ptx 82 : 9 47 0 0 0 9 9 0 0 
_1.ptx 84 : 9 28 0 0 0 0 0 0 0 
_1.ptx 85 : 9 55 0 0 0 0 0 0 0 
_1.ptx 86 : 9 100 0 0 0 0 0 0 0 
_1.ptx 87 : 9 48 32 0 0 9 9 0 0 
_1.ptx 89 : 9 30 0 0 0 0 0 0 0 
_1.ptx 90 : 9 108 0 0 0 0 0 0 0 
_1.ptx 91 : 9 99 0 0 0 0 0 0 0 
_1.ptx 92 : 9 2505 1152 0 0 9 9 0 0 
_1.ptx 93 : 9 65 0 0 0 0 0 0 0 
_1.ptx 94 : 9 38 0 0 0 9 9 0 0 
_1.ptx 95 : 9 99 0 0 0 0 0 0 0 
_1.ptx 96 : 9 74 0 0 0 0 0 0 0 
