kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1227 : 63 441 0 0 0 0 0 0 0 
_1.ptx 1228 : 63 630 0 0 0 0 0 0 0 
_1.ptx 1229 : 63 693 0 0 0 0 0 0 0 
_1.ptx 1230 : 63 536 0 7 6 0 0 0 0 
_1.ptx 1231 : 63 347 0 7 6 0 0 0 0 
_1.ptx 1233 : 63 568 0 7 6 0 0 0 0 
_1.ptx 1234 : 63 693 0 0 0 0 0 0 0 
_1.ptx 1235 : 63 347 0 7 6 0 0 0 0 
_1.ptx 1238 : 192 1920 0 0 0 0 0 0 0 
_1.ptx 1239 : 192 1536 0 0 0 0 0 0 0 
_1.ptx 1240 : 192 960 0 0 0 0 0 0 0 
_1.ptx 1243 : 32 192 0 0 0 0 0 0 0 
_1.ptx 1245 : 32 96 0 0 0 0 0 0 0 
_1.ptx 1246 : 32 288 0 2 1 0 0 0 0 
_1.ptx 1247 : 32 352 0 0 0 0 0 0 0 
_1.ptx 1248 : 32 160 128 0 0 1 1 0 0 
_1.ptx 1249 : 32 0 0 0 0 0 0 0 0 
_1.ptx 1251 : 32 288 0 2 1 0 0 0 0 
_1.ptx 1252 : 32 352 0 0 0 0 0 0 0 
_1.ptx 1253 : 32 224 0 0 0 0 0 0 0 
_1.ptx 1254 : 32 320 0 0 0 0 0 0 0 
_1.ptx 1255 : 32 352 0 0 0 0 0 0 0 
_1.ptx 1256 : 32 160 128 0 0 1 1 0 0 
_1.ptx 1259 : 32 192 0 0 0 0 0 0 0 
_1.ptx 884 : 499968 3434592 0 0 0 0 0 0 0 
_1.ptx 885 : 499968 6123840 128 0 0 0 0 0 0 
_1.ptx 886 : 499968 3558784 0 0 0 0 0 0 0 
_1.ptx 887 : 499968 4382240 0 0 0 0 0 0 0 
_1.ptx 888 : 499968 0 0 0 0 0 0 0 0 
_1.ptx 889 : 499968 3795168 0 0 0 0 0 0 0 
_1.ptx 890 : 499968 4144832 0 0 0 0 0 0 0 
_1.ptx 891 : 499968 4442624 0 0 0 0 0 0 0 
_1.ptx 892 : 499968 3730752 0 0 0 0 0 0 0 
_1.ptx 896 : 499968 3766208 0 0 0 0 0 0 0 
_1.ptx 898 : 499968 3837056 0 0 0 0 0 0 0 
_1.ptx 899 : 499968 5983648 0 0 0 0 0 0 0 
_1.ptx 900 : 499968 3632032 0 0 0 0 0 0 0 
_1.ptx 901 : 499968 4122432 0 0 0 0 0 0 0 
_1.ptx 902 : 499968 5851232 0 0 0 0 0 0 0 
_1.ptx 903 : 499968 4171136 0 0 0 0 0 0 0 
_1.ptx 904 : 499968 5879424 0 0 0 0 0 0 0 
_1.ptx 905 : 499968 4059904 0 0 0 0 0 0 0 
_1.ptx 906 : 499968 5839456 0 0 0 0 0 0 0 
_1.ptx 907 : 499968 5783040 0 0 0 0 0 0 0 
_1.ptx 908 : 499968 1856928 0 0 0 0 0 0 0 
_1.ptx 909 : 499968 5780448 0 0 0 0 0 0 0 
_1.ptx 910 : 499968 155735328 1999872 0 0 15624 15624 0 0 
_1.ptx 911 : 499968 3546784 0 31248 15624 0 0 0 0 
_1.ptx 913 : 499968 5927968 0 0 0 0 0 0 0 
_1.ptx 914 : 499968 5878304 0 0 0 0 0 0 0 
_1.ptx 915 : 499968 4154400 0 0 0 0 0 0 0 
_1.ptx 916 : 499968 5531264 0 0 0 0 0 0 0 
_1.ptx 917 : 499968 4082560 0 0 0 0 0 0 0 
_1.ptx 918 : 499968 5840864 0 0 0 0 0 0 0 
_1.ptx 919 : 499968 4089536 0 0 0 0 0 0 0 
_1.ptx 920 : 499968 5496608 0 0 0 0 0 0 0 
_1.ptx 921 : 499968 5813632 0 0 0 0 0 0 0 
_1.ptx 922 : 499968 5802272 0 0 0 0 0 0 0 
_1.ptx 923 : 499968 150619520 1999872 0 0 15624 15624 0 0 
_1.ptx 924 : 499968 3262016 0 31248 15624 0 0 0 0 
_1.ptx 926 : 499968 3497824 0 0 0 0 0 0 0 
_1.ptx 927 : 499968 4068960 0 0 0 0 0 0 0 
_1.ptx 928 : 499968 3634528 0 0 0 0 0 0 0 
_1.ptx 929 : 499968 4317152 0 0 0 0 0 0 0 
_1.ptx 930 : 499968 0 0 0 0 0 0 0 0 
_1.ptx 931 : 499968 3487744 0 0 0 0 0 0 0 
_1.ptx 934 : 4499712 32114016 0 0 0 0 0 0 0 
_1.ptx 935 : 4499712 39452928 0 0 0 0 0 0 0 
_1.ptx 936 : 4499712 26139433 0 0 0 0 0 0 9765 
_1.ptx 938 : 997983 7620686 0 0 0 0 0 0 0 
_1.ptx 939 : 997983 8871170 0 0 0 0 0 0 0 
_1.ptx 940 : 997983 9085066 0 0 0 0 0 0 0 
_1.ptx 941 : 997983 11894362 0 0 0 0 0 0 0 
_1.ptx 942 : 997983 11890437 0 0 0 0 0 0 0 
_1.ptx 943 : 997983 11417731 0 0 0 0 0 0 0 
_1.ptx 944 : 997983 8536485 0 0 0 0 0 0 0 
_1.ptx 945 : 997983 11840449 0 0 0 0 0 0 0 
_1.ptx 946 : 997983 8385002 0 0 0 0 0 0 0 
_1.ptx 947 : 997983 11345090 0 0 0 0 0 0 0 
_1.ptx 948 : 997983 11720631 0 0 0 0 0 0 0 
_1.ptx 949 : 997983 9528021 0 66402 39060 0 0 0 0 
_1.ptx 950 : 997983 10880910 0 0 0 0 0 0 0 
_1.ptx 951 : 997983 8327507 0 0 0 0 0 0 0 
_1.ptx 952 : 997983 11627861 0 0 0 0 0 0 0 
_1.ptx 953 : 997983 8258282 0 0 0 0 0 0 0 
_1.ptx 954 : 997983 11284060 0 0 0 0 0 0 0 
_1.ptx 955 : 997983 11676067 0 0 0 0 0 0 0 
_1.ptx 956 : 997983 9715271 0 66402 39060 0 0 0 0 
_1.ptx 957 : 997983 11612578 0 0 0 0 0 0 0 
_1.ptx 958 : 997983 6325810 0 66402 39060 0 0 0 0 
_1.ptx 961 : 4499712 53421920 0 0 0 0 0 0 0 
_1.ptx 963 : 4499712 35454368 0 0 0 0 0 0 0 
_1.ptx 964 : 4499712 33619808 0 0 0 0 0 0 0 
_1.ptx 965 : 4499712 39777536 0 0 0 0 0 0 0 
_1.ptx 966 : 4499712 29227616 0 0 0 0 0 0 0 
_1.ptx 967 : 499968 3934720 0 0 0 0 0 0 0 
_1.ptx 972 : 499968 3573504 0 0 0 0 0 0 0 
_1.ptx 973 : 499968 4349760 0 0 0 0 0 0 0 
_1.ptx 974 : 499968 3635732 0 0 0 0 0 0 1953 
_1.ptx 976 : 1953 15871 0 0 0 0 0 0 0 
_1.ptx 977 : 1953 21322 0 0 0 0 0 0 0 
_1.ptx 978 : 1953 15837 0 0 0 0 0 0 0 
_1.ptx 979 : 1953 22654 0 0 0 0 0 0 0 
_1.ptx 980 : 1953 15880 0 0 0 0 0 0 0 
_1.ptx 981 : 1953 21348 0 0 0 0 0 0 0 
_1.ptx 982 : 1953 22602 0 0 0 0 0 0 0 
_1.ptx 983 : 1953 7484 0 0 0 0 0 0 0 
_1.ptx 984 : 1953 17185 0 1953 1953 0 0 0 0 
_1.ptx 985 : 1953 7356 0 0 0 0 0 0 0 
_1.ptx 986 : 1953 13430 0 0 0 0 0 0 0 
_1.ptx 987 : 1953 13662 0 0 0 0 0 0 0 
_1.ptx 988 : 1953 16818 0 0 0 0 0 0 0 
_1.ptx 989 : 1953 18626 0 0 0 0 0 0 0 
_1.ptx 990 : 1953 15577 0 0 0 0 0 0 0 
_1.ptx 991 : 1953 21359 0 0 0 0 0 0 0 
_1.ptx 992 : 1953 22562 0 0 0 0 0 0 0 
_1.ptx 993 : 1953 10506 3904 0 0 1953 1953 0 0 
_1.ptx 995 : 1953 13913 0 0 0 0 0 0 0 
_1.ptx 996 : 1953 10685 0 1953 1953 0 0 0 0 
_1.ptx 999 : 499968 4210432 0 0 0 0 0 0 0 
_1.ptx 1000 : 499968 3745152 0 0 0 0 0 0 0 
_1.ptx 1001 : 499968 4404992 0 0 0 0 0 0 0 
_1.ptx 1002 : 499968 0 0 0 0 0 0 0 0 
_1.ptx 1003 : 499968 3764320 0 0 0 0 0 0 0 
_1.ptx 1007 : 4499712 38281376 0 0 0 0 0 0 0 
_1.ptx 1009 : 4499712 34302496 0 0 0 0 0 0 0 
_1.ptx 1010 : 4499712 39753184 0 0 0 0 0 0 0 
_1.ptx 1011 : 4499712 26682642 0 0 0 0 0 0 9765 
_1.ptx 1013 : 997983 7404129 0 0 0 0 0 0 0 
_1.ptx 1014 : 997983 8663216 0 0 0 0 0 0 0 
_1.ptx 1015 : 997983 8766216 0 0 0 0 0 0 0 
_1.ptx 1016 : 997983 11813629 0 0 0 0 0 0 0 
_1.ptx 1017 : 997983 11477704 0 0 0 0 0 0 0 
_1.ptx 1018 : 997983 8742320 0 0 0 0 0 0 0 
_1.ptx 1019 : 997983 11811040 0 0 0 0 0 0 0 
_1.ptx 1020 : 997983 8463514 0 0 0 0 0 0 0 
_1.ptx 1021 : 997983 11780232 0 0 0 0 0 0 0 
_1.ptx 1022 : 997983 11839907 0 0 0 0 0 0 0 
_1.ptx 1023 : 997983 9893444 0 66402 39060 0 0 0 0 
_1.ptx 1025 : 997983 11632720 0 0 0 0 0 0 0 
_1.ptx 1026 : 997983 11271614 0 0 0 0 0 0 0 
_1.ptx 1027 : 997983 8712433 0 0 0 0 0 0 0 
_1.ptx 1028 : 997983 11861983 0 0 0 0 0 0 0 
_1.ptx 1029 : 997983 8607445 0 0 0 0 0 0 0 
_1.ptx 1030 : 997983 11593368 0 0 0 0 0 0 0 
_1.ptx 1031 : 997983 11832764 0 0 0 0 0 0 0 
_1.ptx 1032 : 997983 10353479 0 66402 39060 0 0 0 0 
_1.ptx 1033 : 997983 6998059 0 66402 39060 0 0 0 0 
_1.ptx 1035 : 997983 10973104 0 66402 39060 0 0 0 0 
_1.ptx 1036 : 997983 11540183 0 0 0 0 0 0 0 
_1.ptx 1037 : 997983 6785935 0 66402 39060 0 0 0 0 
_1.ptx 1040 : 4499712 55154816 0 0 0 0 0 0 0 
_1.ptx 1041 : 4499712 40016928 0 0 0 0 0 0 0 
_1.ptx 1042 : 4499712 29863840 0 0 0 0 0 0 0 
_1.ptx 1045 : 499968 3621024 0 0 0 0 0 0 0 
_1.ptx 1047 : 499968 1845216 0 0 0 0 0 0 0 
_1.ptx 1048 : 499968 5759232 0 31248 15624 0 0 0 0 
_1.ptx 1049 : 499968 5616544 0 0 0 0 0 0 0 
_1.ptx 1050 : 499968 3168384 1999872 0 0 15624 15624 0 0 
_1.ptx 1052 : 499968 5266016 0 31248 15624 0 0 0 0 
_1.ptx 1053 : 499968 5656672 0 0 0 0 0 0 0 
_1.ptx 1054 : 499968 3227040 1999872 0 0 15624 15624 0 0 
_1.ptx 1056 : 499968 3311744 0 0 0 0 0 0 0 
_1.ptx 1075 : 32 192 0 0 0 0 0 0 0 
_1.ptx 1076 : 32 96 0 0 0 0 0 0 0 
_1.ptx 1077 : 32 192 0 0 0 0 0 0 0 
_1.ptx 1078 : 32 256 0 0 0 0 0 0 0 
_1.ptx 1079 : 32 192 0 0 0 0 0 0 0 
_1.ptx 1085 : 32 224 0 0 0 0 0 0 0 
_1.ptx 1087 : 32 192 0 0 0 0 0 0 0 
_1.ptx 1089 : 32 192 0 0 0 0 0 0 0 
_1.ptx 1090 : 32 352 0 0 0 0 0 0 0 
_1.ptx 1091 : 32 192 0 0 0 0 0 0 0 
_1.ptx 1092 : 32 224 0 0 0 0 0 0 0 
