kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 973 : 1071104 6426624 0 0 0 0 0 0 0 
_1.ptx 974 : 1071104 6426624 0 0 0 0 0 0 0 
_1.ptx 975 : 1071104 21244704 0 0 0 0 0 0 0 
_1.ptx 976 : 1071104 6539808 0 0 0 0 0 0 0 
_1.ptx 977 : 1071104 11910848 0 0 0 0 0 0 0 
_1.ptx 978 : 1071104 8085824 128 0 0 0 0 0 0 
_1.ptx 979 : 1071104 9269024 0 0 0 0 0 0 0 
_1.ptx 980 : 1071104 4976 0 0 0 0 0 0 1 
_1.ptx 982 : 1070376 7844376 0 0 0 0 0 0 0 
_1.ptx 983 : 1070376 15590824 0 0 0 0 0 0 0 
_1.ptx 984 : 1070376 6682768 0 0 0 0 0 0 0 
_1.ptx 985 : 1070376 11999576 0 0 0 0 0 0 0 
_1.ptx 986 : 1070376 12080152 0 0 0 0 0 0 0 
_1.ptx 987 : 1070376 25415976 4281504 0 0 33450 33450 0 0 
_1.ptx 989 : 1070376 23173784 0 0 0 0 0 0 0 
_1.ptx 990 : 1070376 11796056 0 0 0 0 0 0 0 
_1.ptx 991 : 1070376 37257848 4281504 0 0 33450 33450 0 0 
_1.ptx 994 : 1071104 6451744 0 0 0 0 0 0 0 
_1.ptx 1015 : 1070592 26735488 0 0 0 0 0 0 0 
_1.ptx 1016 : 1070592 26022816 128 0 0 0 0 0 0 
_1.ptx 1017 : 1070592 8781632 0 0 0 0 0 0 0 
_1.ptx 1018 : 1070592 6554784 0 0 0 0 0 0 0 
_1.ptx 1019 : 1070592 6619104 0 0 0 0 0 0 0 
_1.ptx 1020 : 1070592 12175136 0 0 0 0 0 0 0 
_1.ptx 1021 : 1070592 6579648 0 0 0 0 0 0 0 
_1.ptx 1022 : 1070592 11955904 0 0 0 0 0 0 0 
_1.ptx 1023 : 1070592 9726272 0 0 0 0 0 0 0 
_1.ptx 1024 : 1070592 8669088 0 0 0 0 0 0 0 
_1.ptx 1025 : 1070592 1296 0 0 0 0 0 0 1 
_1.ptx 1027 : 1070376 7645592 0 0 0 0 0 0 0 
_1.ptx 1028 : 1070376 10973744 0 0 0 0 0 0 0 
_1.ptx 1029 : 1070376 6495248 0 0 0 0 0 0 0 
_1.ptx 1030 : 1070376 31576296 0 0 0 0 0 0 0 
_1.ptx 1031 : 1070376 11847928 0 0 0 0 0 0 0 
_1.ptx 1032 : 1070376 52654984 4281504 0 0 33450 33450 0 0 
_1.ptx 1034 : 1070376 6507376 0 0 0 0 0 0 0 
_1.ptx 1035 : 1070376 40401672 0 0 0 0 0 0 0 
_1.ptx 1036 : 1070376 11816984 0 0 0 0 0 0 0 
_1.ptx 1037 : 1070376 53858856 4281504 0 0 33450 33450 0 0 
_1.ptx 1039 : 1070376 39489816 0 0 0 0 0 0 0 
_1.ptx 1040 : 1070376 11814904 0 0 0 0 0 0 0 
_1.ptx 1041 : 1070376 54653960 4281504 0 0 33450 33450 0 0 
_1.ptx 1043 : 1070376 6486896 0 0 0 0 0 0 0 
_1.ptx 1044 : 1070376 42716920 0 0 0 0 0 0 0 
_1.ptx 1045 : 1070376 11818712 0 0 0 0 0 0 0 
_1.ptx 1046 : 1070376 53042096 4281504 0 0 33450 33450 0 0 
_1.ptx 1048 : 1070376 43609656 0 0 0 0 0 0 0 
_1.ptx 1049 : 1070376 11819576 0 0 0 0 0 0 0 
_1.ptx 1050 : 1070376 53188200 4281504 0 0 33450 33450 0 0 
_1.ptx 1052 : 1070376 6462224 0 0 0 0 0 0 0 
_1.ptx 1053 : 1070376 42752984 0 0 0 0 0 0 0 
_1.ptx 1054 : 1070376 11829624 0 0 0 0 0 0 0 
_1.ptx 1055 : 1070376 51212072 499264 0 0 33450 33450 0 0 
_1.ptx 1058 : 1070592 6464640 0 0 0 0 0 0 0 
