kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1393 : 4200000 25224352 0 0 0 0 0 0 0 
_1.ptx 1398 : 448 2816 0 0 0 0 0 0 0 
_1.ptx 1400 : 4200448 25221856 0 0 0 0 0 0 0 
_1.ptx 1401 : 4200448 33643520 0 0 0 0 0 0 0 
_1.ptx 1402 : 4200448 2720 0 0 0 0 0 0 0 
_1.ptx 1404 : 4200000 25209984 0 0 0 0 0 0 0 
_1.ptx 1405 : 4200000 1716438208 0 0 0 0 0 0 0 
_1.ptx 1406 : 4200000 1570656416 25088 0 0 131250 131250 0 0 
_1.ptx 1010 : 1000448 6147648 0 0 0 0 0 0 0 
_1.ptx 1409 : 4200448 25240096 0 0 0 0 0 0 0 
_1.ptx 1011 : 1000448 6169440 0 0 0 0 0 0 0 
_1.ptx 1012 : 1000448 17158656 0 0 0 0 0 0 0 
_1.ptx 1013 : 1000448 6075456 0 0 0 0 0 0 0 
_1.ptx 1014 : 1000448 11099552 0 0 0 0 0 0 0 
_1.ptx 1015 : 1000448 31578176 128 0 0 0 0 0 0 
_1.ptx 1016 : 1000448 8137824 0 0 0 0 0 0 0 
_1.ptx 1017 : 1000448 2880 0 0 0 0 0 0 0 
_1.ptx 1019 : 1000000 7159808 0 0 0 0 0 0 0 
_1.ptx 1020 : 1000000 10626656 0 0 0 0 0 0 0 
_1.ptx 1021 : 1000000 6206368 0 0 0 0 0 0 0 
_1.ptx 1022 : 1000000 28878144 0 0 0 0 0 0 0 
_1.ptx 1023 : 1000000 11106336 0 0 0 0 0 0 0 
_1.ptx 1024 : 1000000 58886560 4000000 0 0 31250 31250 0 0 
_1.ptx 1025 : 1000000 6110336 0 0 0 0 0 0 0 
_1.ptx 1026 : 1000000 45732608 0 0 0 0 0 0 0 
_1.ptx 1027 : 1000000 11053024 0 0 0 0 0 0 0 
_1.ptx 1028 : 1000000 60607968 4000000 0 0 31250 31250 0 0 
_1.ptx 1029 : 1000000 6068256 0 0 0 0 0 0 0 
_1.ptx 1030 : 1000000 47325120 0 0 0 0 0 0 0 
_1.ptx 1031 : 1000000 11036704 0 0 0 0 0 0 0 
_1.ptx 1032 : 1000000 59141600 4000000 0 0 31250 31250 0 0 
_1.ptx 1232 : 4200448 25487264 0 0 0 0 0 0 0 
_1.ptx 1233 : 4200448 25475360 0 0 0 0 0 0 0 
_1.ptx 1234 : 4200448 87390784 0 0 0 0 0 0 0 
_1.ptx 1035 : 1000448 6054464 0 0 0 0 0 0 0 
_1.ptx 1235 : 4200448 1120861280 0 0 0 0 0 0 0 
_1.ptx 1236 : 4200448 69438688 0 0 0 0 0 0 0 
_1.ptx 1237 : 4200448 25680128 0 0 0 0 0 0 0 
_1.ptx 1238 : 4200448 46611456 0 0 0 0 0 0 0 
_1.ptx 1239 : 4200448 1082062272 0 0 0 0 0 0 0 
_1.ptx 1240 : 4200448 46444768 0 0 0 0 0 0 0 
_1.ptx 1241 : 4200448 42452384 0 0 0 0 0 0 0 
_1.ptx 1242 : 4200448 687022304 0 0 0 0 0 0 0 
_1.ptx 1243 : 4200448 671819008 0 0 0 0 0 0 0 
_1.ptx 1244 : 4200448 57614528 0 0 0 0 0 0 0 
_1.ptx 1245 : 4200448 33755296 0 0 0 0 0 0 0 
_1.ptx 1246 : 4200448 2688 0 0 0 0 0 0 0 
_1.ptx 1247 : 4200000 25548544 0 0 0 0 0 0 0 
_1.ptx 1248 : 4200000 33813792 0 0 0 0 0 0 0 
_1.ptx 1249 : 4200000 0 0 0 0 0 0 0 0 
_1.ptx 1250 : 4200000 29640480 0 0 0 0 0 0 0 
_1.ptx 1251 : 4200000 46301888 0 0 0 0 0 0 0 
_1.ptx 1252 : 4200000 49558240 0 0 0 0 0 0 0 
_1.ptx 1253 : 4200000 50097312 0 0 0 0 0 0 0 
_1.ptx 1254 : 4200000 1513817280 128 0 0 0 0 0 0 
_1.ptx 1255 : 4200000 1237703808 0 0 0 0 0 0 0 
_1.ptx 1256 : 4200000 25497280 0 0 0 0 0 0 0 
_1.ptx 1257 : 4200000 29731936 0 0 0 0 0 0 0 
_1.ptx 1260 : 4200000 29779360 0 0 0 0 0 0 0 
_1.ptx 1261 : 4200000 42516544 0 0 0 0 0 0 0 
_1.ptx 1265 : 12600000 88602816 0 0 0 0 0 0 0 
_1.ptx 1266 : 12600000 174882880 0 0 0 0 0 0 0 
_1.ptx 1267 : 12600000 138837824 0 0 0 0 0 0 0 
_1.ptx 1268 : 12600000 13128021248 150900608 0 0 1181250 393750 0 0 
_1.ptx 1269 : 12600000 88292096 0 0 0 0 0 0 0 
_1.ptx 1270 : 12600000 138684256 0 0 0 0 0 0 0 
_1.ptx 1271 : 12600000 20939760320 1409153536 0 0 12593836 393750 0 0 
_1.ptx 1272 : 12600000 75783040 0 0 0 0 0 0 0 
_1.ptx 1273 : 12600000 100832256 0 0 0 0 0 0 0 
_1.ptx 1274 : 12600000 0 0 0 0 0 0 0 0 
_1.ptx 1276 : 12600000 5785727648 0 0 0 0 0 0 0 
_1.ptx 1277 : 12600000 138799840 0 0 0 0 0 0 0 
_1.ptx 1278 : 12600000 13450843072 150952192 0 0 1181250 393750 0 0 
_1.ptx 1279 : 12600000 101072928 0 0 0 0 0 0 0 
_1.ptx 1280 : 12600000 25268160 0 0 0 0 0 0 0 
_1.ptx 1282 : 8400000 59012800 0 0 0 0 0 0 0 
_1.ptx 1283 : 8400000 125242176 0 0 0 0 0 0 0 
_1.ptx 1284 : 8400000 3139849600 0 0 0 0 0 0 0 
_1.ptx 1285 : 8400000 92532928 0 0 0 0 0 0 0 
_1.ptx 1286 : 8400000 6981964608 40514816 0 0 787500 262500 0 0 
_1.ptx 1287 : 8400000 58852640 0 0 0 0 0 0 0 
_1.ptx 1288 : 8400000 109990688 0 0 0 0 0 0 0 
_1.ptx 1289 : 8400000 92472768 0 0 0 0 0 0 0 
_1.ptx 1290 : 8400000 13721843424 1007193984 0 0 8395958 262500 0 0 
_1.ptx 1291 : 8400000 92549440 0 0 0 0 0 0 0 
_1.ptx 1292 : 8400000 8511123744 17306496 0 0 787500 262500 0 0 
_1.ptx 1293 : 8400000 413320640 0 0 0 0 0 0 0 
_1.ptx 1294 : 8400000 50410880 0 0 0 0 0 0 0 
_1.ptx 1296 : 4200000 25254464 0 0 0 0 0 0 0 
_1.ptx 1298 : 12600000 126110688 0 0 0 0 0 0 0 
_1.ptx 1299 : 12600000 100921760 0 0 0 0 0 0 0 
_1.ptx 1300 : 12600000 25208608 0 0 0 0 0 0 0 
_1.ptx 1301 : 8400000 58892768 0 0 0 0 0 0 0 
_1.ptx 1302 : 8400000 125852960 0 0 0 0 0 0 0 
_1.ptx 1303 : 8400000 3443146592 0 0 0 0 0 0 0 
_1.ptx 1304 : 8400000 92504672 0 0 0 0 0 0 0 
_1.ptx 1305 : 8400000 7151647552 44756608 0 0 787500 262500 0 0 
_1.ptx 1306 : 8400000 58848960 0 0 0 0 0 0 0 
_1.ptx 1307 : 8400000 107545120 0 0 0 0 0 0 0 
_1.ptx 1308 : 8400000 92452576 0 0 0 0 0 0 0 
_1.ptx 1309 : 8400000 13871510208 1006025088 0 0 8395920 262500 0 0 
_1.ptx 1310 : 8400000 92520000 0 0 0 0 0 0 0 
_1.ptx 1311 : 8400000 9381755840 31212928 0 0 787500 262500 0 0 
_1.ptx 1312 : 8400000 412545792 0 0 0 0 0 0 0 
_1.ptx 1313 : 8400000 92499008 0 0 0 0 0 0 0 
_1.ptx 1315 : 12600000 126091232 0 0 0 0 0 0 0 
_1.ptx 1316 : 12600000 100865728 0 0 0 0 0 0 0 
_1.ptx 1317 : 12600000 25203456 0 0 0 0 0 0 0 
_1.ptx 1318 : 8400000 58838688 0 0 0 0 0 0 0 
_1.ptx 1319 : 8400000 107429248 0 0 0 0 0 0 0 
_1.ptx 1320 : 8400000 3905309024 0 0 0 0 0 0 0 
_1.ptx 1321 : 8400000 92483424 0 0 0 0 0 0 0 
_1.ptx 1322 : 8400000 7402391712 38860288 0 0 787500 262500 0 0 
_1.ptx 1323 : 8400000 58855296 0 0 0 0 0 0 0 
_1.ptx 1324 : 8400000 111059552 0 0 0 0 0 0 0 
_1.ptx 1325 : 8400000 92474112 0 0 0 0 0 0 0 
_1.ptx 1326 : 8400000 13727648704 1005234304 0 0 8395794 262500 0 0 
_1.ptx 1327 : 8400000 92522432 0 0 0 0 0 0 0 
_1.ptx 1328 : 8400000 9607364704 38331136 0 0 787500 262500 0 0 
_1.ptx 1329 : 8400000 413951232 0 0 0 0 0 0 0 
_1.ptx 1330 : 8400000 92469344 0 0 0 0 0 0 0 
_1.ptx 1332 : 12600000 138680512 0 0 0 0 0 0 0 
_1.ptx 1333 : 12600000 88284000 0 0 0 0 0 0 0 
_1.ptx 1334 : 12600000 88348384 0 0 0 0 0 0 0 
_1.ptx 1335 : 12600000 75747584 0 0 0 0 0 0 0 
_1.ptx 1336 : 12600000 100853472 0 0 0 0 0 0 0 
_1.ptx 1337 : 12600000 398208 0 0 0 0 0 0 59696 
_1.ptx 1339 : 12533645 5796870008 10895744 0 0 1181250 393750 0 0 
_1.ptx 1341 : 12533645 75316118 0 0 0 0 0 0 0 
_1.ptx 1342 : 12533645 88626391 0 0 0 0 0 0 0 
_1.ptx 1343 : 12533645 188188067 0 0 0 0 0 0 0 
_1.ptx 1344 : 12533645 87979981 0 0 0 0 0 0 0 
_1.ptx 1345 : 12533645 75523138 0 0 0 0 0 0 0 
_1.ptx 1346 : 12533645 87907298 0 0 0 0 0 0 0 
_1.ptx 1347 : 12533645 188202961 0 0 0 0 0 0 0 
_1.ptx 1348 : 12533645 76432506 0 0 0 0 0 0 0 
_1.ptx 1349 : 12533645 100384218 0 0 0 0 0 0 0 
_1.ptx 1350 : 12533645 75143 0 0 0 0 0 0 12307 
_1.ptx 1352 : 12521126 87741376 0 0 0 0 0 0 0 
_1.ptx 1353 : 12521126 4292674870 0 0 0 0 0 0 0 
_1.ptx 1354 : 12521126 87746395 0 0 0 0 0 0 0 
_1.ptx 1357 : 12533645 150788320 0 0 0 0 0 0 0 
_1.ptx 1358 : 12533645 5250935443 0 0 0 0 0 0 0 
_1.ptx 1359 : 12533645 138093951 0 0 0 0 0 0 0 
