kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 62 : 580608 3549824 0 0 0 0 0 0 0 
_1.ptx 63 : 580608 3572256 0 0 0 0 0 0 0 
_1.ptx 64 : 580608 8061056 0 0 0 0 0 0 0 
_1.ptx 65 : 580608 3513408 0 0 0 0 0 0 0 
_1.ptx 66 : 580608 6407936 0 0 0 0 0 0 0 
_1.ptx 67 : 580608 22282944 128 0 0 0 0 0 0 
_1.ptx 68 : 580608 18949632 128 0 0 0 0 0 0 
_1.ptx 69 : 580608 4142496 0 0 0 0 0 0 0 
_1.ptx 70 : 580608 6550816 0 0 0 0 0 0 0 
_1.ptx 71 : 580608 6432480 0 0 0 0 0 0 0 
_1.ptx 72 : 580608 36889536 2322432 0 0 18144 18144 0 0 
_1.ptx 73 : 580608 26089632 0 0 0 0 0 0 0 
_1.ptx 74 : 580608 25881856 0 0 0 0 0 0 0 
_1.ptx 75 : 580608 6433760 0 0 0 0 0 0 0 
_1.ptx 76 : 580608 4170464 0 0 0 0 0 0 0 
_1.ptx 77 : 580608 6140736 0 0 0 0 0 0 0 
_1.ptx 78 : 580608 6418048 0 0 0 0 0 0 0 
_1.ptx 79 : 580608 43258496 2322432 0 0 18144 18144 0 0 
_1.ptx 80 : 580608 33835552 0 0 0 0 0 0 0 
_1.ptx 81 : 580608 6056544 0 0 0 0 0 0 0 
_1.ptx 82 : 580608 6415360 0 0 0 0 0 0 0 
_1.ptx 83 : 580608 4177120 0 0 0 0 0 0 0 
_1.ptx 84 : 580608 6055456 0 0 0 0 0 0 0 
_1.ptx 85 : 580608 6412608 0 0 0 0 0 0 0 
_1.ptx 86 : 580608 44651360 2322432 0 0 18144 18144 0 0 
_1.ptx 87 : 580608 33774368 0 0 0 0 0 0 0 
_1.ptx 88 : 580608 6039648 0 0 0 0 0 0 0 
_1.ptx 89 : 580608 6412000 0 0 0 0 0 0 0 
_1.ptx 90 : 580608 4156416 0 0 0 0 0 0 0 
_1.ptx 91 : 580608 6058560 0 0 0 0 0 0 0 
_1.ptx 92 : 580608 6407040 0 0 0 0 0 0 0 
_1.ptx 93 : 580608 43175552 2322432 0 0 18144 18144 0 0 
_1.ptx 94 : 580608 33675520 0 0 0 0 0 0 0 
_1.ptx 95 : 580608 6022784 0 0 0 0 0 0 0 
_1.ptx 96 : 580608 6411072 0 0 0 0 0 0 0 
_1.ptx 97 : 580608 4163392 0 0 0 0 0 0 0 
_1.ptx 98 : 580608 6041088 0 0 0 0 0 0 0 
_1.ptx 99 : 580608 6416000 0 0 0 0 0 0 0 
_1.ptx 100 : 580608 42196384 2322432 0 0 18144 18144 0 0 
_1.ptx 102 : 580608 3513920 0 0 0 0 0 0 0 
_1.ptx 118 : 193536 1256128 0 0 0 0 0 0 0 
_1.ptx 119 : 193536 1288640 0 0 0 0 0 0 0 
_1.ptx 120 : 193536 1250240 0 0 0 0 0 0 0 
_1.ptx 121 : 193536 3799776 0 0 0 0 0 0 0 
_1.ptx 122 : 193536 2178400 0 0 0 0 0 0 0 
_1.ptx 123 : 193536 1450848 0 0 0 0 0 0 0 
_1.ptx 124 : 193536 4069120 0 0 0 0 0 0 0 
_1.ptx 125 : 193536 4476896 0 0 0 0 0 0 0 
_1.ptx 126 : 193536 2158016 0 0 0 0 0 0 0 
_1.ptx 127 : 193536 98735680 774144 0 0 6048 6048 0 0 
_1.ptx 129 : 193536 6347008 0 0 0 0 0 0 0 
_1.ptx 130 : 193536 2154528 0 0 0 0 0 0 0 
_1.ptx 131 : 193536 1417664 0 0 0 0 0 0 0 
_1.ptx 132 : 193536 3702496 0 0 0 0 0 0 0 
_1.ptx 133 : 193536 2151488 0 0 0 0 0 0 0 
_1.ptx 134 : 193536 101785280 774144 0 0 6048 6048 0 0 
_1.ptx 136 : 193536 3615328 0 0 0 0 0 0 0 
_1.ptx 137 : 193536 2150080 0 0 0 0 0 0 0 
_1.ptx 138 : 193536 1402176 0 0 0 0 0 0 0 
_1.ptx 139 : 193536 3563232 0 0 0 0 0 0 0 
_1.ptx 140 : 193536 2147424 0 0 0 0 0 0 0 
_1.ptx 141 : 193536 102686144 774144 0 0 6048 6048 0 0 
_1.ptx 143 : 193536 3463648 0 0 0 0 0 0 0 
_1.ptx 144 : 193536 2148416 0 0 0 0 0 0 0 
_1.ptx 145 : 193536 1398208 0 0 0 0 0 0 0 
_1.ptx 146 : 193536 3437440 0 0 0 0 0 0 0 
_1.ptx 147 : 193536 2148096 0 0 0 0 0 0 0 
_1.ptx 148 : 193536 101920320 774144 0 0 6048 6048 0 0 
_1.ptx 150 : 193536 10059520 0 0 0 0 0 0 0 
_1.ptx 151 : 193536 10211872 0 0 0 0 0 0 0 
_1.ptx 152 : 193536 10347840 0 0 0 0 0 0 0 
_1.ptx 153 : 193536 2154688 0 0 0 0 0 0 0 
_1.ptx 154 : 193536 1776224 0 0 0 0 0 0 0 
_1.ptx 155 : 193536 1781088 0 0 0 0 0 0 0 
_1.ptx 156 : 193536 1200192 0 0 0 0 0 0 0 
_1.ptx 157 : 193536 4315744 0 0 0 0 0 0 0 
_1.ptx 158 : 193536 4711712 0 0 0 0 0 0 0 
_1.ptx 159 : 193536 2144640 0 0 0 0 0 0 0 
_1.ptx 160 : 193536 1390464 0 0 0 0 0 0 0 
_1.ptx 161 : 193536 3768032 0 0 0 0 0 0 0 
_1.ptx 162 : 193536 2148384 0 0 0 0 0 0 0 
_1.ptx 163 : 193536 95470624 774144 0 0 6048 6048 0 0 
_1.ptx 164 : 193536 1195424 0 0 0 0 0 0 0 
_1.ptx 165 : 193536 2151008 0 0 0 0 0 0 0 
_1.ptx 166 : 193536 2151808 0 0 0 0 0 0 0 
_1.ptx 167 : 193536 2153344 0 0 0 0 0 0 0 
_1.ptx 168 : 193536 1197088 0 0 0 0 0 0 0 
