kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4504064 38349984 0 0 0 0 0 0 0 
_1.ptx 200 : 4504064 40593152 0 0 0 0 0 0 0 
_1.ptx 201 : 4504064 35303840 0 0 0 0 0 0 0 
_1.ptx 210 : 237056 1835904 0 0 0 0 0 0 0 
_1.ptx 211 : 237056 2108864 0 0 0 0 0 0 0 
_1.ptx 214 : 237056 276384 0 0 0 0 0 0 1852 
_1.ptx 216 : 200000 1745052 0 0 0 0 0 0 0 
_1.ptx 217 : 200000 2845416 0 0 0 0 0 0 0 
_1.ptx 218 : 200000 2420528 0 0 0 0 0 0 0 
_1.ptx 219 : 200000 1737328 0 7408 7408 0 0 0 0 
_1.ptx 220 : 200000 751732 0 0 0 0 0 0 0 
_1.ptx 221 : 200000 1575812 0 0 0 0 0 0 0 
_1.ptx 222 : 200000 2508804 0 0 0 0 0 0 0 
_1.ptx 223 : 200000 2365660 0 0 0 0 0 0 0 
_1.ptx 224 : 200000 1401240 1080992 0 0 13426 7408 0 0 
_1.ptx 227 : 237056 1789824 0 0 0 0 0 0 0 
_1.ptx 68 : 237056 5342432 128 0 0 0 0 0 0 
_1.ptx 69 : 237056 2853856 0 0 0 0 0 0 0 
_1.ptx 70 : 237056 744832 0 0 0 0 0 0 0 
_1.ptx 71 : 237056 2721632 0 0 0 0 0 0 0 
_1.ptx 72 : 237056 1906656 0 0 0 0 0 0 0 
_1.ptx 73 : 237056 2872096 0 0 0 0 0 0 0 
_1.ptx 74 : 237056 1900096 0 0 0 0 0 0 0 
_1.ptx 75 : 237056 2946784 0 0 0 0 0 0 0 
_1.ptx 76 : 237056 876672 0 0 0 0 0 0 0 
_1.ptx 77 : 237056 2883264 0 0 0 0 0 0 0 
_1.ptx 78 : 237056 1913120 0 0 0 0 0 0 0 
_1.ptx 79 : 237056 2890784 0 0 0 0 0 0 0 
_1.ptx 80 : 237056 2210688 0 0 0 0 0 0 0 
_1.ptx 81 : 237056 2090688 0 0 0 0 0 0 0 
_1.ptx 82 : 237056 1866912 0 0 0 0 0 0 0 
_1.ptx 83 : 237056 2191680 0 0 0 0 0 0 0 
_1.ptx 84 : 237056 2027424 0 0 0 0 0 0 0 
_1.ptx 85 : 237056 2168160 0 0 0 0 0 0 0 
_1.ptx 86 : 237056 1837984 0 0 0 0 0 0 0 
_1.ptx 87 : 237056 2158016 0 0 0 0 0 0 0 
_1.ptx 88 : 237056 752 0 0 0 0 0 0 4 
_1.ptx 90 : 236960 1892696 0 0 0 0 0 0 0 
_1.ptx 91 : 236960 961600 0 0 0 0 0 0 0 
_1.ptx 92 : 236960 1987124 0 0 0 0 0 0 0 
_1.ptx 93 : 236960 2852492 0 0 0 0 0 0 0 
_1.ptx 94 : 236960 2824536 0 0 0 0 0 0 0 
_1.ptx 95 : 236960 60285428 803328 0 0 14812 7408 0 0 
_1.ptx 96 : 236960 2004200 0 0 0 0 0 0 0 
_1.ptx 97 : 236960 2721704 0 0 0 0 0 0 0 
_1.ptx 98 : 236960 2822512 0 0 0 0 0 0 0 
_1.ptx 99 : 236960 1488728 0 7408 7408 0 0 0 0 
_1.ptx 101 : 237056 1851552 0 0 0 0 0 0 0 
_1.ptx 103 : 237056 1867200 0 0 0 0 0 0 0 
_1.ptx 104 : 237056 1922944 0 0 0 0 0 0 0 
_1.ptx 105 : 237056 2261408 0 0 0 0 0 0 0 
_1.ptx 106 : 237056 0 0 0 0 0 0 0 0 
_1.ptx 107 : 237056 2906240 0 0 0 0 0 0 0 
_1.ptx 108 : 237056 2016384 0 0 0 0 0 0 0 
_1.ptx 109 : 237056 2326400 0 0 0 0 0 0 0 
_1.ptx 110 : 237056 2292608 0 0 0 0 0 0 0 
_1.ptx 111 : 237056 2028576 0 0 0 0 0 0 0 
_1.ptx 112 : 237056 2444032 0 0 0 0 0 0 0 
_1.ptx 113 : 237056 5101408 0 0 0 0 0 0 0 
_1.ptx 114 : 237056 2876128 0 0 0 0 0 0 0 
_1.ptx 115 : 237056 2902400 0 0 0 0 0 0 0 
_1.ptx 116 : 237056 3006048 0 0 0 0 0 0 0 
_1.ptx 117 : 237056 2337632 0 0 0 0 0 0 0 
_1.ptx 118 : 237056 2901664 0 0 0 0 0 0 0 
_1.ptx 119 : 237056 1998144 0 0 0 0 0 0 0 
_1.ptx 120 : 237056 2422464 0 0 0 0 0 0 0 
_1.ptx 121 : 237056 5087552 0 0 0 0 0 0 0 
_1.ptx 122 : 237056 2281696 0 0 0 0 0 0 0 
_1.ptx 123 : 237056 2881376 0 0 0 0 0 0 0 
_1.ptx 124 : 237056 2322144 0 0 0 0 0 0 0 
_1.ptx 125 : 237056 2185440 0 0 0 0 0 0 0 
_1.ptx 126 : 237056 2298880 0 0 0 0 0 0 0 
_1.ptx 127 : 237056 2156832 0 0 0 0 0 0 0 
_1.ptx 128 : 237056 2278432 0 0 0 0 0 0 0 
_1.ptx 129 : 237056 1970496 0 0 0 0 0 0 0 
_1.ptx 130 : 237056 2007488 0 0 0 0 0 0 0 
_1.ptx 131 : 237056 2172832 0 0 0 0 0 0 0 
_1.ptx 135 : 4741120 38362112 0 0 0 0 0 0 0 
_1.ptx 136 : 4741120 56966048 0 0 0 0 0 0 0 
_1.ptx 137 : 4741120 45005824 0 0 0 0 0 0 0 
_1.ptx 138 : 4741120 42531904 0 0 0 0 0 0 0 
