kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 409 : 4194304 49127744 0 0 0 0 0 0 0 
_1.ptx 410 : 4194304 127846240 9788032 0 0 262144 131072 0 0 
_1.ptx 412 : 4194304 96872416 0 0 0 0 0 0 0 
_1.ptx 413 : 4194304 48518976 0 0 0 0 0 0 0 
_1.ptx 414 : 4194304 135469952 9711168 0 0 262144 131072 0 0 
_1.ptx 416 : 4194304 106241216 0 0 0 0 0 0 0 
_1.ptx 417 : 4194304 47840096 0 0 0 0 0 0 0 
_1.ptx 418 : 4194304 127093056 9856512 0 0 262144 131072 0 0 
_1.ptx 420 : 4194304 97354880 0 0 0 0 0 0 0 
_1.ptx 421 : 4194304 47678944 0 0 0 0 0 0 0 
_1.ptx 422 : 4194304 138370688 10066368 0 0 262144 131072 0 0 
_1.ptx 424 : 4194304 27151616 0 0 0 0 0 0 0 
_1.ptx 453 : 4194304 26607520 0 0 0 0 0 0 0 
_1.ptx 454 : 4194304 67544736 0 0 0 0 0 0 0 
_1.ptx 455 : 4194304 50913920 0 0 0 0 0 0 0 
_1.ptx 456 : 4194304 28523264 0 0 0 0 0 0 0 
_1.ptx 457 : 4194304 52913152 0 0 0 0 0 0 0 
_1.ptx 458 : 4194304 28712864 0 0 0 0 0 0 0 
_1.ptx 459 : 4194304 29233024 0 0 0 0 0 0 0 
_1.ptx 460 : 4194304 48336480 0 0 0 0 0 0 0 
_1.ptx 461 : 4194304 47507456 0 0 0 0 0 0 0 
_1.ptx 462 : 4194304 47960192 0 0 0 0 0 0 0 
_1.ptx 463 : 4194304 32836704 0 0 0 0 0 0 0 
_1.ptx 464 : 4194304 33389152 0 0 0 0 0 0 0 
_1.ptx 465 : 4194304 47027168 0 0 0 0 0 0 0 
_1.ptx 466 : 4194304 47807424 0 0 0 0 0 0 0 
_1.ptx 467 : 4194304 46278528 0 0 0 0 0 0 0 
_1.ptx 468 : 4194304 27637920 0 0 0 0 0 0 0 
_1.ptx 469 : 4194304 47800672 0 0 0 0 0 0 0 
_1.ptx 470 : 4194304 47983648 0 0 0 0 0 0 0 
_1.ptx 471 : 4194304 31511584 0 0 0 0 0 0 0 
_1.ptx 472 : 4194304 44867584 0 0 0 0 0 0 0 
_1.ptx 473 : 4194304 84812864 0 0 0 0 0 0 0 
_1.ptx 474 : 4194304 48096416 0 0 0 0 0 0 0 
_1.ptx 475 : 4194304 1897483360 16777216 0 0 262144 131072 0 0 
_1.ptx 476 : 4194304 89571296 0 131072 131072 0 0 0 0 
_1.ptx 478 : 4194304 28088544 0 0 0 0 0 0 0 
_1.ptx 480 : 4194304 30810464 0 0 0 0 0 0 0 
_1.ptx 481 : 4194304 49419904 0 0 0 0 0 0 0 
_1.ptx 482 : 4194304 49169376 0 0 0 0 0 0 0 
_1.ptx 483 : 4194304 48951840 0 0 0 0 0 0 0 
_1.ptx 484 : 4194304 49196416 0 0 0 0 0 0 0 
_1.ptx 485 : 4194304 48443584 0 0 0 0 0 0 0 
_1.ptx 76 : 4194304 30819552 0 0 0 0 0 0 0 
_1.ptx 486 : 4194304 33225408 0 0 0 0 0 0 0 
_1.ptx 77 : 4194304 33091328 128 0 0 0 0 0 0 
_1.ptx 487 : 4194304 48413568 0 0 0 0 0 0 0 
_1.ptx 78 : 4194304 54889376 0 0 0 0 0 0 0 
_1.ptx 488 : 4194304 47869024 0 0 0 0 0 0 0 
_1.ptx 79 : 4194304 31187680 0 0 0 0 0 0 0 
_1.ptx 489 : 4194304 1329490720 1048576 0 0 131072 131072 0 0 
_1.ptx 80 : 4194304 32601344 0 0 0 0 0 0 0 
_1.ptx 490 : 4194304 69742016 0 131072 131072 0 0 0 0 
_1.ptx 81 : 4194304 33275424 0 0 0 0 0 0 0 
_1.ptx 491 : 4194304 28238208 0 0 0 0 0 0 0 
_1.ptx 82 : 4194304 50399456 0 0 0 0 0 0 0 
_1.ptx 492 : 4194304 45263712 0 0 0 0 0 0 0 
_1.ptx 83 : 4194304 52365408 0 0 0 0 0 0 0 
_1.ptx 493 : 4194304 36172288 0 0 0 0 0 0 0 
