kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2897888 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2654944 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 2902464 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2148480 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 1412896 0 0 0 0 0 0 0 
_1.ptx 104 : 32768 200896 0 0 0 0 0 0 0 
_1.ptx 105 : 32768 205024 0 0 0 0 0 0 0 
_1.ptx 106 : 32768 272960 0 0 0 0 0 0 0 
_1.ptx 107 : 32768 99136 0 0 0 0 0 0 0 
_1.ptx 109 : 16384 140160 0 512 512 0 0 0 0 
_1.ptx 110 : 16384 139104 0 512 512 0 0 0 0 
_1.ptx 111 : 16384 181376 0 0 0 0 0 0 0 
_1.ptx 112 : 16384 86592 0 512 512 0 0 0 0 
_1.ptx 115 : 32768 198624 0 0 0 0 0 0 0 
_1.ptx 116 : 32768 202496 0 0 0 0 0 0 0 
_1.ptx 117 : 32768 274432 0 0 0 0 0 0 0 
_1.ptx 118 : 32768 151168 0 0 0 0 0 0 0 
_1.ptx 120 : 8192 68448 0 256 256 0 0 0 0 
_1.ptx 121 : 8192 66880 0 256 256 0 0 0 0 
_1.ptx 122 : 8192 91008 0 0 0 0 0 0 0 
_1.ptx 123 : 8192 41856 0 256 256 0 0 0 0 
_1.ptx 125 : 32768 202368 0 0 0 0 0 0 0 
_1.ptx 126 : 32768 208928 0 0 0 0 0 0 0 
_1.ptx 127 : 32768 272896 0 0 0 0 0 0 0 
_1.ptx 128 : 32768 180192 0 0 0 0 0 0 0 
_1.ptx 130 : 4096 33120 0 128 128 0 0 0 0 
_1.ptx 131 : 4096 33440 0 128 128 0 0 0 0 
_1.ptx 132 : 4096 45440 0 0 0 0 0 0 0 
_1.ptx 133 : 4096 22368 0 128 128 0 0 0 0 
_1.ptx 135 : 4096 35712 0 128 128 0 0 0 0 
_1.ptx 136 : 4096 33888 0 128 128 0 0 0 0 
_1.ptx 137 : 4096 45152 0 0 0 0 0 0 0 
_1.ptx 138 : 4096 22912 0 128 128 0 0 0 0 
_1.ptx 140 : 4096 35008 0 128 128 0 0 0 0 
_1.ptx 141 : 4096 33760 0 128 128 0 0 0 0 
_1.ptx 142 : 4096 45088 0 0 0 0 0 0 0 
_1.ptx 143 : 4096 21248 0 128 128 0 0 0 0 
_1.ptx 145 : 4096 37376 0 128 128 0 0 0 0 
_1.ptx 146 : 4096 34272 0 128 128 0 0 0 0 
_1.ptx 147 : 4096 45152 0 0 0 0 0 0 0 
_1.ptx 148 : 4096 21824 0 128 128 0 0 0 0 
_1.ptx 150 : 4096 36192 0 128 128 0 0 0 0 
_1.ptx 151 : 4096 34368 0 128 128 0 0 0 0 
_1.ptx 152 : 4096 45184 0 0 0 0 0 0 0 
_1.ptx 153 : 4096 22176 0 128 128 0 0 0 0 
_1.ptx 155 : 4096 36224 0 128 128 0 0 0 0 
_1.ptx 156 : 4096 34656 0 128 128 0 0 0 0 
_1.ptx 157 : 4096 45216 0 0 0 0 0 0 0 
_1.ptx 158 : 4096 22912 0 128 128 0 0 0 0 
_1.ptx 160 : 32768 202880 0 0 0 0 0 0 0 
_1.ptx 161 : 32768 267520 0 0 0 0 0 0 0 
_1.ptx 64 : 32768 196704 0 0 0 0 0 0 0 
_1.ptx 162 : 32768 199899 0 0 0 0 0 0 128 
_1.ptx 65 : 32768 197120 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 232928 0 0 0 0 0 0 0 
_1.ptx 164 : 128 994 0 128 128 0 0 0 0 
_1.ptx 67 : 32768 673952 0 0 0 0 0 0 0 
_1.ptx 165 : 128 456 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 430720 0 0 0 0 0 0 0 
_1.ptx 166 : 128 904 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 278560 0 0 0 0 0 0 0 
_1.ptx 167 : 128 1292 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 176992 0 1024 1024 0 0 0 0 
_1.ptx 168 : 128 1410 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 214848 0 0 0 0 0 0 0 
_1.ptx 169 : 128 681 320 0 0 128 128 0 0 
_1.ptx 72 : 32768 196800 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 708640 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 782368 0 0 0 0 0 0 0 
_1.ptx 172 : 32768 200288 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 365728 0 0 0 0 0 0 0 
_1.ptx 76 : 32768 240768 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 3826272 128 0 0 0 0 0 0 
_1.ptx 78 : 32768 270656 0 0 0 0 0 0 0 
_1.ptx 79 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 80 : 32768 205312 0 0 0 0 0 0 0 
_1.ptx 81 : 32768 643584 0 0 0 0 0 0 0 
_1.ptx 82 : 32768 669088 0 0 0 0 0 0 0 
_1.ptx 83 : 32768 558048 0 0 0 0 0 0 0 
_1.ptx 84 : 32768 237088 0 0 0 0 0 0 0 
_1.ptx 85 : 32768 620064 0 0 0 0 0 0 0 
_1.ptx 86 : 32768 367072 0 0 0 0 0 0 0 
_1.ptx 87 : 32768 240512 0 0 0 0 0 0 0 
_1.ptx 91 : 262144 5887360 0 8192 8192 0 0 0 0 
_1.ptx 92 : 262144 100048896 1038336 0 0 8192 8192 0 0 
_1.ptx 93 : 262144 101050272 1036032 0 0 8192 8192 0 0 
_1.ptx 94 : 262144 2893952 0 0 0 0 0 0 0 
_1.ptx 95 : 262144 2896000 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 5076768 0 8192 8192 0 0 0 0 
