kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 32000 352311 0 0 0 0 0 0 0 
_1.ptx 98 : 32000 190771 0 0 0 0 0 0 0 
_1.ptx 102 : 512040 153821360 3403776 0 0 373673 53714 0 0 
_1.ptx 103 : 512040 3590884 0 0 0 0 0 0 0 
_1.ptx 104 : 512040 5637091 0 0 0 0 0 0 0 
_1.ptx 105 : 512040 196472842 32000 0 0 507586 53714 0 0 
_1.ptx 106 : 512040 3072662 0 0 0 0 0 0 0 
_1.ptx 107 : 512040 4098606 0 0 0 0 0 0 0 
_1.ptx 108 : 512040 2413098 0 0 0 0 0 0 21424 
_1.ptx 110 : 109891 800775 0 0 0 0 0 0 0 
_1.ptx 111 : 109891 1102356 0 0 0 0 0 0 0 
_1.ptx 112 : 109891 1210341 0 0 0 0 0 0 0 
_1.ptx 113 : 109891 11306809 1024 0 0 35945 35945 0 0 
_1.ptx 114 : 109891 1100807 0 0 0 0 0 0 0 
_1.ptx 115 : 109891 1102554 0 0 0 0 0 0 0 
_1.ptx 116 : 109891 1209902 0 0 0 0 0 0 0 
_1.ptx 117 : 109891 1252485 34176 0 0 109716 35945 0 0 
_1.ptx 119 : 109891 659807 0 0 0 0 0 0 0 
_1.ptx 120 : 109891 1080298 0 0 0 0 0 0 0 
_1.ptx 121 : 109891 1210209 0 0 0 0 0 0 0 
_1.ptx 122 : 109891 1303814 448 0 0 109716 35945 0 0 
_1.ptx 123 : 109891 13340419 0 0 0 57854 35945 0 0 
_1.ptx 124 : 109891 13476101 0 0 0 57854 35945 0 0 
_1.ptx 125 : 109891 1209843 0 0 0 0 0 0 0 
_1.ptx 128 : 512040 5123227 0 0 0 0 0 0 0 
_1.ptx 129 : 512040 5128626 0 0 0 0 0 0 0 
_1.ptx 130 : 512040 4100937 0 0 0 0 0 0 0 
_1.ptx 131 : 512040 2880938 0 0 0 0 0 0 4586 
_1.ptx 135 : 193536 1161632 0 0 0 0 0 0 0 
_1.ptx 151 : 193536 1161536 0 0 0 0 0 0 0 
_1.ptx 152 : 193536 2024384 0 0 0 0 0 0 0 
_1.ptx 153 : 193536 1161216 0 0 0 0 0 0 0 
_1.ptx 154 : 193536 2130016 0 0 0 0 0 0 0 
_1.ptx 155 : 193536 580704 0 0 0 0 0 0 0 
_1.ptx 156 : 193536 1549472 0 0 0 0 0 0 0 
_1.ptx 157 : 193536 9216 0 0 0 0 0 0 0 
_1.ptx 158 : 192000 1349024 0 0 0 0 0 0 0 
_1.ptx 159 : 192000 577472 0 0 0 0 0 0 0 
_1.ptx 160 : 192000 2114592 0 0 0 0 0 0 0 
_1.ptx 161 : 192000 36008416 57472 0 0 6000 6000 0 0 
_1.ptx 162 : 192000 1152000 0 0 0 0 0 0 0 
_1.ptx 163 : 192000 1536096 0 0 0 0 0 0 0 
_1.ptx 164 : 192000 960006 0 0 0 0 0 0 3203 
_1.ptx 67 : 193536 1162080 0 0 0 0 0 0 0 
_1.ptx 68 : 193536 1989792 0 0 0 0 0 0 0 
_1.ptx 166 : 31999 192009 0 0 0 0 0 0 0 
_1.ptx 69 : 193536 1161504 0 0 0 0 0 0 0 
_1.ptx 167 : 31999 95997 0 0 0 0 0 0 0 
_1.ptx 70 : 193536 2130144 0 0 0 0 0 0 0 
_1.ptx 168 : 31999 352009 0 0 0 0 0 0 0 
_1.ptx 71 : 193536 1305312 128 0 0 0 0 0 0 
_1.ptx 169 : 31999 161091 34656 0 0 3203 3203 0 0 
_1.ptx 72 : 193536 1550464 0 0 0 0 0 0 0 
_1.ptx 73 : 193536 9216 0 0 0 0 0 0 0 
_1.ptx 171 : 31999 191994 0 0 0 0 0 0 0 
_1.ptx 74 : 192000 1346752 0 0 0 0 0 0 0 
_1.ptx 172 : 31999 125604 0 0 0 0 0 0 0 
_1.ptx 75 : 192000 686240 0 0 0 0 0 0 0 
_1.ptx 173 : 31999 352004 0 0 0 0 0 0 0 
_1.ptx 76 : 192000 2115488 0 0 0 0 0 0 0 
_1.ptx 174 : 31999 162502 0 0 0 3203 3203 0 0 
_1.ptx 77 : 192000 33706528 73344 0 0 6000 6000 0 0 
_1.ptx 78 : 192000 1152384 0 0 0 0 0 0 0 
_1.ptx 176 : 31999 191994 0 0 0 0 0 0 0 
_1.ptx 79 : 192000 1537280 0 0 0 0 0 0 0 
_1.ptx 177 : 31999 104478 0 0 0 0 0 0 0 
_1.ptx 80 : 192000 960468 0 0 0 0 0 0 3204 
_1.ptx 178 : 31999 161261 192 0 0 3203 3203 0 0 
_1.ptx 82 : 32000 192045 0 0 0 0 0 0 0 
_1.ptx 180 : 31999 191994 0 0 0 0 0 0 0 
_1.ptx 83 : 32000 332990 0 0 0 3204 3204 0 0 
_1.ptx 181 : 31999 160151 0 0 0 3203 3203 0 0 
_1.ptx 85 : 32000 261984 0 0 0 0 0 0 0 
_1.ptx 86 : 32000 320857 0 0 0 0 0 0 0 
_1.ptx 87 : 32000 352207 0 0 0 0 0 0 0 
_1.ptx 185 : 193536 1161600 0 0 0 0 0 0 0 
_1.ptx 88 : 32000 11990417 716800 0 0 5783 3204 0 0 
