kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 194 : 286720 1376320 0 0 0 0 0 0 0 
_1.ptx 195 : 57344 344096 0 0 0 0 0 0 0 
_1.ptx 200 : 4608 27648 0 0 0 0 0 0 0 
_1.ptx 202 : 61952 27648 0 0 0 0 0 0 0 
_1.ptx 204 : 57344 23546976 0 0 0 0 0 0 0 
_1.ptx 205 : 57344 401728 0 0 0 0 0 0 0 
_1.ptx 206 : 57344 574336 0 0 0 0 0 0 0 
_1.ptx 207 : 57344 631424 0 0 0 0 0 0 0 
_1.ptx 208 : 57344 21701472 229376 0 0 1792 1792 0 0 
_1.ptx 211 : 61952 371808 0 0 0 0 0 0 0 
_1.ptx 123 : 61952 371744 0 0 0 0 0 0 0 
_1.ptx 124 : 61952 371776 0 0 0 0 0 0 0 
_1.ptx 125 : 61952 707040 0 0 0 0 0 0 0 
_1.ptx 126 : 61952 371808 0 0 0 0 0 0 0 
_1.ptx 127 : 61952 682720 0 0 0 0 0 0 0 
_1.ptx 128 : 61952 371936 0 0 0 0 0 0 0 
_1.ptx 129 : 61952 697120 0 0 0 0 0 0 0 
_1.ptx 130 : 61952 372288 0 0 0 0 0 0 0 
_1.ptx 131 : 61952 707456 0 0 0 0 0 0 0 
_1.ptx 132 : 61952 372192 0 0 0 0 0 0 0 
_1.ptx 133 : 61952 682752 0 0 0 0 0 0 0 
_1.ptx 134 : 61952 17609632 128 0 0 0 0 0 0 
_1.ptx 135 : 61952 497216 0 0 0 0 0 0 0 
_1.ptx 136 : 61952 27648 0 0 0 0 0 0 0 
_1.ptx 137 : 57344 19512800 0 0 0 0 0 0 0 
_1.ptx 138 : 57344 344736 0 0 0 0 0 0 0 
_1.ptx 139 : 57344 461376 0 0 0 0 0 0 0 
_1.ptx 140 : 57344 0 0 0 0 0 0 0 0 
_1.ptx 141 : 57344 407232 0 0 0 0 0 0 0 
_1.ptx 142 : 57344 18886656 0 0 0 0 0 0 0 
_1.ptx 143 : 57344 346720 0 0 0 0 0 0 0 
_1.ptx 144 : 57344 460960 0 0 0 0 0 0 0 
_1.ptx 145 : 57344 348672 0 0 0 0 0 0 0 
_1.ptx 146 : 57344 349984 0 0 0 0 0 0 0 
_1.ptx 147 : 57344 347616 0 0 0 0 0 0 0 
_1.ptx 148 : 57344 406496 0 0 0 0 0 0 0 
_1.ptx 151 : 286720 0 0 0 0 0 0 0 0 
_1.ptx 152 : 286720 2011392 0 0 0 0 0 0 0 
_1.ptx 153 : 286720 3160064 0 0 0 0 0 0 0 
_1.ptx 154 : 286720 2013088 0 0 0 0 0 0 0 
_1.ptx 155 : 286720 3158784 0 0 0 0 0 0 0 
_1.ptx 156 : 286720 116270912 0 0 0 0 0 0 0 
_1.ptx 157 : 286720 2013856 0 0 0 0 0 0 0 
_1.ptx 158 : 286720 2891200 0 0 0 0 0 0 0 
_1.ptx 159 : 286720 3156864 0 0 0 0 0 0 0 
_1.ptx 160 : 286720 3174400 0 0 0 0 0 0 0 
_1.ptx 161 : 286720 2012928 0 0 0 0 0 0 0 
_1.ptx 162 : 286720 113161152 0 0 0 0 0 0 0 
_1.ptx 163 : 286720 1724000 0 0 0 0 0 0 0 
_1.ptx 164 : 286720 2015520 0 0 0 0 0 0 0 
_1.ptx 168 : 39567360 277093920 0 0 0 0 0 0 0 
_1.ptx 169 : 39567360 396022112 0 0 0 0 0 0 0 
_1.ptx 170 : 39567360 435403168 0 0 0 0 0 0 0 
_1.ptx 171 : 39567360 48575111040 222591232 0 0 39567360 1236480 0 0 
_1.ptx 172 : 39567360 32913651744 185984 0 0 1236480 1236480 0 0 
_1.ptx 173 : 39567360 435282400 0 0 0 0 0 0 0 
_1.ptx 175 : 39567360 356216448 0 0 0 0 0 0 0 
_1.ptx 176 : 39567360 395772576 0 0 0 0 0 0 0 
_1.ptx 177 : 39567360 396299840 0 0 0 0 0 0 0 
_1.ptx 178 : 39567360 395989312 0 0 0 0 0 0 0 
_1.ptx 179 : 39567360 316675616 0 0 0 0 0 0 0 
_1.ptx 180 : 39567360 235702112 0 0 0 0 0 0 0 
_1.ptx 181 : 286720 1720384 0 0 0 0 0 0 0 
_1.ptx 185 : 286720 2294912 0 0 0 0 0 0 0 
_1.ptx 186 : 286720 1002244 0 0 0 0 0 0 2465 
_1.ptx 188 : 119680 838386 0 0 0 0 0 0 0 
_1.ptx 190 : 119680 838737 0 0 0 0 0 0 0 
_1.ptx 192 : 286720 2868128 0 0 0 0 0 0 0 
_1.ptx 193 : 286720 2294336 0 0 0 0 0 0 0 
