kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 1917376 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2147552 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2915264 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2685568 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 1924544 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1675200 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2145856 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2924288 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1906848 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1886848 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2657536 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 801632 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2922400 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 799712 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2930240 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1641984 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 1907424 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 295227808 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 296504832 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9513536 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10634752 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10600384 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10619712 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8495584 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 4772576 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1620928 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 1383360 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2910144 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2916064 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2133248 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1219840 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 407712 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4159616 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5360672 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 2854514 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1412331 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1308669 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1503741 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2195732 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2311559 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2921696 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 3067168 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2251601 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1478341 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2934841 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2208623 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 2226894 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 2288263 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 2948699 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 1374772 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 2932582 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 2938914 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 205344 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 2982300 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 234240 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2220448 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 1114304 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 427136 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 264928 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 204608 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 4847488 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 203776 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4238560 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 267680 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5411136 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 207904 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 3833920 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 209312 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 441872 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 266656 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 200800 0 0 0 0 0 0 0 
_1.ptx 175 : 256 1800 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 204416 0 0 0 0 0 0 0 
_1.ptx 176 : 256 781 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1865 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2630 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2860 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 226880 0 0 0 0 0 0 0 
_1.ptx 180 : 256 1393 896 0 0 256 256 0 0 
_1.ptx 83 : 65536 540192 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 745376 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 730848 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 518464 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 530848 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 466560 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 204544 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 519072 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 759136 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 718912 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 209120 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 735424 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 784352 0 0 0 0 0 0 0 
