kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 427040 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 419680 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 426144 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1600352 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 403136 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 702624 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 473536 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 2708608 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 522336 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 422016 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 413152 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 724288 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 428800 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 1685536 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 471968 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 1652640 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 476000 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 548704 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 577536 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 308512 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 700544 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 1460896 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 359136 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 703904 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 270784 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 706048 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 292672 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 702368 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 283712 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 703328 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 1120316448 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 1101903392 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 1124846688 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 23251904 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 133766688 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 60070976 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 15358304 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 60807104 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 23314560 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 13119040 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 23545888 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 13454816 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 23164352 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 60316800 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 18768064 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 23107168 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 121383040 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 22908960 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 23013280 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 13244928 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 17234912 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 13560864 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 23080160 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 16745984 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 14300064 0 0 0 0 0 0 0 
