kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 2999097 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 580824 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 606196 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5513029 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5566630 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3762383 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4438407 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2616759 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 883879 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1091021 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1005802 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 874520 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1087010 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 991306 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1092666 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 873299 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1081985 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 425776 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 667211 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 496735 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 474294 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 784772 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 707856 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 288121 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 289514 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 287286 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 294551 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 283386 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 290052 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 286978 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 698173 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 700505 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 699704 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 711483 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 720058 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 711587 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 343331 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 426120 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 529235 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 124036 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 298151 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 297371 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 298917 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 292405 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 65721 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 218374 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 217447 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 220227 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 221900 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 224266 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 181912 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 182468 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 598035 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 225715 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 225370 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 227555 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 721718 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 720464 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 736005 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 745188 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 603259 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 594469 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1984955 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 711160 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 709046 0 0 0 0 0 0 0 
