kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 32000 352801 0 0 0 0 0 0 0 
_1.ptx 98 : 32000 2813215 0 0 0 0 0 0 0 
_1.ptx 102 : 512040 268981495 5020416 0 0 373673 53714 0 0 
_1.ptx 103 : 512040 3590088 0 0 0 0 0 0 0 
_1.ptx 104 : 512040 5635877 0 0 0 0 0 0 0 
_1.ptx 105 : 512040 293919333 32768 0 0 507586 53714 0 0 
_1.ptx 106 : 512040 3075808 0 0 0 0 0 0 0 
_1.ptx 107 : 512040 4099778 0 0 0 0 0 0 0 
_1.ptx 108 : 512040 2413679 0 0 0 0 0 0 21424 
_1.ptx 110 : 109891 6425768 0 0 0 0 0 0 0 
_1.ptx 111 : 109891 1105584 0 0 0 0 0 0 0 
_1.ptx 112 : 109891 1211112 0 0 0 0 0 0 0 
_1.ptx 113 : 109891 30090594 34560 0 0 35945 35945 0 0 
_1.ptx 114 : 109891 1101244 0 0 0 0 0 0 0 
_1.ptx 115 : 109891 1103951 0 0 0 0 0 0 0 
_1.ptx 116 : 109891 1210293 0 0 0 0 0 0 0 
_1.ptx 117 : 109891 7785552 106080 0 0 109716 35945 0 0 
_1.ptx 119 : 109891 660645 0 0 0 0 0 0 0 
_1.ptx 120 : 109891 6640443 0 0 0 0 0 0 0 
_1.ptx 121 : 109891 1211057 0 0 0 0 0 0 0 
_1.ptx 122 : 109891 7715042 9056 0 0 109716 35945 0 0 
_1.ptx 123 : 109891 35134895 170752 0 0 57854 35945 0 0 
_1.ptx 124 : 109891 31512802 1408 0 0 57854 35945 0 0 
_1.ptx 125 : 109891 1209964 0 0 0 0 0 0 0 
_1.ptx 128 : 512040 5126013 0 0 0 0 0 0 0 
_1.ptx 129 : 512040 5136981 0 0 0 0 0 0 0 
_1.ptx 130 : 512040 4104902 0 0 0 0 0 0 0 
_1.ptx 131 : 512040 2882453 0 0 0 0 0 0 4586 
_1.ptx 135 : 193536 1166944 0 0 0 0 0 0 0 
_1.ptx 151 : 193536 1175040 0 0 0 0 0 0 0 
_1.ptx 152 : 193536 2083648 0 0 0 0 0 0 0 
_1.ptx 153 : 193536 1176064 0 0 0 0 0 0 0 
_1.ptx 154 : 193536 2145056 0 0 0 0 0 0 0 
_1.ptx 155 : 193536 1153952 0 0 0 0 0 0 0 
_1.ptx 156 : 193536 1562848 0 0 0 0 0 0 0 
_1.ptx 157 : 193536 9216 0 0 0 0 0 0 0 
_1.ptx 158 : 192000 1366048 0 0 0 0 0 0 0 
_1.ptx 159 : 192000 1088544 0 0 0 0 0 0 0 
_1.ptx 160 : 192000 2122656 0 0 0 0 0 0 0 
_1.ptx 161 : 192000 41054176 57472 0 0 6000 6000 0 0 
_1.ptx 162 : 192000 1157856 0 0 0 0 0 0 0 
_1.ptx 163 : 192000 1548864 0 0 0 0 0 0 0 
_1.ptx 164 : 192000 969482 0 0 0 0 0 0 3203 
_1.ptx 67 : 193536 1185152 0 0 0 0 0 0 0 
_1.ptx 68 : 193536 2260672 0 0 0 0 0 0 0 
_1.ptx 166 : 31999 195755 0 0 0 0 0 0 0 
_1.ptx 69 : 193536 1192768 0 0 0 0 0 0 0 
_1.ptx 167 : 31999 192978 0 0 0 0 0 0 0 
_1.ptx 70 : 193536 2150624 0 0 0 0 0 0 0 
_1.ptx 168 : 31999 353967 0 0 0 0 0 0 0 
_1.ptx 71 : 193536 5449984 128 0 0 0 0 0 0 
_1.ptx 169 : 31999 331434 28608 0 0 3203 3203 0 0 
_1.ptx 72 : 193536 1560704 0 0 0 0 0 0 0 
_1.ptx 73 : 193536 9280 0 0 0 0 0 0 0 
_1.ptx 171 : 31999 194221 0 0 0 0 0 0 0 
_1.ptx 74 : 192000 1363168 0 0 0 0 0 0 0 
_1.ptx 172 : 31999 272713 0 0 0 0 0 0 0 
_1.ptx 75 : 192000 4964544 0 0 0 0 0 0 0 
_1.ptx 173 : 31999 353593 0 0 0 0 0 0 0 
_1.ptx 76 : 192000 2123680 0 0 0 0 0 0 0 
_1.ptx 174 : 31999 425062 0 0 0 3203 3203 0 0 
_1.ptx 77 : 192000 50558016 83840 0 0 6000 6000 0 0 
_1.ptx 78 : 192000 1158240 0 0 0 0 0 0 0 
_1.ptx 176 : 31999 193318 0 0 0 0 0 0 0 
_1.ptx 79 : 192000 1543296 0 0 0 0 0 0 0 
_1.ptx 177 : 31999 337633 0 0 0 0 0 0 0 
_1.ptx 80 : 192000 968041 0 0 0 0 0 0 3204 
_1.ptx 178 : 31999 448288 192 0 0 3203 3203 0 0 
_1.ptx 82 : 32000 192842 0 0 0 0 0 0 0 
_1.ptx 180 : 31999 192597 0 0 0 0 0 0 0 
_1.ptx 83 : 32000 2624144 1184 0 0 3204 3204 0 0 
_1.ptx 181 : 31999 561746 0 0 0 3203 3203 0 0 
_1.ptx 85 : 32000 2091447 0 0 0 0 0 0 0 
_1.ptx 86 : 32000 322544 0 0 0 0 0 0 0 
_1.ptx 87 : 32000 353279 0 0 0 0 0 0 0 
_1.ptx 185 : 193536 1169152 0 0 0 0 0 0 0 
_1.ptx 88 : 32000 17209997 708352 0 0 5783 3204 0 0 
_1.ptx 89 : 32000 224651 0 0 0 0 0 0 0 
_1.ptx 90 : 32000 6670778 5248 0 0 5783 3204 0 0 
_1.ptx 91 : 32000 352501 0 0 0 0 0 0 0 
_1.ptx 92 : 32000 256768 0 0 0 0 0 0 0 
_1.ptx 93 : 32000 0 0 0 0 0 0 0 0 
_1.ptx 94 : 32000 3131049 0 0 0 0 0 0 0 
_1.ptx 95 : 32000 225288 0 0 0 0 0 0 0 
_1.ptx 96 : 32000 322348 0 0 0 0 0 0 0 
