kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 2865514 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 563090 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 574992 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5378225 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5423557 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3604436 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4316120 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2509994 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 845899 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1066935 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 964679 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 835033 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1066393 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 958607 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1069846 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 835574 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1062099 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 416269 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 653400 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 477141 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 464314 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 685985 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 700824 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 283358 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 283223 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 284831 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 289165 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 280317 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 288072 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 282481 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 696555 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 701242 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 700211 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 704579 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 707154 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 702583 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 324482 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 411312 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 517291 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 123375 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 282821 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 280520 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 281069 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 278262 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 70856 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 216543 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 216304 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 218310 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 219829 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 221495 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 180713 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 180588 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 417841 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 220339 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 221014 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 222382 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 711614 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 709745 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 723354 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 724754 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 581879 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 582535 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1248812 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 707414 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 704159 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 708876 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 697980 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 575597 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 580916 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 400353 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 518055 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 400172 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 462319 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 465529 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 473252 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 416212 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 705418 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 466085 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 771991 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 697716 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 347216 17216 0 0 0 0 0 0 
_1.ptx 921 : 62282 389151 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 697761 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 354701 20448 0 0 0 0 0 0 
_1.ptx 924 : 62282 391196 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 698810 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 392908 18144 0 0 0 0 0 0 
_1.ptx 927 : 62282 390463 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 697651 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 419550 18848 0 0 0 0 0 0 
_1.ptx 931 : 62282 394024 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 703571 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 404066 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 702605 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 392646 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 700156 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 714658 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 577570 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 577131 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 1604829 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 716124 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 723492 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 725762 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 716073 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 584297 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 581301 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 409441 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 523294 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 35420 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 422023 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 352470 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 1013517 256 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 1059674 256 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 1014483 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 1016440 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1399616 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1835256 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1064193 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 423928 0 0 0 0 0 0 0 
_1.ptx 964 : 56815 366489 0 0 0 0 0 0 0 
_1.ptx 965 : 56815 469829 0 0 0 0 0 0 0 
_1.ptx 966 : 56815 357168 0 0 0 0 0 0 0 
_1.ptx 971 : 56815 354623 0 0 0 0 0 0 0 
_1.ptx 972 : 56815 520183 0 0 0 0 0 0 0 
