kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 77 : 65792 428704 0 0 0 0 0 0 0 
_1.ptx 78 : 65792 429760 0 0 0 0 0 0 0 
_1.ptx 79 : 65792 434784 0 0 0 0 0 0 0 
_1.ptx 80 : 65792 430464 0 0 0 0 0 0 0 
_1.ptx 81 : 65792 436256 0 0 0 0 0 0 0 
_1.ptx 83 : 65792 434176 0 0 0 0 0 0 0 
_1.ptx 84 : 65792 1228320 0 0 0 0 0 0 0 
_1.ptx 85 : 65792 431552 0 0 0 0 0 0 0 
_1.ptx 86 : 65792 512064 0 0 0 0 0 0 0 
_1.ptx 87 : 65792 1439808 0 0 0 0 0 0 0 
_1.ptx 88 : 65792 768192 0 0 0 0 0 0 0 
_1.ptx 89 : 65792 774016 0 0 0 0 0 0 0 
_1.ptx 90 : 65792 564704 0 0 0 0 0 0 0 
_1.ptx 91 : 65792 1193440 0 0 0 0 0 0 0 
_1.ptx 92 : 65792 4357248 128 0 0 0 0 0 0 
_1.ptx 93 : 65792 747456 0 0 0 0 0 0 0 
_1.ptx 94 : 65792 29024288 263168 0 0 2056 2056 0 0 
_1.ptx 95 : 65792 1091936 0 2056 2056 0 0 0 0 
_1.ptx 97 : 65792 409792 0 0 0 0 0 0 0 
_1.ptx 98 : 65792 731968 0 0 0 0 0 0 0 
_1.ptx 99 : 65792 3006912 1024 0 0 0 0 0 0 
_1.ptx 100 : 65792 732128 0 0 0 0 0 0 0 
_1.ptx 101 : 65792 1671808 0 2056 2056 0 0 0 0 
_1.ptx 103 : 65792 413952 0 0 0 0 0 0 0 
_1.ptx 104 : 65792 734048 0 0 0 0 0 0 0 
_1.ptx 105 : 65792 2743264 1024 0 0 0 0 0 0 
_1.ptx 106 : 65792 733024 0 0 0 0 0 0 0 
_1.ptx 107 : 65792 1045344 0 2056 2056 0 0 0 0 
_1.ptx 109 : 65792 409728 0 0 0 0 0 0 0 
_1.ptx 110 : 65792 731648 0 0 0 0 0 0 0 
_1.ptx 111 : 65792 3208896 1024 0 0 0 0 0 0 
_1.ptx 112 : 65792 730112 0 0 0 0 0 0 0 
_1.ptx 113 : 65792 1462912 0 2056 2056 0 0 0 0 
_1.ptx 115 : 65792 412128 0 0 0 0 0 0 0 
_1.ptx 116 : 65792 735072 0 0 0 0 0 0 0 
_1.ptx 117 : 65792 3471936 1024 0 0 0 0 0 0 
_1.ptx 118 : 65792 732416 0 0 0 0 0 0 0 
_1.ptx 119 : 65792 778080 0 2056 2056 0 0 0 0 
_1.ptx 121 : 65792 410208 0 0 0 0 0 0 0 
_1.ptx 122 : 65792 433792 0 0 0 0 0 0 0 
_1.ptx 124 : 65792 493856 0 0 0 0 0 0 0 
_1.ptx 125 : 65792 501056 0 0 0 0 0 0 0 
_1.ptx 126 : 65792 459488 0 0 0 0 0 0 0 
_1.ptx 127 : 65792 509280 0 0 0 0 0 0 0 
_1.ptx 128 : 65792 462272 0 0 0 0 0 0 0 
_1.ptx 129 : 65792 515968 0 0 0 0 0 0 0 
_1.ptx 130 : 65792 462624 0 0 0 0 0 0 0 
_1.ptx 131 : 65792 507264 0 0 0 0 0 0 0 
_1.ptx 132 : 65792 3558528 128 0 0 0 0 0 0 
_1.ptx 133 : 65792 517152 0 0 0 0 0 0 0 
_1.ptx 135 : 65792 775648 0 0 0 0 0 0 0 
_1.ptx 136 : 65792 590176 0 2056 2056 0 0 0 0 
_1.ptx 137 : 65792 553248 0 0 0 0 0 0 0 
_1.ptx 138 : 65792 377760 0 2056 2056 0 0 0 0 
_1.ptx 140 : 65792 432544 0 0 0 0 0 0 0 
_1.ptx 142 : 65792 516672 0 0 0 0 0 0 0 
_1.ptx 143 : 65792 1230976 0 0 0 0 0 0 0 
_1.ptx 144 : 65792 1315680 0 0 0 0 0 0 0 
_1.ptx 145 : 65792 538432 0 0 0 0 0 0 0 
_1.ptx 146 : 65792 484544 0 0 0 0 0 0 0 
_1.ptx 147 : 65792 759584 0 0 0 0 0 0 0 
_1.ptx 148 : 65792 3791936 128 0 0 0 0 0 0 
_1.ptx 149 : 65792 767232 0 0 0 0 0 0 0 
_1.ptx 150 : 65792 557280 0 0 0 0 0 0 0 
_1.ptx 151 : 65792 1445472 0 0 0 0 0 0 0 
_1.ptx 152 : 65792 747584 0 0 0 0 0 0 0 
_1.ptx 153 : 65792 572672 0 2056 2056 0 0 0 0 
_1.ptx 154 : 65792 554176 0 0 0 0 0 0 0 
_1.ptx 155 : 65792 1445024 0 0 0 0 0 0 0 
_1.ptx 156 : 65792 749024 0 0 0 0 0 0 0 
_1.ptx 157 : 65792 603168 0 2443 2056 0 0 0 0 
_1.ptx 159 : 65792 305056 0 0 0 0 0 0 0 
_1.ptx 160 : 65792 751488 0 0 0 0 0 0 0 
_1.ptx 161 : 65792 551264 0 0 0 0 0 0 0 
_1.ptx 162 : 65792 1038208 0 0 0 0 0 0 0 
_1.ptx 163 : 65792 755520 0 0 0 0 0 0 0 
_1.ptx 164 : 65792 569504 0 2056 2056 0 0 0 0 
_1.ptx 165 : 65792 546624 0 0 0 0 0 0 0 
_1.ptx 166 : 65792 1224896 0 0 0 0 0 0 0 
_1.ptx 167 : 65792 746624 0 0 0 0 0 0 0 
