kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 67 : 1179648 7235200 0 0 0 0 0 0 0 
_1.ptx 68 : 1179648 19455680 0 0 0 0 0 0 0 
_1.ptx 69 : 1179648 7379072 0 0 0 0 0 0 0 
_1.ptx 70 : 1179648 27777696 0 0 0 0 0 0 0 
_1.ptx 71 : 1179648 8587232 0 0 0 0 0 0 0 
_1.ptx 72 : 1179648 9060032 0 0 0 0 0 0 0 
_1.ptx 73 : 1179648 14728032 0 0 0 0 0 0 0 
_1.ptx 74 : 1179648 15305248 0 0 0 0 0 0 0 
_1.ptx 75 : 1179648 11061280 0 0 0 0 0 0 0 
_1.ptx 76 : 1179648 11490688 0 0 0 0 0 0 0 
_1.ptx 77 : 1179648 10970464 0 0 0 0 0 0 0 
_1.ptx 78 : 1179648 15893984 0 0 0 0 0 0 0 
_1.ptx 79 : 1179648 13940544 0 0 0 0 0 0 0 
_1.ptx 80 : 1179648 21577120 0 0 0 0 0 0 0 
_1.ptx 81 : 1179648 13195456 0 0 0 0 0 0 0 
_1.ptx 82 : 1179648 5755968 128 0 0 0 0 0 0 
_1.ptx 83 : 1179648 24468096 0 0 0 0 0 0 0 
_1.ptx 84 : 1179648 13109056 0 0 0 0 0 0 0 
_1.ptx 85 : 1179648 8610112 0 0 0 0 0 0 0 
_1.ptx 86 : 1179648 19299072 0 0 0 0 0 0 0 
_1.ptx 87 : 1179648 4159296 0 0 0 0 0 0 0 
_1.ptx 88 : 1179648 13086656 0 0 0 0 0 0 0 
_1.ptx 89 : 1179648 439930048 9334272 0 0 73728 36864 0 0 
_1.ptx 90 : 1179648 8096640 0 73728 36864 0 0 0 0 
_1.ptx 91 : 1179648 10971936 0 0 0 73728 36864 0 0 
_1.ptx 92 : 1179648 8072320 0 73728 36864 0 0 0 0 
_1.ptx 93 : 1179648 405127296 9417472 0 0 73728 36864 0 0 
_1.ptx 94 : 1179648 7991424 0 73728 36864 0 0 0 0 
_1.ptx 95 : 1179648 10216384 0 0 0 73728 36864 0 0 
_1.ptx 96 : 1179648 8083520 0 73728 36864 0 0 0 0 
_1.ptx 97 : 1179648 11927616 0 0 0 0 0 0 0 
_1.ptx 98 : 1179648 7179392 0 0 0 0 0 0 0 
_1.ptx 99 : 1179648 9529088 0 0 0 0 0 0 0 
_1.ptx 100 : 1179648 148512 0 0 0 0 0 0 0 
_1.ptx 102 : 1155072 121285888 19712 0 0 72192 36096 0 0 
_1.ptx 103 : 1155072 6992128 0 0 0 0 0 0 0 
