kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 291 : 4194304 47372416 0 0 0 0 0 0 0 
_1.ptx 292 : 4194304 47555552 0 0 0 0 0 0 0 
_1.ptx 293 : 4194304 115065600 0 0 0 131072 131072 0 0 
_1.ptx 295 : 4194304 47330912 0 0 0 0 0 0 0 
_1.ptx 296 : 4194304 47357568 0 0 0 0 0 0 0 
_1.ptx 297 : 4194304 121672192 0 0 0 131072 131072 0 0 
_1.ptx 298 : 4194304 47204832 0 0 0 0 0 0 0 
_1.ptx 299 : 4194304 47303232 0 0 0 0 0 0 0 
_1.ptx 300 : 4194304 126724576 0 0 0 131072 131072 0 0 
_1.ptx 302 : 4194304 27462912 0 0 0 0 0 0 0 
_1.ptx 237 : 4194304 29306976 0 0 0 0 0 0 0 
_1.ptx 238 : 4194304 29143744 0 0 0 0 0 0 0 
_1.ptx 239 : 4194304 61260384 0 0 0 0 0 0 0 
_1.ptx 240 : 4194304 69104160 128 0 0 0 0 0 0 
_1.ptx 241 : 4194304 44187968 0 0 0 0 0 0 0 
_1.ptx 242 : 4194304 31777120 0 0 0 0 0 0 0 
_1.ptx 243 : 4194304 60165952 0 0 0 0 0 0 0 
_1.ptx 244 : 4194304 32010816 0 0 0 0 0 0 0 
_1.ptx 245 : 4194304 65840704 0 0 0 0 0 0 0 
_1.ptx 246 : 4194304 31125536 0 0 0 0 0 0 0 
_1.ptx 247 : 4194304 48952832 0 0 0 0 0 0 0 
_1.ptx 248 : 4194304 37917216 0 0 0 0 0 0 0 
_1.ptx 249 : 4194304 48619904 0 0 0 0 0 0 0 
_1.ptx 250 : 4194304 57344032 0 0 0 0 0 0 0 
_1.ptx 251 : 4194304 33795936 0 0 0 0 0 0 0 
_1.ptx 252 : 4194304 56174048 0 0 0 0 0 0 0 
_1.ptx 253 : 4194304 33959648 0 0 0 0 0 0 0 
_1.ptx 254 : 4194304 73739552 0 0 0 0 0 0 0 
_1.ptx 255 : 4194304 47837280 0 0 0 0 0 0 0 
_1.ptx 256 : 4194304 48476832 0 0 0 0 0 0 0 
_1.ptx 257 : 4194304 35065088 0 0 0 0 0 0 0 
_1.ptx 258 : 4194304 55180800 0 0 0 0 0 0 0 
_1.ptx 259 : 4194304 48180576 0 0 0 0 0 0 0 
_1.ptx 260 : 4194304 2186282464 16777216 0 0 131072 131072 0 0 
_1.ptx 262 : 4194304 47759616 0 0 0 0 0 0 0 
_1.ptx 263 : 4194304 33339424 0 0 0 0 0 0 0 
_1.ptx 264 : 4194304 52420992 0 0 0 0 0 0 0 
_1.ptx 265 : 4194304 47559968 0 0 0 0 0 0 0 
_1.ptx 266 : 4194304 2076885312 16777216 0 0 131072 131072 0 0 
_1.ptx 268 : 4194304 47347456 0 0 0 0 0 0 0 
_1.ptx 269 : 4194304 32396480 0 0 0 0 0 0 0 
_1.ptx 270 : 4194304 50765216 0 0 0 0 0 0 0 
_1.ptx 271 : 4194304 47225376 0 0 0 0 0 0 0 
_1.ptx 272 : 4194304 2042898528 16777216 0 0 131072 131072 0 0 
_1.ptx 274 : 4194304 47208096 0 0 0 0 0 0 0 
_1.ptx 275 : 4194304 32002496 0 0 0 0 0 0 0 
_1.ptx 276 : 4194304 49778048 0 0 0 0 0 0 0 
_1.ptx 277 : 4194304 47027136 0 0 0 0 0 0 0 
_1.ptx 278 : 4194304 2220204544 16777216 0 0 131072 131072 0 0 
_1.ptx 280 : 4194304 46999712 0 0 0 0 0 0 0 
_1.ptx 281 : 4194304 47213120 0 0 0 0 0 0 0 
_1.ptx 283 : 4194304 46921408 0 0 0 0 0 0 0 
_1.ptx 284 : 4194304 47061376 0 0 0 0 0 0 0 
_1.ptx 286 : 4194304 88792768 0 0 0 0 0 0 0 
_1.ptx 287 : 4194304 47055136 0 0 0 0 0 0 0 
_1.ptx 288 : 4194304 47457024 0 0 0 0 0 0 0 
_1.ptx 289 : 4194304 47618656 0 0 0 0 0 0 0 
_1.ptx 290 : 4194304 112644640 0 0 0 131072 131072 0 0 
