kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 194 : 286720 1376768 0 0 0 0 0 0 0 
_1.ptx 195 : 57344 344384 0 0 0 0 0 0 0 
_1.ptx 200 : 4608 28288 0 0 0 0 0 0 0 
_1.ptx 202 : 61952 28768 0 0 0 0 0 0 0 
_1.ptx 204 : 57344 28230688 0 0 0 0 0 0 0 
_1.ptx 205 : 57344 404672 0 0 0 0 0 0 0 
_1.ptx 206 : 57344 604032 0 0 0 0 0 0 0 
_1.ptx 207 : 57344 632736 0 0 0 0 0 0 0 
_1.ptx 208 : 57344 30299904 229376 0 0 1792 1792 0 0 
_1.ptx 211 : 61952 373568 0 0 0 0 0 0 0 
_1.ptx 123 : 61952 376640 0 0 0 0 0 0 0 
_1.ptx 124 : 61952 376576 0 0 0 0 0 0 0 
_1.ptx 125 : 61952 1285280 0 0 0 0 0 0 0 
_1.ptx 126 : 61952 444064 0 0 0 0 0 0 0 
_1.ptx 127 : 61952 766240 0 0 0 0 0 0 0 
_1.ptx 128 : 61952 525312 0 0 0 0 0 0 0 
_1.ptx 129 : 61952 1363872 0 0 0 0 0 0 0 
_1.ptx 130 : 61952 470880 0 0 0 0 0 0 0 
_1.ptx 131 : 61952 1327584 0 0 0 0 0 0 0 
_1.ptx 132 : 61952 398848 0 0 0 0 0 0 0 
_1.ptx 133 : 61952 696896 0 0 0 0 0 0 0 
_1.ptx 134 : 61952 9353536 128 0 0 0 0 0 0 
_1.ptx 135 : 61952 515104 0 0 0 0 0 0 0 
_1.ptx 136 : 61952 28672 0 0 0 0 0 0 0 
_1.ptx 137 : 57344 4041952 0 0 0 0 0 0 0 
_1.ptx 138 : 57344 364768 0 0 0 0 0 0 0 
_1.ptx 139 : 57344 476576 0 0 0 0 0 0 0 
_1.ptx 140 : 57344 0 0 0 0 0 0 0 0 
_1.ptx 141 : 57344 416704 0 0 0 0 0 0 0 
_1.ptx 142 : 57344 5002720 0 0 0 0 0 0 0 
_1.ptx 143 : 57344 368864 0 0 0 0 0 0 0 
_1.ptx 144 : 57344 475520 0 0 0 0 0 0 0 
_1.ptx 145 : 57344 393248 0 0 0 0 0 0 0 
_1.ptx 146 : 57344 404320 0 0 0 0 0 0 0 
_1.ptx 147 : 57344 410240 0 0 0 0 0 0 0 
_1.ptx 148 : 57344 461600 0 0 0 0 0 0 0 
_1.ptx 151 : 286720 0 0 0 0 0 0 0 0 
_1.ptx 152 : 286720 2061760 0 0 0 0 0 0 0 
_1.ptx 153 : 286720 3555104 0 0 0 0 0 0 0 
_1.ptx 154 : 286720 2055008 0 0 0 0 0 0 0 
_1.ptx 155 : 286720 3179776 0 0 0 0 0 0 0 
_1.ptx 156 : 286720 115899360 0 0 0 0 0 0 0 
_1.ptx 157 : 286720 2082880 0 0 0 0 0 0 0 
_1.ptx 158 : 286720 3741120 0 0 0 0 0 0 0 
_1.ptx 159 : 286720 3185024 0 0 0 0 0 0 0 
_1.ptx 160 : 286720 4096224 0 0 0 0 0 0 0 
_1.ptx 161 : 286720 2085824 0 0 0 0 0 0 0 
_1.ptx 162 : 286720 155787264 0 0 0 0 0 0 0 
_1.ptx 163 : 286720 1789344 0 0 0 0 0 0 0 
_1.ptx 164 : 286720 2079168 0 0 0 0 0 0 0 
_1.ptx 168 : 39567360 277273664 0 0 0 0 0 0 0 
_1.ptx 169 : 39567360 429376064 0 0 0 0 0 0 0 
_1.ptx 170 : 39567360 436122752 0 0 0 0 0 0 0 
_1.ptx 171 : 39567360 72841586592 3957179008 0 0 39567360 1236480 0 0 
_1.ptx 172 : 39567360 38546523520 167680 0 0 1236480 1236480 0 0 
_1.ptx 173 : 39567360 435417440 0 0 0 0 0 0 0 
_1.ptx 175 : 39567360 356831136 0 0 0 0 0 0 0 
_1.ptx 176 : 39567360 397699744 0 0 0 0 0 0 0 
_1.ptx 177 : 39567360 396668832 0 0 0 0 0 0 0 
_1.ptx 178 : 39567360 396364608 0 0 0 0 0 0 0 
_1.ptx 179 : 39567360 317323936 0 0 0 0 0 0 0 
_1.ptx 180 : 39567360 235950784 0 0 0 0 0 0 0 
_1.ptx 181 : 286720 1722208 0 0 0 0 0 0 0 
_1.ptx 185 : 286720 2298144 0 0 0 0 0 0 0 
_1.ptx 186 : 286720 1004246 0 0 0 0 0 0 2465 
_1.ptx 188 : 119680 838908 0 0 0 0 0 0 0 
_1.ptx 190 : 119680 839943 0 0 0 0 0 0 0 
_1.ptx 192 : 286720 2870528 0 0 0 0 0 0 0 
_1.ptx 193 : 286720 2296768 0 0 0 0 0 0 0 
