kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 12800 76800 0 0 0 0 0 0 0 
_1.ptx 71 : 12800 234080 0 0 0 0 0 0 0 
_1.ptx 72 : 12800 105920 0 0 0 0 0 0 0 
_1.ptx 73 : 12800 163264 0 0 0 0 0 0 0 
_1.ptx 74 : 12800 108832 0 0 0 0 0 0 0 
_1.ptx 75 : 12800 113184 0 0 0 0 0 0 0 
_1.ptx 76 : 12800 99936 0 0 0 0 0 0 0 
_1.ptx 77 : 12800 2253376 128 0 0 0 0 0 0 
_1.ptx 78 : 12800 1530176 0 0 0 0 0 0 0 
_1.ptx 79 : 12800 826752 0 0 0 0 0 0 0 
_1.ptx 80 : 12800 76896 0 0 0 0 0 0 0 
_1.ptx 81 : 12800 77504 0 0 0 0 0 0 0 
_1.ptx 82 : 12800 31872 0 0 0 0 0 0 100 
_1.ptx 83 : 7600 46744 0 0 0 0 0 0 0 
_1.ptx 84 : 7600 47304 0 0 0 0 0 0 0 
_1.ptx 85 : 7600 62504 0 0 0 0 0 0 0 
_1.ptx 86 : 7600 8388 0 0 0 0 0 0 0 
_1.ptx 88 : 6400 49216 0 0 0 0 0 0 0 
_1.ptx 90 : 6400 68736 0 0 0 0 0 0 0 
_1.ptx 91 : 6400 73696 0 0 0 0 0 0 0 
_1.ptx 92 : 6400 52992 0 0 0 0 0 0 0 
_1.ptx 95 : 1200 9480 0 0 0 0 0 0 0 
_1.ptx 96 : 1200 9048 0 0 0 0 0 0 0 
_1.ptx 97 : 1200 11016 0 0 0 0 0 0 0 
_1.ptx 98 : 1200 13920 0 0 0 0 0 0 0 
_1.ptx 99 : 1200 8676 0 0 0 0 0 0 0 
_1.ptx 100 : 1200 12132 0 0 0 0 0 0 0 
_1.ptx 101 : 1200 13236 0 0 0 0 0 0 0 
_1.ptx 102 : 1200 12408 0 0 0 0 0 0 0 
_1.ptx 103 : 1200 12048 0 0 0 0 0 0 0 
_1.ptx 105 : 1200 8496 0 0 0 0 0 0 0 
_1.ptx 106 : 1200 7404 0 0 0 0 0 0 0 
_1.ptx 107 : 1200 9696 0 0 0 0 0 0 0 
_1.ptx 108 : 1200 15048 0 0 0 0 0 0 0 
_1.ptx 109 : 1200 10020 0 0 0 0 0 0 0 
_1.ptx 110 : 1200 13992 0 0 0 0 0 0 0 
_1.ptx 113 : 7600 84616 0 0 0 0 0 0 0 
_1.ptx 114 : 7600 59012 0 0 0 0 0 0 0 
_1.ptx 115 : 7600 70812 0 0 0 0 0 0 0 
_1.ptx 116 : 7600 94136 0 0 0 0 0 0 0 
_1.ptx 117 : 7600 94496 0 0 0 0 0 0 0 
_1.ptx 118 : 7600 73580 0 0 0 0 0 0 0 
_1.ptx 120 : 7600 62876 0 0 0 0 0 0 0 
_1.ptx 121 : 7600 73976 0 0 0 0 0 0 0 
_1.ptx 122 : 7600 94512 0 0 0 0 0 0 0 
_1.ptx 124 : 7600 64004 0 0 0 0 0 0 0 
_1.ptx 125 : 7600 72136 0 0 0 0 0 0 0 
_1.ptx 126 : 7600 91288 0 0 0 0 0 0 0 
_1.ptx 128 : 7600 64408 0 0 0 0 0 0 0 
_1.ptx 129 : 7600 89464 0 0 0 0 0 0 0 
_1.ptx 130 : 7600 67980 0 0 0 0 0 0 0 
_1.ptx 132 : 7600 57628 0 0 0 0 0 0 0 
_1.ptx 133 : 7600 63620 0 0 0 0 0 0 0 
_1.ptx 134 : 7600 59996 0 0 0 0 0 0 0 
_1.ptx 135 : 7600 64148 0 0 0 0 0 0 0 
_1.ptx 136 : 7600 59688 0 0 0 0 0 0 0 
_1.ptx 137 : 7600 64444 0 0 0 0 0 0 0 
_1.ptx 138 : 7600 53664 0 0 0 0 0 0 0 
_1.ptx 139 : 7600 65216 0 0 0 0 0 0 0 
_1.ptx 140 : 7600 61516 0 0 0 0 0 0 0 
_1.ptx 141 : 7600 65544 0 0 0 0 0 0 0 
_1.ptx 142 : 7600 62460 0 0 0 0 0 0 0 
_1.ptx 143 : 7600 65572 0 0 0 0 0 0 0 
_1.ptx 144 : 7600 65780 0 0 0 0 0 0 0 
_1.ptx 145 : 7600 53932 0 0 0 0 0 0 0 
_1.ptx 147 : 5200 32156 0 0 0 0 0 0 0 
_1.ptx 148 : 5200 44288 0 0 0 0 0 0 0 
_1.ptx 149 : 5200 33968 0 0 0 0 0 0 0 
_1.ptx 150 : 5200 43116 0 0 0 0 0 0 0 
_1.ptx 151 : 5200 33456 0 0 0 0 0 0 0 
_1.ptx 154 : 12800 151520 0 0 0 0 0 0 0 
_1.ptx 155 : 12800 98816 0 0 0 0 0 0 0 
_1.ptx 156 : 12800 152576 0 0 0 0 0 0 0 
_1.ptx 157 : 12800 115264 0 0 0 0 0 0 0 
_1.ptx 158 : 12800 152352 0 0 0 0 0 0 0 
_1.ptx 159 : 12800 116960 0 0 0 0 0 0 0 
_1.ptx 160 : 12800 114464 0 0 0 0 0 0 0 
_1.ptx 161 : 12800 106496 0 0 0 0 0 0 0 
_1.ptx 162 : 12800 107392 0 0 0 0 0 0 0 
_1.ptx 163 : 12800 112704 0 0 0 0 0 0 0 
_1.ptx 164 : 12800 91776 0 0 0 0 0 0 0 
_1.ptx 165 : 12800 113280 0 0 0 0 0 0 0 
_1.ptx 166 : 12800 19432 0 0 0 0 0 0 100 
_1.ptx 168 : 10000 70904 0 0 0 0 0 0 0 
_1.ptx 169 : 10000 30064 0 0 0 0 0 0 0 
_1.ptx 170 : 10000 81756 0 0 0 0 0 0 0 
_1.ptx 171 : 10000 114172 0 0 0 0 0 0 0 
_1.ptx 172 : 10000 116944 0 0 0 0 0 0 0 
_1.ptx 173 : 10000 3396264 40064 0 0 661 400 0 0 
_1.ptx 174 : 10000 112568 0 0 0 0 0 0 0 
_1.ptx 175 : 10000 75992 0 0 0 0 0 0 0 
_1.ptx 176 : 10000 94632 0 0 0 0 0 0 0 
_1.ptx 177 : 10000 119772 0 0 0 0 0 0 0 
_1.ptx 178 : 10000 86524 0 0 0 0 0 0 0 
_1.ptx 179 : 10000 111872 0 0 0 0 0 0 0 
_1.ptx 180 : 10000 116724 0 0 0 0 0 0 0 
_1.ptx 181 : 10000 67172 0 400 400 0 0 0 0 
_1.ptx 183 : 12800 81344 0 0 0 0 0 0 0 
_1.ptx 184 : 12800 80384 0 0 0 0 0 0 0 
_1.ptx 185 : 12800 107680 0 0 0 0 0 0 0 
_1.ptx 186 : 12800 46914 0 0 0 0 0 0 148 
_1.ptx 188 : 5688 20186 0 0 0 0 0 0 0 
_1.ptx 189 : 5688 40606 0 0 0 0 0 0 0 
_1.ptx 190 : 5688 40752 0 0 0 0 0 0 0 
_1.ptx 191 : 5688 58382 0 0 0 0 0 0 0 
_1.ptx 192 : 5688 63374 0 0 0 0 0 0 0 
_1.ptx 193 : 5688 1630655 0 0 0 1188 292 0 0 
_1.ptx 194 : 5688 41008 0 0 0 0 0 0 0 
_1.ptx 195 : 5688 41887 0 0 0 0 0 0 0 
_1.ptx 196 : 5688 59294 0 0 0 0 0 0 0 
_1.ptx 197 : 5688 63461 0 0 0 0 0 0 0 
_1.ptx 198 : 5688 32634 0 292 292 0 0 0 0 
_1.ptx 200 : 12800 74400 0 0 0 0 0 0 0 
_1.ptx 201 : 12800 84064 0 0 0 0 0 0 0 
_1.ptx 202 : 12800 107456 0 0 0 0 0 0 0 
_1.ptx 203 : 12800 0 0 0 0 0 0 0 0 
_1.ptx 204 : 12800 137664 0 0 0 0 0 0 0 
_1.ptx 205 : 12800 89568 0 0 0 0 0 0 0 
_1.ptx 206 : 12800 111040 0 0 0 0 0 0 0 
_1.ptx 207 : 12800 147328 0 0 0 0 0 0 0 
_1.ptx 208 : 12800 138176 0 0 0 0 0 0 0 
_1.ptx 209 : 12800 139328 0 0 0 0 0 0 0 
_1.ptx 210 : 12800 140448 0 0 0 0 0 0 0 
_1.ptx 211 : 12800 141536 0 0 0 0 0 0 0 
_1.ptx 212 : 12800 105120 0 0 0 0 0 0 0 
_1.ptx 213 : 12800 91264 0 0 0 0 0 0 0 
_1.ptx 214 : 12800 101152 0 0 0 0 0 0 0 
_1.ptx 217 : 1280000 8562464 0 0 0 0 0 0 0 
_1.ptx 218 : 1280000 10822528 0 0 0 0 0 0 0 
_1.ptx 219 : 1280000 1906744 0 0 0 0 0 0 10000 
_1.ptx 221 : 1000000 7764356 0 0 0 0 0 0 0 
_1.ptx 223 : 1000000 8728000 0 0 0 0 0 0 0 
_1.ptx 224 : 1000000 11482756 0 0 0 0 0 0 0 
_1.ptx 226 : 1000000 8176916 0 0 0 0 0 0 0 
_1.ptx 227 : 1000000 11164720 0 0 0 0 0 0 0 
_1.ptx 228 : 1000000 11566540 0 0 0 0 0 0 0 
_1.ptx 229 : 1000000 9216880 0 40000 40000 0 0 0 0 
_1.ptx 230 : 1000000 5979612 0 40000 40000 0 0 0 0 
_1.ptx 232 : 1000000 9407036 0 40000 40000 0 0 0 0 
_1.ptx 233 : 1000000 5987932 0 40000 40000 0 0 0 0 
_1.ptx 234 : 1000000 8422828 0 0 0 0 0 0 0 
_1.ptx 235 : 1000000 64192 0 0 0 0 0 0 0 
_1.ptx 237 : 990000 4376324 0 0 0 0 0 0 0 
_1.ptx 238 : 990000 7439548 0 0 0 0 0 0 0 
_1.ptx 239 : 990000 10621016 0 0 0 0 0 0 0 
_1.ptx 240 : 990000 11240104 0 0 0 0 0 0 0 
_1.ptx 241 : 990000 327771796 3230208 0 0 65589 39600 0 0 
_1.ptx 242 : 990000 6064368 0 39600 39600 0 0 0 0 
_1.ptx 245 : 1280000 4636550 0 0 0 0 0 0 14800 
_1.ptx 247 : 568800 4274616 0 0 0 0 0 0 0 
_1.ptx 248 : 568800 4783914 0 0 0 0 0 0 0 
_1.ptx 249 : 568800 6433974 0 0 0 0 0 0 0 
_1.ptx 250 : 568800 4297495 0 0 0 0 0 0 0 
_1.ptx 252 : 568800 4269893 0 0 0 0 0 0 0 
_1.ptx 253 : 568800 4280372 0 0 0 0 0 0 0 
_1.ptx 254 : 568800 5935561 0 0 0 0 0 0 0 
_1.ptx 255 : 568800 6424952 0 0 0 0 0 0 0 
_1.ptx 256 : 568800 5355317 0 29200 29200 0 0 0 0 
_1.ptx 257 : 568800 3295732 0 29200 29200 0 0 0 0 
_1.ptx 259 : 568800 5203915 0 29200 29200 0 0 0 0 
_1.ptx 260 : 568800 3298580 0 29200 29200 0 0 0 0 
_1.ptx 261 : 568800 4725211 0 0 0 0 0 0 0 
_1.ptx 262 : 568800 36156 0 0 0 0 0 0 0 
_1.ptx 264 : 563112 2327061 0 0 0 0 0 0 0 
_1.ptx 265 : 563112 4209785 0 0 0 0 0 0 0 
_1.ptx 266 : 563112 5982096 0 0 0 0 0 0 0 
_1.ptx 267 : 563112 6359676 0 0 0 0 0 0 0 
_1.ptx 268 : 563112 136929490 729728 0 0 117612 28908 0 0 
_1.ptx 269 : 563112 3205986 0 28908 28908 0 0 0 0 
_1.ptx 273 : 1280000 8342336 0 0 0 0 0 0 0 
_1.ptx 274 : 1280000 8671328 0 0 0 0 0 0 0 
_1.ptx 275 : 1280000 10891584 0 0 0 0 0 0 0 
_1.ptx 276 : 1280000 1896076 0 0 0 0 0 0 10000 
_1.ptx 278 : 1000000 6787760 0 0 0 0 0 0 0 
_1.ptx 279 : 1000000 8496516 0 0 0 0 0 0 0 
_1.ptx 280 : 1000000 67955 0 0 0 0 0 0 10000 
_1.ptx 281 : 990000 8418040 0 0 0 0 0 0 0 
_1.ptx 282 : 990000 68041 0 0 0 0 0 0 10000 
_1.ptx 283 : 980000 6704128 0 0 0 0 0 0 0 
_1.ptx 284 : 980000 8346836 0 0 0 0 0 0 0 
_1.ptx 285 : 980000 69125 0 0 0 0 0 0 0 
_1.ptx 286 : 970200 8273501 0 0 0 0 0 0 0 
_1.ptx 287 : 970200 67287 0 0 0 0 0 0 0 
_1.ptx 288 : 960400 6576414 0 0 0 0 0 0 0 
_1.ptx 289 : 960400 8196764 0 0 0 0 0 0 0 
_1.ptx 290 : 960400 59885 0 0 0 0 0 0 0 
_1.ptx 291 : 950796 8126324 0 0 0 0 0 0 0 
_1.ptx 292 : 950796 6414455 0 0 0 0 0 0 0 
_1.ptx 296 : 58808 453887 0 0 0 0 0 0 0 
_1.ptx 297 : 58808 665263 0 0 0 0 0 0 0 
_1.ptx 298 : 58808 670943 0 0 0 0 0 0 0 
_1.ptx 299 : 58808 512406 0 21584 21584 0 0 0 0 
_1.ptx 300 : 58808 386270 0 0 0 0 0 0 0 
_1.ptx 303 : 941192 7222504 0 0 0 0 0 0 0 
_1.ptx 304 : 941192 10166154 0 0 0 0 0 0 0 
_1.ptx 305 : 941192 10707077 0 0 0 0 0 0 0 
_1.ptx 306 : 941192 8380960 0 38416 38416 0 0 0 0 
_1.ptx 307 : 941192 8395765 0 38416 38416 0 0 0 0 
_1.ptx 308 : 941192 8419769 0 38416 38416 0 0 0 0 
_1.ptx 309 : 941192 8439791 0 38416 38416 0 0 0 0 
_1.ptx 310 : 941192 8441966 0 38416 38416 0 0 0 0 
_1.ptx 311 : 941192 8449214 0 38416 38416 0 0 0 0 
_1.ptx 312 : 941192 10789056 0 0 0 0 0 0 0 
_1.ptx 313 : 941192 10808889 0 0 0 0 0 0 0 
_1.ptx 314 : 941192 10856165 0 0 0 0 0 0 0 
_1.ptx 315 : 941192 10859568 0 0 0 0 0 0 0 
_1.ptx 316 : 941192 10911116 0 0 0 0 0 0 0 
_1.ptx 317 : 941192 6768308 0 0 0 0 0 0 0 
