kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 65 : 28392 181660 0 0 0 0 0 0 0 
_1.ptx 66 : 28392 525093 0 0 0 0 0 0 0 
_1.ptx 67 : 28392 4080927 128 0 0 0 0 0 0 
_1.ptx 68 : 28392 218463 0 0 0 0 0 0 0 
_1.ptx 69 : 28392 559065 0 0 0 0 0 0 0 
_1.ptx 70 : 28392 327712 0 0 0 0 0 0 0 
_1.ptx 71 : 28392 3030896 640 0 0 1008 1008 0 0 
_1.ptx 72 : 28392 202444 0 0 0 0 0 0 0 
_1.ptx 73 : 28392 501786 0 0 0 0 0 0 0 
_1.ptx 74 : 28392 198009 0 0 0 0 0 0 0 
_1.ptx 75 : 28392 591487 0 0 0 0 0 0 0 
_1.ptx 76 : 28392 191880 0 0 0 0 0 0 0 
_1.ptx 77 : 28392 586712 0 0 0 0 0 0 0 
_1.ptx 78 : 28392 225935 0 0 0 0 0 0 0 
_1.ptx 79 : 28392 304045 0 0 0 0 0 0 0 
_1.ptx 80 : 28392 328349 0 0 0 0 0 0 0 
_1.ptx 81 : 28392 218442 0 0 0 0 0 0 0 
_1.ptx 82 : 28392 233643 0 0 0 0 0 0 0 
_1.ptx 83 : 28392 191607 0 0 0 0 0 0 0 
_1.ptx 87 : 709800 18496946 128 0 0 0 0 0 0 
_1.ptx 88 : 709800 8120942 0 0 0 0 0 0 0 
_1.ptx 89 : 709800 8149396 0 0 0 0 0 0 0 
_1.ptx 90 : 709800 5669354 0 0 0 0 0 0 0 
_1.ptx 91 : 709800 7930096 0 0 0 0 0 0 0 
_1.ptx 92 : 709800 8155562 0 0 0 0 0 0 0 
_1.ptx 93 : 709800 177365389 94208 0 0 115134 25200 0 0 
_1.ptx 94 : 709800 34366398 0 0 0 25200 25200 0 0 
_1.ptx 95 : 709800 6726698 0 0 0 0 0 0 0 
_1.ptx 96 : 709800 7572832 0 0 0 0 0 0 0 
_1.ptx 97 : 709800 7553753 0 0 0 0 0 0 0 
_1.ptx 98 : 709800 7591573 0 0 0 0 0 0 0 
_1.ptx 99 : 709800 6102417 0 0 0 0 0 0 0 
_1.ptx 100 : 709800 4637872 0 0 0 0 0 0 0 
_1.ptx 102 : 28392 234988 0 0 0 0 0 0 0 
_1.ptx 103 : 28392 209071 0 0 0 0 0 0 0 
_1.ptx 104 : 28392 455736 0 0 0 0 0 0 0 
_1.ptx 105 : 28392 233835 0 0 0 0 0 0 0 
_1.ptx 106 : 28392 233428 0 0 0 0 0 0 0 
_1.ptx 107 : 28392 235452 0 0 0 0 0 0 0 
_1.ptx 108 : 28392 204013 0 0 0 0 0 0 0 
_1.ptx 109 : 28392 250986 0 0 0 0 0 0 0 
_1.ptx 110 : 28392 131216 0 0 0 0 0 0 862 
_1.ptx 112 : 9895 116434 0 0 0 0 0 0 0 
_1.ptx 113 : 9895 71540 0 0 0 0 0 0 0 
_1.ptx 114 : 9895 120249 0 0 0 0 0 0 0 
_1.ptx 115 : 9895 79713 0 0 0 0 0 0 0 
_1.ptx 116 : 9895 70986 0 0 0 0 0 0 0 
_1.ptx 117 : 9895 70857 0 0 0 0 0 0 0 
_1.ptx 118 : 9895 95016 0 0 0 0 0 0 0 
_1.ptx 119 : 9895 95212 0 0 0 0 0 0 0 
_1.ptx 120 : 9895 70853 0 0 0 0 0 0 0 
_1.ptx 121 : 9895 118335 0 0 0 0 0 0 0 
_1.ptx 123 : 9895 173466 0 0 0 0 0 0 0 
_1.ptx 124 : 9895 197676 0 0 0 0 0 0 0 
_1.ptx 125 : 9895 120557 0 0 0 0 0 0 0 
_1.ptx 127 : 9895 71023 0 0 0 0 0 0 0 
_1.ptx 128 : 9895 72120 0 0 0 0 0 0 0 
_1.ptx 129 : 9895 71451 0 0 0 0 0 0 0 
_1.ptx 130 : 9895 70322 0 0 0 0 0 0 0 
_1.ptx 131 : 9895 114771 0 0 0 0 0 0 0 
_1.ptx 132 : 9895 486071 0 0 0 0 0 0 0 
_1.ptx 133 : 9895 114588 0 0 0 0 0 0 0 
_1.ptx 134 : 9895 70631 0 0 0 0 0 0 0 
_1.ptx 135 : 9895 85269 0 0 0 0 0 0 0 
_1.ptx 136 : 9895 94158 0 0 0 0 0 0 0 
_1.ptx 137 : 9895 78720 0 0 0 0 0 0 0 
_1.ptx 138 : 9895 77854 0 0 0 0 0 0 0 
_1.ptx 139 : 9895 78973 0 0 0 0 0 0 0 
_1.ptx 140 : 9895 85922 0 0 0 0 0 0 0 
_1.ptx 141 : 9895 78399 0 0 0 0 0 0 0 
_1.ptx 142 : 9895 68727 0 0 0 0 0 0 0 
_1.ptx 145 : 18497 227380 0 0 0 0 0 0 0 
_1.ptx 146 : 18497 135215 0 0 0 0 0 0 0 
_1.ptx 147 : 18497 133137 0 0 0 0 0 0 0 
_1.ptx 148 : 18497 178091 0 0 0 0 0 0 0 
_1.ptx 149 : 18497 133087 0 0 0 0 0 0 0 
_1.ptx 150 : 18497 179411 0 0 0 0 0 0 0 
_1.ptx 151 : 18497 132578 0 0 0 0 0 0 0 
_1.ptx 152 : 18497 177414 0 0 0 0 0 0 0 
_1.ptx 153 : 18497 223150 0 0 0 0 0 0 0 
_1.ptx 154 : 18497 180720 0 0 0 0 0 0 0 
_1.ptx 156 : 18497 222980 0 0 0 0 0 0 0 
_1.ptx 157 : 18497 135667 0 0 0 0 0 0 0 
_1.ptx 158 : 18497 162540 0 0 0 0 0 0 0 
_1.ptx 159 : 18497 177565 0 0 0 0 0 0 0 
_1.ptx 162 : 28392 226404 0 0 0 0 0 0 0 
_1.ptx 163 : 28392 203946 0 0 0 0 0 0 0 
_1.ptx 164 : 28392 448099 0 0 0 0 0 0 0 
_1.ptx 165 : 28392 226129 0 0 0 0 0 0 0 
_1.ptx 166 : 28392 333288 0 0 0 0 0 0 0 
_1.ptx 167 : 28392 376274 0 0 0 0 0 0 0 
_1.ptx 168 : 28392 380254 0 0 0 0 0 0 0 
_1.ptx 169 : 28392 327755 0 0 0 0 0 0 0 
_1.ptx 170 : 28392 330455 0 0 0 0 0 0 0 
_1.ptx 171 : 28392 369030 0 0 0 0 0 0 0 
_1.ptx 172 : 28392 330077 0 0 0 0 0 0 0 
_1.ptx 173 : 28392 227897 0 0 0 0 0 0 0 
_1.ptx 174 : 28392 361305 0 0 0 0 0 0 0 
_1.ptx 175 : 28392 329055 0 0 0 0 0 0 0 
_1.ptx 176 : 28392 493176 81600 0 0 1860 1008 0 0 
_1.ptx 178 : 28392 199906 0 0 0 0 0 0 0 
_1.ptx 196 : 35000 213250 0 0 0 0 0 0 0 
_1.ptx 197 : 35000 372425 0 0 0 0 0 0 0 
_1.ptx 198 : 35000 215300 0 0 0 0 0 0 0 
_1.ptx 199 : 35000 250625 0 0 0 0 0 0 0 
_1.ptx 200 : 35000 375200 0 0 0 0 0 0 0 
_1.ptx 201 : 35000 388850 0 0 0 0 0 0 0 
_1.ptx 202 : 35000 5198750 6400 0 0 1400 1400 0 0 
_1.ptx 203 : 35000 214100 0 0 0 0 0 0 0 
_1.ptx 204 : 35000 366975 0 0 0 0 0 0 0 
_1.ptx 205 : 35000 214650 0 0 0 0 0 0 0 
_1.ptx 206 : 35000 378150 0 0 0 0 0 0 0 
_1.ptx 207 : 35000 213600 0 0 0 0 0 0 0 
_1.ptx 208 : 35000 373100 0 0 0 0 0 0 0 
_1.ptx 209 : 35000 391575 0 0 0 0 0 0 0 
_1.ptx 210 : 35000 265100 0 0 0 0 0 0 0 
_1.ptx 211 : 35000 367175 0 0 0 0 0 0 0 
_1.ptx 212 : 35000 229675 0 0 0 0 0 0 0 
_1.ptx 213 : 35000 260450 0 0 0 0 0 0 0 
_1.ptx 214 : 35000 209850 0 0 0 0 0 0 0 
_1.ptx 218 : 875000 7777900 128 0 0 0 0 0 0 
_1.ptx 219 : 875000 9788475 0 0 0 0 0 0 0 
_1.ptx 220 : 875000 9737900 0 0 0 0 0 0 0 
_1.ptx 221 : 875000 6301375 0 0 0 0 0 0 0 
_1.ptx 222 : 875000 9082325 0 0 0 0 0 0 0 
_1.ptx 223 : 875000 9724850 0 0 0 0 0 0 0 
_1.ptx 224 : 875000 17866250 0 0 0 157500 35000 0 0 
_1.ptx 225 : 875000 11754875 0 0 0 35000 35000 0 0 
_1.ptx 226 : 875000 7930225 0 0 0 0 0 0 0 
_1.ptx 228 : 875000 15151725 7936 0 0 35000 35000 0 0 
_1.ptx 229 : 875000 18558500 0 0 0 157500 35000 0 0 
_1.ptx 230 : 875000 7930775 0 0 0 0 0 0 0 
_1.ptx 232 : 875000 8619425 0 0 0 35000 35000 0 0 
_1.ptx 233 : 875000 17534925 0 0 0 157400 35000 0 0 
_1.ptx 234 : 875000 7930850 0 0 0 0 0 0 0 
_1.ptx 236 : 875000 16333400 8832 0 0 35000 35000 0 0 
_1.ptx 237 : 875000 18371000 0 0 0 157500 35000 0 0 
_1.ptx 238 : 875000 7930125 0 0 0 0 0 0 0 
_1.ptx 240 : 875000 8507575 0 0 0 35000 35000 0 0 
_1.ptx 241 : 875000 18491375 0 0 0 157550 35000 0 0 
_1.ptx 242 : 875000 7931925 0 0 0 0 0 0 0 
_1.ptx 244 : 875000 15683650 8064 0 0 35000 35000 0 0 
_1.ptx 245 : 875000 20243825 0 0 0 157550 35000 0 0 
_1.ptx 246 : 875000 7995850 0 0 0 0 0 0 0 
_1.ptx 247 : 875000 8985000 0 0 0 0 0 0 0 
_1.ptx 248 : 875000 8920800 0 0 0 0 0 0 0 
_1.ptx 249 : 875000 9003325 0 0 0 0 0 0 0 
_1.ptx 250 : 875000 7178325 0 0 0 0 0 0 0 
_1.ptx 251 : 875000 5162925 0 0 0 0 0 0 0 
_1.ptx 253 : 35000 254700 0 0 0 0 0 0 0 
_1.ptx 254 : 35000 219275 0 0 0 0 0 0 0 
_1.ptx 255 : 35000 530625 0 0 0 0 0 0 0 
_1.ptx 256 : 35000 256100 0 0 0 0 0 0 0 
_1.ptx 257 : 35000 259725 0 0 0 0 0 0 0 
_1.ptx 258 : 35000 256475 0 0 0 0 0 0 0 
_1.ptx 259 : 35000 223325 0 0 0 0 0 0 0 
_1.ptx 260 : 35000 286875 0 0 0 0 0 0 0 
_1.ptx 261 : 35000 83539 0 0 0 0 0 0 1378 
_1.ptx 263 : 21487 242717 0 0 0 0 0 0 0 
_1.ptx 264 : 21487 136534 0 0 0 0 0 0 0 
_1.ptx 265 : 21487 239438 0 0 0 0 0 0 0 
_1.ptx 266 : 21487 157190 0 0 0 0 0 0 0 
_1.ptx 267 : 21487 134711 0 0 0 0 0 0 0 
_1.ptx 268 : 21487 134953 0 0 0 0 0 0 0 
_1.ptx 269 : 21487 196080 0 0 0 0 0 0 0 
_1.ptx 270 : 21487 196572 0 0 0 0 0 0 0 
_1.ptx 271 : 21487 135166 0 0 0 0 0 0 0 
_1.ptx 272 : 21487 239729 0 0 0 0 0 0 0 
_1.ptx 274 : 21487 328767 0 0 0 0 0 0 0 
_1.ptx 275 : 21487 366842 0 0 0 0 0 0 0 
_1.ptx 276 : 21487 240587 0 0 0 0 0 0 0 
_1.ptx 278 : 21487 134485 0 0 0 0 0 0 0 
_1.ptx 279 : 21487 135169 0 0 0 0 0 0 0 
