kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3060640 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 598455 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 596138 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5544791 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5719111 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3810233 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4413040 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2624809 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 896577 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1094423 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1005697 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 885355 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1087984 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1000701 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1086548 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 885490 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1082363 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 440148 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 683900 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 523220 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 496180 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 787974 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 709010 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 285713 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 282449 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 281488 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 284914 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 279115 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 278352 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 278971 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 700200 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 700194 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 707285 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 709091 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 728154 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 714691 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 302890 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 424801 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 531078 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 126512 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 310751 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 312196 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 309003 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 302863 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 68434 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 218661 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 220543 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223733 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 224689 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 224049 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 182666 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 186890 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 773038 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 236287 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 247058 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 245514 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 723734 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 733794 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 749243 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 789808 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 624139 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 605599 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 2686407 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 719787 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 721357 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 728562 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 721969 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 610608 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 604405 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 436341 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 537136 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 430707 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 483659 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 487845 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 492051 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 439145 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 718858 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 494797 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 1024309 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 707540 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 538870 33024 0 0 0 0 0 0 
_1.ptx 921 : 62282 413870 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 706481 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 931657 57696 0 0 0 0 0 0 
_1.ptx 924 : 62282 402168 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 700950 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 1047376 31776 0 0 0 0 0 0 
_1.ptx 927 : 62282 404696 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 707704 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 1070353 40384 0 0 0 0 0 0 
_1.ptx 931 : 62282 412094 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 713170 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 423295 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 711716 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 401116 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 717975 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 760201 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 611778 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 597815 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2774489 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 753495 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 770877 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 768903 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 758262 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 597490 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 595908 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 439806 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 541179 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 37341 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 444507 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 355726 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 1048507 0 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 1092136 0 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 1066206 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 1051095 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1442988 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1866914 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1112262 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 425103 0 0 0 0 0 0 0 
_1.ptx 964 : 56815 374765 0 0 0 0 0 0 0 
_1.ptx 965 : 56815 480892 0 0 0 0 0 0 0 
_1.ptx 966 : 56815 377927 0 0 0 0 0 0 0 
_1.ptx 971 : 56815 362141 0 0 0 0 0 0 0 
_1.ptx 972 : 56815 522804 0 0 0 0 0 0 0 
_1.ptx 973 : 56815 636136 0 0 0 0 0 0 0 
_1.ptx 974 : 56815 3497693 0 0 0 0 0 0 0 
_1.ptx 976 : 56815 356441 0 0 0 0 0 0 0 
_1.ptx 977 : 56815 356864 0 0 0 0 0 0 0 
_1.ptx 978 : 56815 477655 0 0 0 0 0 0 0 
_1.ptx 979 : 56815 525256 0 0 0 0 0 0 0 
_1.ptx 982 : 56815 425515 0 0 0 0 0 0 0 
_1.ptx 983 : 56815 369525 0 0 0 0 0 0 0 
_1.ptx 986 : 164088 753275 0 0 0 6402 6402 0 0 
_1.ptx 987 : 164088 596568 0 0 0 0 0 0 0 
_1.ptx 988 : 164088 1928182 0 0 0 0 0 0 0 
_1.ptx 989 : 164088 1215281 0 0 0 0 0 0 0 
_1.ptx 990 : 164088 1929920 0 0 0 0 0 0 0 
_1.ptx 991 : 164088 1242213 0 0 0 0 0 0 0 
_1.ptx 992 : 164088 1949226 0 0 0 0 0 0 0 
_1.ptx 993 : 164088 1265012 0 0 0 0 0 0 0 
_1.ptx 994 : 164088 1949825 0 0 0 0 0 0 0 
_1.ptx 995 : 164088 1994136 0 0 0 0 0 0 0 
_1.ptx 996 : 164088 2000312 0 0 0 0 0 0 0 
_1.ptx 997 : 164088 2016421 0 0 0 0 0 0 0 
_1.ptx 998 : 164088 2011677 0 0 0 0 0 0 0 
_1.ptx 999 : 164088 2014237 0 0 0 0 0 0 0 
_1.ptx 1000 : 164088 2032418 0 0 0 0 0 0 0 
_1.ptx 1001 : 164088 2022692 0 0 0 0 0 0 0 
_1.ptx 1002 : 164088 1700446 0 0 0 0 0 0 0 
_1.ptx 1003 : 164088 1694359 0 0 0 0 0 0 0 
_1.ptx 1004 : 164088 1991413 0 0 0 0 0 0 0 
_1.ptx 1005 : 164088 1664657 0 0 0 0 0 0 0 
_1.ptx 1006 : 164088 1651530 0 0 0 0 0 0 0 
_1.ptx 1007 : 164088 1970157 0 0 0 0 0 0 0 
_1.ptx 1008 : 164088 1508734 0 0 0 0 0 0 0 
_1.ptx 1009 : 164088 1389343 0 0 0 0 0 0 0 
_1.ptx 1010 : 164088 1181451 0 0 0 0 0 0 0 
_1.ptx 1011 : 164088 1466742 0 0 0 0 0 0 0 
_1.ptx 1012 : 164088 1362186 0 0 0 0 0 0 0 
_1.ptx 1013 : 164088 1463880 0 0 0 0 0 0 0 
_1.ptx 1014 : 164088 1206613 0 0 0 0 0 0 0 
_1.ptx 1015 : 164088 1459458 0 0 0 0 0 0 0 
_1.ptx 1016 : 164088 824522 0 0 0 0 0 0 965 
_1.ptx 1017 : 50431 366184 0 0 0 0 0 0 0 
_1.ptx 1018 : 50431 362085 0 0 0 0 0 0 0 
