kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2041280 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2228288 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2981600 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2771360 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2003488 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1734464 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2190560 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2974208 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1988256 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1981312 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2867520 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5718656 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2945120 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 5894656 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2951648 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1771072 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 1982368 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 402757120 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 408728768 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9627200 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10751488 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10738528 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10768448 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8610400 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 4908800 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1643744 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 7541120 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2939872 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2941408 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2179680 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1257248 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 427040 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4659424 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5773888 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3395359 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1687083 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1526122 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1709205 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2339578 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2401559 0 0 0 0 0 0 0 
