kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 1227 : 25604099 282102324 0 0 0 0 0 0 0 
_3.ptx 1228 : 25604099 31908140309 1048924416 0 0 25604099 1678196 0 0 
_3.ptx 1229 : 25604099 154054453 0 0 0 0 0 0 0 
_3.ptx 1230 : 25604099 205161783 0 0 0 0 0 0 0 
_3.ptx 1231 : 25604099 230947166 0 0 0 0 0 0 0 
_3.ptx 1233 : 25604099 153892622 0 0 0 0 0 0 0 
_3.ptx 1236 : 737280 5175743 0 0 0 0 0 0 0 
_3.ptx 1237 : 737280 8119702 0 0 0 0 0 0 0 
_3.ptx 1238 : 737280 692533722 41841536 0 0 737280 286414 0 0 
_3.ptx 1239 : 737280 4437260 0 0 0 0 0 0 0 
_3.ptx 1240 : 737280 5911269 0 0 0 0 0 0 0 
_3.ptx 1241 : 737280 3968948 0 0 0 0 0 0 11691 
_3.ptx 1242 : 76800 461532 0 0 0 0 0 0 0 
_3.ptx 1243 : 76800 461864 0 0 0 0 0 0 0 
_3.ptx 1246 : 660480 3967003 0 0 0 0 0 0 0 
_3.ptx 1247 : 660480 5299774 0 0 0 0 0 0 0 
_3.ptx 1248 : 660480 4652956 0 0 0 0 0 0 0 
_3.ptx 1249 : 660480 3988736 0 0 0 0 0 0 0 
_3.ptx 1252 : 146432 1030097 0 0 0 0 0 0 0 
_3.ptx 1253 : 146432 1613843 0 0 0 0 0 0 0 
_3.ptx 1254 : 146432 116724889 6325760 0 0 146432 64480 0 0 
_3.ptx 1255 : 146432 882372 0 0 0 0 0 0 0 
_3.ptx 1256 : 146432 1174970 0 0 0 0 0 0 0 
_3.ptx 1257 : 146432 541751 0 0 0 0 0 0 1204 
_3.ptx 1259 : 56320 338690 0 0 0 0 0 0 0 
_3.ptx 1260 : 56320 17764453 1498336 0 0 0 0 0 0 
_3.ptx 1261 : 56320 339732 0 0 0 0 0 0 0 
_3.ptx 1262 : 56320 15829609 516288 0 0 0 0 0 0 
_3.ptx 1263 : 56320 339714 0 0 0 0 0 0 0 
_3.ptx 1264 : 56320 14783754 70592 0 0 0 0 0 0 
_3.ptx 1265 : 56320 339721 0 0 0 0 0 0 0 
_3.ptx 1266 : 56320 14387717 61216 0 0 0 0 0 0 
_3.ptx 1267 : 56320 339794 0 0 0 0 0 0 0 
_3.ptx 1268 : 56320 14742106 1494560 0 0 0 0 0 0 
_3.ptx 1269 : 56320 339796 0 0 0 0 0 0 0 
_3.ptx 1273 : 281600 1986694 0 0 0 0 0 0 0 
_3.ptx 1274 : 281600 3107582 0 0 0 0 0 0 0 
_3.ptx 1275 : 281600 170166430 3340032 0 0 0 0 0 0 
_3.ptx 1276 : 281600 3110648 0 0 0 0 0 0 0 
