kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 995 : 135936 1156992 0 0 0 0 0 0 0 
_2.ptx 996 : 135936 749624 0 0 0 0 0 0 295 
_2.ptx 998 : 30149 228532 0 0 0 0 0 0 0 
_2.ptx 999 : 30149 267364 0 0 0 0 0 0 0 
_2.ptx 1000 : 30149 269903 0 0 0 0 0 0 0 
_2.ptx 1001 : 30149 359547 0 0 0 0 0 0 0 
_2.ptx 1002 : 30149 353443 0 0 0 0 0 0 0 
_2.ptx 1003 : 30149 264443 0 0 0 0 0 0 0 
_2.ptx 1004 : 30149 359821 0 0 0 0 0 0 0 
_2.ptx 1005 : 30149 256192 0 0 0 0 0 0 0 
_2.ptx 1006 : 30149 346869 0 0 0 0 0 0 0 
_2.ptx 1007 : 30149 353360 0 0 0 0 0 0 0 
_2.ptx 1008 : 30149 318214 0 2006 1180 0 0 0 0 
_2.ptx 1010 : 30149 353511 0 0 0 0 0 0 0 
_2.ptx 1011 : 30149 336826 0 0 0 0 0 0 0 
_2.ptx 1012 : 30149 254715 0 0 0 0 0 0 0 
_2.ptx 1013 : 30149 355298 0 0 0 0 0 0 0 
_2.ptx 1014 : 30149 254659 0 0 0 0 0 0 0 
_2.ptx 1015 : 30149 345644 0 0 0 0 0 0 0 
_2.ptx 1016 : 30149 354326 0 0 0 0 0 0 0 
_2.ptx 1017 : 30149 322603 0 2006 1180 0 0 0 0 
_2.ptx 1018 : 30149 223644 0 2006 1180 0 0 0 0 
_2.ptx 1020 : 30149 333059 0 2006 1180 0 0 0 0 
_2.ptx 1021 : 30149 348340 0 0 0 0 0 0 0 
_2.ptx 1022 : 30149 223921 0 2006 1180 0 0 0 0 
_2.ptx 1025 : 135936 1774816 0 0 0 0 0 0 0 
_2.ptx 1026 : 135936 1175840 0 0 0 0 0 0 0 
_2.ptx 1027 : 135936 856800 0 0 0 0 0 0 0 
_3.ptx 1028 : 30208 192384 0 0 0 0 0 0 0 
_3.ptx 1029 : 30208 191680 0 0 0 0 0 0 0 
_2.ptx 1030 : 15104 103008 0 0 0 0 0 0 0 
_3.ptx 1030 : 30208 599552 0 0 0 0 0 0 0 
_3.ptx 1031 : 30208 210880 0 0 0 0 0 0 0 
_2.ptx 1032 : 15104 132224 0 0 0 0 0 0 0 
_3.ptx 1032 : 30208 369536 0 0 0 0 0 0 0 
_2.ptx 1033 : 15104 215808 0 944 472 0 0 0 0 
_3.ptx 1033 : 30208 244544 0 0 0 0 0 0 0 
_2.ptx 1034 : 15104 167968 0 0 0 0 0 0 0 
_3.ptx 1034 : 30208 642336 0 0 0 0 0 0 0 
_2.ptx 1035 : 15104 243552 60416 0 0 472 472 0 0 
_3.ptx 1035 : 30208 200320 0 0 0 0 0 0 0 
_3.ptx 1036 : 30208 341632 0 0 0 0 0 0 0 
_2.ptx 1037 : 15104 267712 0 944 472 0 0 0 0 
_3.ptx 1037 : 30208 3390144 128 0 0 0 0 0 0 
_2.ptx 1038 : 15104 166912 0 0 0 0 0 0 0 
_3.ptx 1038 : 30208 987488 0 0 0 0 0 0 0 
_2.ptx 1039 : 15104 495616 60416 0 0 472 472 0 0 
_3.ptx 1039 : 30208 551680 0 0 0 0 0 0 0 
_3.ptx 1040 : 30208 251520 0 0 0 0 0 0 0 
_2.ptx 1041 : 15104 90976 0 0 0 0 0 0 0 
_3.ptx 1041 : 30208 201024 0 0 0 0 0 0 1 
_3.ptx 1042 : 208 1280 0 0 0 0 0 0 0 
_3.ptx 1045 : 30000 688800 0 0 0 0 0 0 0 
_3.ptx 1046 : 30000 709072 0 0 0 0 0 0 0 
_3.ptx 1047 : 30000 195424 0 0 0 0 0 0 0 
_3.ptx 1048 : 30000 336304 0 0 0 0 0 0 0 
_3.ptx 1049 : 30000 228288 0 0 0 0 0 0 0 
_3.ptx 1050 : 30000 689520 0 0 0 0 0 0 0 
_3.ptx 1051 : 30000 313536 0 0 0 0 0 0 0 
_3.ptx 1052 : 30000 650000 0 0 0 0 0 0 0 
_3.ptx 1053 : 30000 274704 0 0 0 0 0 0 0 
_3.ptx 1054 : 30000 289904 0 0 0 0 0 0 0 
_3.ptx 1055 : 30000 264256 0 0 0 0 0 0 0 
_3.ptx 1056 : 30000 0 0 0 0 0 0 0 0 
_3.ptx 1057 : 30000 239408 0 0 0 0 0 0 0 
_3.ptx 1058 : 30000 478528 0 0 0 0 0 0 0 
_3.ptx 1059 : 30000 92720 0 0 0 0 0 0 0 
_3.ptx 1060 : 30000 340080 0 0 0 0 0 0 0 
_3.ptx 1061 : 30000 104560 0 0 0 0 0 0 0 
_3.ptx 1062 : 30000 334032 0 0 0 0 0 0 0 
_3.ptx 1063 : 30000 131984 0 0 0 0 0 0 0 
_3.ptx 1064 : 30000 332272 0 0 0 0 0 0 0 
_2.ptx 869 : 15104 90624 0 0 0 0 0 0 0 
_3.ptx 1068 : 30000 12018912 120064 0 0 938 938 0 0 
_2.ptx 870 : 15104 45312 0 0 0 0 0 0 0 
_3.ptx 1069 : 30000 300512 0 0 0 0 0 0 0 
_2.ptx 871 : 15104 96672 0 0 0 0 0 0 0 
_3.ptx 1070 : 30000 743200 0 0 0 938 938 0 0 
_2.ptx 872 : 15104 127104 0 0 0 0 0 0 0 
_3.ptx 1072 : 30000 12555056 120064 0 0 938 938 0 0 
