kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 995 : 4718592 41312160 0 0 0 0 0 0 0 
_2.ptx 996 : 4718592 27350328 0 0 0 0 0 0 10240 
_2.ptx 998 : 1046528 7796632 0 0 0 0 0 0 0 
_2.ptx 999 : 1046528 9238513 0 0 0 0 0 0 0 
_2.ptx 1000 : 1046528 9372129 0 0 0 0 0 0 0 
_2.ptx 1001 : 1046528 12405797 0 0 0 0 0 0 0 
_2.ptx 1002 : 1046528 11885933 0 0 0 0 0 0 0 
_2.ptx 1003 : 1046528 8994298 0 0 0 0 0 0 0 
_2.ptx 1004 : 1046528 12356438 0 0 0 0 0 0 0 
_2.ptx 1005 : 1046528 8808906 0 0 0 0 0 0 0 
_2.ptx 1006 : 1046528 12247395 0 0 0 0 0 0 0 
_2.ptx 1007 : 1046528 12289119 0 0 0 0 0 0 0 
_2.ptx 1008 : 1046528 11011128 0 69632 40960 0 0 0 0 
_2.ptx 1010 : 1046528 12231488 0 0 0 0 0 0 0 
_2.ptx 1011 : 1046528 11626158 0 0 0 0 0 0 0 
_2.ptx 1012 : 1046528 8863488 0 0 0 0 0 0 0 
_2.ptx 1013 : 1046528 12300815 0 0 0 0 0 0 0 
_2.ptx 1014 : 1046528 8836435 0 0 0 0 0 0 0 
_2.ptx 1015 : 1046528 11907020 0 0 0 0 0 0 0 
_2.ptx 1016 : 1046528 12288887 0 0 0 0 0 0 0 
_2.ptx 1017 : 1046528 11230699 0 69632 40960 0 0 0 0 
_2.ptx 1018 : 1046528 7594163 0 69632 40960 0 0 0 0 
_2.ptx 1020 : 1046528 11267825 0 69632 40960 0 0 0 0 
_2.ptx 1021 : 1046528 12133045 0 0 0 0 0 0 0 
_2.ptx 1022 : 1046528 7580991 0 69632 40960 0 0 0 0 
_2.ptx 1025 : 4718592 56620000 0 0 0 0 0 0 0 
_2.ptx 1026 : 4718592 41331840 0 0 0 0 0 0 0 
_2.ptx 1027 : 4718592 30354432 0 0 0 0 0 0 0 
_3.ptx 828 : 1048576 6856064 0 0 0 0 0 0 0 
_3.ptx 829 : 1048576 6857504 0 0 0 0 0 0 0 
_3.ptx 830 : 1048576 15246752 0 0 0 0 0 0 0 
_2.ptx 1030 : 524288 3780928 0 0 0 0 0 0 0 
_3.ptx 831 : 1048576 6740640 0 0 0 0 0 0 0 
_3.ptx 832 : 1048576 12111552 0 0 0 0 0 0 0 
_2.ptx 1032 : 524288 3004288 0 0 0 0 0 0 0 
_3.ptx 833 : 1048576 7253824 0 0 0 0 0 0 0 
_2.ptx 1033 : 524288 6366816 0 32768 16384 0 0 0 0 
_3.ptx 834 : 1048576 14112192 0 0 0 0 0 0 0 
_2.ptx 1034 : 524288 6011200 0 0 0 0 0 0 0 
_3.ptx 835 : 1048576 6999328 0 0 0 0 0 0 0 
_2.ptx 1035 : 524288 6330048 2097152 0 0 16384 16384 0 0 
_3.ptx 836 : 1048576 11829504 0 0 0 0 0 0 0 
_3.ptx 837 : 1048576 11168704 128 0 0 0 0 0 0 
_2.ptx 1037 : 524288 7724032 0 32768 16384 0 0 0 0 
_3.ptx 838 : 1048576 9361920 0 0 0 0 0 0 0 
_2.ptx 1038 : 524288 5944992 0 0 0 0 0 0 0 
_3.ptx 839 : 1048576 13773120 0 0 0 0 0 0 0 
_2.ptx 1039 : 524288 7354240 2097152 0 0 16384 16384 0 0 
_3.ptx 840 : 1048576 8686784 0 0 0 0 0 0 0 
_3.ptx 841 : 1048576 6727232 0 0 0 0 0 0 0 
_2.ptx 1041 : 524288 3574400 0 0 0 0 0 0 0 
_3.ptx 845 : 1048576 14480544 0 0 0 0 0 0 0 
_3.ptx 846 : 1048576 15074176 0 0 0 0 0 0 0 
_3.ptx 847 : 1048576 6796064 0 0 0 0 0 0 0 
_3.ptx 848 : 1048576 11868928 0 0 0 0 0 0 0 
_3.ptx 849 : 1048576 8119616 0 0 0 0 0 0 0 
_3.ptx 850 : 1048576 14948160 0 0 0 0 0 0 0 
_3.ptx 851 : 1048576 10982624 0 0 0 0 0 0 0 
_3.ptx 852 : 1048576 14992320 0 0 0 0 0 0 0 
_3.ptx 853 : 1048576 8905760 0 0 0 0 0 0 0 
_3.ptx 854 : 1048576 9776896 0 0 0 0 0 0 0 
_3.ptx 855 : 1048576 8879936 0 0 0 0 0 0 0 
_3.ptx 856 : 1048576 0 0 0 0 0 0 0 0 
_3.ptx 857 : 1048576 7909312 0 0 0 0 0 0 0 
_3.ptx 858 : 1048576 12352384 0 0 0 0 0 0 0 
_3.ptx 859 : 1048576 9562208 0 0 0 0 0 0 0 
_3.ptx 860 : 1048576 11814976 0 0 0 0 0 0 0 
_3.ptx 861 : 1048576 9670080 0 0 0 0 0 0 0 
_3.ptx 862 : 1048576 11754304 0 0 0 0 0 0 0 
_3.ptx 863 : 1048576 11648576 0 0 0 0 0 0 0 
_3.ptx 864 : 1048576 11700000 0 0 0 0 0 0 0 
_3.ptx 868 : 1048576 553701056 4194304 0 0 32768 32768 0 0 
_3.ptx 869 : 1048576 10695136 0 0 0 0 0 0 0 
_2.ptx 869 : 524288 3617216 0 0 0 0 0 0 0 
_3.ptx 870 : 1048576 22120096 0 0 0 32768 32768 0 0 
_2.ptx 870 : 524288 2829152 0 0 0 0 0 0 0 
_2.ptx 871 : 524288 3592064 0 0 0 0 0 0 0 
_3.ptx 872 : 1048576 557302944 4194304 0 0 32768 32768 0 0 
