kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 1227 : 1000000 11111808 0 0 0 0 0 0 0 
_3.ptx 1228 : 1000000 26460512 0 0 0 0 0 0 0 
_3.ptx 1232 : 1000000 511435264 4000000 0 0 31250 31250 0 0 
_3.ptx 1233 : 1000000 10101120 0 0 0 0 0 0 0 
_3.ptx 1234 : 1000000 599869856 16000000 0 0 125000 31250 0 0 
_3.ptx 1235 : 1000000 7128352 0 0 0 0 0 0 0 
_3.ptx 1236 : 1000000 11068352 0 0 0 0 0 0 0 
_3.ptx 1237 : 1000000 529469152 8000000 0 0 62500 31250 0 0 
_3.ptx 1238 : 1000000 6176256 0 0 0 0 0 0 0 
_3.ptx 1239 : 1000000 8098112 0 0 0 0 0 0 0 
_3.ptx 1240 : 1000000 0 0 0 0 0 0 0 0 
_3.ptx 1242 : 1000000 37996576 3200 0 0 31250 31250 0 0 
_3.ptx 1244 : 1000000 498478112 4000000 0 0 31250 31250 0 0 
_3.ptx 1245 : 1000000 10112896 0 0 0 0 0 0 0 
_3.ptx 1246 : 1000000 38840608 0 0 0 31250 31250 0 0 
_3.ptx 1248 : 1000000 464255392 4000000 0 0 31250 31250 0 0 
_3.ptx 1249 : 1000000 10113632 0 0 0 0 0 0 0 
_3.ptx 1250 : 1000000 38758848 0 0 0 31250 31250 0 0 
_3.ptx 1252 : 1000000 6177664 0 0 0 0 0 0 0 
_3.ptx 1266 : 1000000 11094240 0 0 0 0 0 0 0 
_3.ptx 1267 : 1000000 11123488 0 0 0 0 0 0 0 
_3.ptx 1268 : 1000000 8130848 0 0 0 0 0 0 0 
_3.ptx 1269 : 1000000 0 0 0 0 0 0 0 0 
_3.ptx 1272 : 1000192 6131392 0 0 0 0 0 0 0 
_2.ptx 869 : 499968 3481376 0 0 0 0 0 0 0 
_2.ptx 870 : 499968 2249856 0 0 0 0 0 0 0 
