kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 995 : 2356992 20580928 0 0 0 0 0 0 0 
_3.ptx 996 : 2356992 13608633 0 0 0 0 0 0 5115 
_3.ptx 998 : 522753 3901955 0 0 0 0 0 0 0 
_3.ptx 999 : 522753 4628781 0 0 0 0 0 0 0 
_3.ptx 1000 : 522753 4708344 0 0 0 0 0 0 0 
_3.ptx 1001 : 522753 6210882 0 0 0 0 0 0 0 
_3.ptx 1002 : 522753 5963030 0 0 0 0 0 0 0 
_3.ptx 1003 : 522753 4522240 0 0 0 0 0 0 0 
_3.ptx 1004 : 522753 6174179 0 0 0 0 0 0 0 
_3.ptx 1005 : 522753 4414844 0 0 0 0 0 0 0 
_3.ptx 1006 : 522753 6136899 0 0 0 0 0 0 0 
_3.ptx 1007 : 522753 6149530 0 0 0 0 0 0 0 
_3.ptx 1008 : 522753 5459629 0 34782 20460 0 0 0 0 
_3.ptx 1010 : 522753 6114730 0 0 0 0 0 0 0 
_3.ptx 1011 : 522753 5814434 0 0 0 0 0 0 0 
_3.ptx 1012 : 522753 4434705 0 0 0 0 0 0 0 
_3.ptx 1013 : 522753 6155466 0 0 0 0 0 0 0 
_3.ptx 1014 : 522753 4424476 0 0 0 0 0 0 0 
_3.ptx 1015 : 522753 5978573 0 0 0 0 0 0 0 
_3.ptx 1016 : 522753 6137242 0 0 0 0 0 0 0 
_3.ptx 1017 : 522753 5621328 0 34782 20460 0 0 0 0 
_3.ptx 1018 : 522753 3767213 0 34782 20460 0 0 0 0 
_3.ptx 1020 : 522753 5701103 0 34782 20460 0 0 0 0 
_3.ptx 1021 : 522753 6063352 0 0 0 0 0 0 0 
_3.ptx 1022 : 522753 3797183 0 34782 20460 0 0 0 0 
_1.ptx 825 : 523776 3434816 0 0 0 0 0 0 0 
_3.ptx 1025 : 2356992 28421984 0 0 0 0 0 0 0 
_1.ptx 826 : 523776 3428672 0 0 0 0 0 0 0 
_3.ptx 1026 : 2356992 20638400 0 0 0 0 0 0 0 
_1.ptx 827 : 523776 7755936 0 0 0 0 0 0 0 
_3.ptx 1027 : 2356992 15128064 0 0 0 0 0 0 0 
_1.ptx 828 : 523776 3384192 0 0 0 0 0 0 0 
_1.ptx 829 : 523776 6073888 0 0 0 0 0 0 0 
_1.ptx 830 : 523776 3646880 0 0 0 0 0 0 0 
_3.ptx 1030 : 261888 1869568 0 0 0 0 0 0 0 
_1.ptx 831 : 523776 7194624 0 0 0 0 0 0 0 
_1.ptx 832 : 523776 3517376 0 0 0 0 0 0 0 
_3.ptx 1032 : 261888 1633120 0 0 0 0 0 0 0 
_1.ptx 833 : 523776 5924928 0 0 0 0 0 0 0 
_3.ptx 1033 : 261888 3403008 0 16368 8184 0 0 0 0 
_1.ptx 834 : 523776 6920960 128 0 0 0 0 0 0 
_3.ptx 1034 : 261888 2987872 0 0 0 0 0 0 0 
_1.ptx 835 : 523776 5259200 0 0 0 0 0 0 0 
_3.ptx 1035 : 261888 3659296 1047552 0 0 8184 8184 0 0 
_1.ptx 836 : 523776 7025856 0 0 0 0 0 0 0 
_1.ptx 837 : 523776 4341152 0 0 0 0 0 0 0 
_3.ptx 1037 : 261888 4171872 0 16368 8184 0 0 0 0 
_1.ptx 838 : 523776 3363616 0 0 0 0 0 0 0 
_3.ptx 1038 : 261888 2963296 0 0 0 0 0 0 0 
_3.ptx 1039 : 261888 4162560 1047552 0 0 8184 8184 0 0 
_3.ptx 1041 : 261888 1767040 0 0 0 0 0 0 0 
_1.ptx 842 : 523776 7378528 0 0 0 0 0 0 0 
_1.ptx 843 : 523776 7710624 0 0 0 0 0 0 0 
_1.ptx 844 : 523776 3408704 0 0 0 0 0 0 0 
_1.ptx 845 : 523776 5930400 0 0 0 0 0 0 0 
_1.ptx 846 : 523776 4072736 0 0 0 0 0 0 0 
_1.ptx 847 : 523776 7640160 0 0 0 0 0 0 0 
_1.ptx 848 : 523776 5497632 0 0 0 0 0 0 0 
_1.ptx 849 : 523776 7669824 0 0 0 0 0 0 0 
_1.ptx 850 : 523776 4457856 0 0 0 0 0 0 0 
_1.ptx 851 : 523776 4897280 0 0 0 0 0 0 0 
_1.ptx 852 : 523776 4446656 0 0 0 0 0 0 0 
_1.ptx 853 : 523776 0 0 0 0 0 0 0 0 
_1.ptx 854 : 523776 3960960 0 0 0 0 0 0 0 
_1.ptx 855 : 523776 6343040 0 0 0 0 0 0 0 
_1.ptx 856 : 523776 4741440 0 0 0 0 0 0 0 
_1.ptx 857 : 523776 5904096 0 0 0 0 0 0 0 
_1.ptx 858 : 523776 4757088 0 0 0 0 0 0 0 
_1.ptx 859 : 523776 5869856 0 0 0 0 0 0 0 
_1.ptx 860 : 523776 5994208 0 0 0 0 0 0 0 
_1.ptx 861 : 523776 5838080 0 0 0 0 0 0 0 
_1.ptx 865 : 523776 275468352 2095104 0 0 16368 16368 0 0 
_1.ptx 866 : 523776 5340704 0 0 0 0 0 0 0 
_1.ptx 867 : 523776 11110688 0 0 0 16368 16368 0 0 
_1.ptx 869 : 523776 287428576 2095104 0 0 16368 16368 0 0 
_3.ptx 869 : 261888 1801056 0 0 0 0 0 0 0 
_1.ptx 870 : 523776 5334720 0 0 0 0 0 0 0 
_3.ptx 870 : 261888 1327296 0 0 0 0 0 0 0 
_1.ptx 871 : 523776 10994528 0 0 0 16368 16368 0 0 
_3.ptx 871 : 261888 1785184 0 0 0 0 0 0 0 
_3.ptx 872 : 261888 2267744 0 0 0 0 0 0 0 
_1.ptx 873 : 523776 285468032 2095104 0 0 16368 16368 0 0 
_3.ptx 873 : 261888 0 0 0 0 0 0 0 0 
_1.ptx 874 : 523776 5337696 0 0 0 0 0 0 0 
_3.ptx 874 : 261888 1919392 0 0 0 0 0 0 0 
_1.ptx 875 : 523776 10064288 0 0 0 16368 16368 0 0 
_3.ptx 875 : 261888 2119584 0 0 0 0 0 0 0 
_3.ptx 876 : 261888 2294624 0 0 0 0 0 0 0 
_1.ptx 877 : 523776 5830432 0 0 0 0 0 0 0 
_3.ptx 877 : 261888 1911360 0 0 0 0 0 0 0 
_1.ptx 878 : 523776 4287360 0 0 0 0 0 0 0 
_1.ptx 879 : 523776 0 0 0 0 0 0 0 0 
_3.ptx 881 : 261888 1901344 0 0 0 0 0 0 0 
_1.ptx 882 : 523776 3252512 0 0 0 0 0 0 0 
_3.ptx 883 : 261888 1910592 0 0 0 0 0 0 0 
_3.ptx 884 : 261888 3091488 0 0 0 0 0 0 0 
_3.ptx 885 : 261888 2025824 0 0 0 0 0 0 0 
_3.ptx 886 : 261888 2166080 0 0 0 0 0 0 0 
_3.ptx 887 : 261888 3305344 0 0 0 0 0 0 0 
_3.ptx 888 : 261888 2166400 0 0 0 0 0 0 0 
_3.ptx 889 : 261888 3060992 0 0 0 0 0 0 0 
_3.ptx 890 : 261888 2184384 0 0 0 0 0 0 0 
_3.ptx 891 : 261888 3285504 0 0 0 0 0 0 0 
_3.ptx 892 : 261888 3029440 0 0 0 0 0 0 0 
_3.ptx 893 : 261888 1849984 0 0 0 0 0 0 0 
_3.ptx 894 : 261888 3001472 0 0 0 0 0 0 0 
_3.ptx 895 : 261888 140164544 1047552 0 0 8184 8184 0 0 
_3.ptx 896 : 261888 2535200 0 16368 8184 0 0 0 0 
_3.ptx 898 : 261888 3045216 0 0 0 0 0 0 0 
_3.ptx 899 : 261888 3065568 0 0 0 0 0 0 0 
_3.ptx 900 : 261888 2165824 0 0 0 0 0 0 0 
_3.ptx 901 : 261888 2907680 0 0 0 0 0 0 0 
_3.ptx 902 : 261888 2202368 0 0 0 0 0 0 0 
_3.ptx 903 : 261888 3067296 0 0 0 0 0 0 0 
_3.ptx 904 : 261888 2173248 0 0 0 0 0 0 0 
_3.ptx 905 : 261888 3198048 0 0 0 0 0 0 0 
_3.ptx 906 : 261888 3067456 0 0 0 0 0 0 0 
_3.ptx 907 : 261888 3058080 0 0 0 0 0 0 0 
_3.ptx 908 : 261888 112993984 1047552 0 0 8184 8184 0 0 
_3.ptx 909 : 261888 2078080 0 16368 8184 0 0 0 0 
_3.ptx 911 : 261888 1899520 0 0 0 0 0 0 0 
_3.ptx 912 : 261888 2160384 0 0 0 0 0 0 0 
_3.ptx 913 : 261888 1925248 0 0 0 0 0 0 0 
_3.ptx 914 : 261888 2322912 0 0 0 0 0 0 0 
_3.ptx 915 : 261888 0 0 0 0 0 0 0 0 
_3.ptx 916 : 261888 1908736 0 0 0 0 0 0 0 
_3.ptx 919 : 2356992 16891808 0 0 0 0 0 0 0 
