kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 413 : 15360 46080 0 0 0 0 0 0 0 
_1.ptx 414 : 15360 322560 0 0 0 0 0 0 0 
_1.ptx 415 : 15360 118400 0 0 0 0 0 0 0 
_1.ptx 416 : 15360 118240 0 0 0 0 0 0 0 
_1.ptx 417 : 15360 332160 0 0 0 0 0 0 0 
_1.ptx 418 : 15360 101600 0 0 0 0 0 0 0 
_1.ptx 419 : 15360 335008 0 0 0 0 0 0 0 
_1.ptx 420 : 15360 126080 0 0 0 0 0 0 0 
_1.ptx 421 : 15360 127616 0 0 0 0 0 0 0 
_1.ptx 422 : 15360 189280 0 0 0 0 0 0 0 
_1.ptx 423 : 15360 183232 0 0 0 0 0 0 0 
_1.ptx 424 : 15360 144960 0 0 0 0 0 0 0 
_1.ptx 425 : 15360 175424 0 0 0 0 0 0 0 
_1.ptx 426 : 15360 150784 0 0 0 0 0 0 0 
_1.ptx 427 : 15360 122112 0 0 0 0 0 0 0 
_1.ptx 428 : 15360 46080 0 0 0 0 0 0 0 
_1.ptx 429 : 15360 282048 0 0 0 0 0 0 0 
_1.ptx 430 : 15360 130080 0 0 0 0 0 0 0 
_1.ptx 431 : 15360 0 0 0 0 0 0 0 0 
_1.ptx 432 : 15360 118464 0 0 0 0 0 0 0 
_1.ptx 433 : 15360 246496 0 0 0 0 0 0 0 
_1.ptx 434 : 15360 46080 0 0 0 0 0 0 0 
_1.ptx 435 : 15360 111104 0 0 0 0 0 0 0 
_1.ptx 436 : 15360 313536 0 0 0 0 0 0 0 
_1.ptx 437 : 15360 180640 0 0 0 0 0 0 0 
_1.ptx 441 : 399992 2469680 0 0 0 0 0 0 0 
_1.ptx 442 : 399992 42679160 1600000 0 0 12500 12500 0 0 
_1.ptx 444 : 399992 4436744 0 0 0 0 0 0 0 
_1.ptx 445 : 399992 4415656 0 0 0 0 0 0 0 
_1.ptx 446 : 399992 3222368 0 0 0 0 0 0 0 
_1.ptx 447 : 399992 2337392 0 0 0 0 0 0 1 
_1.ptx 450 : 15360 92192 0 0 0 0 0 0 0 
_1.ptx 62 : 1 6 0 0 0 0 0 0 0 
_1.ptx 63 : 1 280 128 0 0 0 0 0 0 
_1.ptx 64 : 1 5 32 0 0 1 1 0 0 
_1.ptx 66 : 1 6 0 0 0 0 0 0 0 
_1.ptx 67 : 1 4 32 0 0 1 1 0 0 
_1.ptx 69 : 1 6 0 0 0 0 0 0 0 
_1.ptx 70 : 1 4 32 0 0 1 1 0 0 
_1.ptx 72 : 1 6 0 0 0 0 0 0 0 
_1.ptx 73 : 1 4 32 0 0 1 1 0 0 
_1.ptx 75 : 1 6 0 0 0 0 0 0 0 
_1.ptx 112 : 23040 2385632 0 0 0 0 0 0 0 
_1.ptx 113 : 23040 1008288 128 0 0 720 720 0 0 
_1.ptx 114 : 23040 162848 0 0 0 0 0 0 0 
_1.ptx 116 : 23040 150688 0 0 0 0 0 0 0 
_1.ptx 117 : 23040 946272 128 0 0 720 720 0 0 
_1.ptx 118 : 23040 162656 0 0 0 0 0 0 0 
_1.ptx 120 : 23040 265888 0 0 0 0 0 0 0 
_1.ptx 121 : 23040 1525408 128 0 0 720 720 0 0 
_1.ptx 122 : 23040 174528 0 0 0 0 0 0 0 
_1.ptx 124 : 23040 160256 0 0 0 0 0 0 0 
_1.ptx 125 : 23040 390112 0 0 0 0 0 0 0 
_1.ptx 126 : 23040 190016 0 0 0 0 0 0 0 
_1.ptx 127 : 23040 276448 0 0 0 0 0 0 0 
_1.ptx 128 : 23040 195008 0 0 0 0 0 0 0 
_1.ptx 129 : 23040 69120 0 0 0 0 0 0 0 
_1.ptx 130 : 23040 200320 0 0 0 0 0 0 0 
_1.ptx 131 : 23040 0 0 0 0 0 0 0 0 
_1.ptx 132 : 23040 165536 0 0 0 0 0 0 0 
_1.ptx 133 : 23040 458592 0 0 0 0 0 0 0 
_1.ptx 134 : 23040 178528 0 0 0 0 0 0 0 
_1.ptx 135 : 23040 540000 0 0 0 0 0 0 0 
_1.ptx 136 : 23040 172128 0 0 0 0 0 0 0 
_1.ptx 137 : 23040 256128 0 0 0 0 0 0 0 
_1.ptx 138 : 23040 600064 0 0 0 0 0 0 0 
_1.ptx 139 : 23040 257824 0 0 0 0 0 0 0 
_1.ptx 140 : 23040 260416 0 0 0 0 0 0 0 
_1.ptx 144 : 50000 22325168 199936 0 0 1563 1563 0 0 
_1.ptx 146 : 50000 1003936 0 0 0 0 0 0 0 
_1.ptx 148 : 50000 1005184 0 0 0 0 0 0 0 
_1.ptx 150 : 50000 20854176 199936 0 0 1563 1563 0 0 
_1.ptx 152 : 50000 1008288 0 0 0 0 0 0 0 
_1.ptx 154 : 50000 1012912 0 0 0 0 0 0 0 
_1.ptx 156 : 50000 19542256 199936 0 0 1563 1563 0 0 
_1.ptx 158 : 50000 1011008 0 0 0 0 0 0 0 
