kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2786 : 2771 8622 0 0 0 0 0 0 0 
_1.ptx 2787 : 2771 19954 0 0 0 0 0 0 0 
_1.ptx 2791 : 2780 30954 0 0 0 0 0 0 0 
_1.ptx 2792 : 2780 20077 0 0 0 0 0 0 0 
_1.ptx 2793 : 2780 29192 0 0 0 0 0 0 0 
_1.ptx 2794 : 2780 17315 0 0 0 0 0 0 0 
_1.ptx 2795 : 2780 30935 0 0 0 0 0 0 0 
_1.ptx 2796 : 2780 29254 0 0 0 578 221 0 0 
_1.ptx 2798 : 2780 17158 0 0 0 0 0 0 0 
_1.ptx 2799 : 2780 31114 0 0 0 0 0 0 0 
_1.ptx 2800 : 2780 32691 0 0 0 578 221 0 0 
_1.ptx 2802 : 2780 28157 0 0 0 0 0 0 0 
_1.ptx 2803 : 2780 17400 0 0 0 0 0 0 0 
_1.ptx 2804 : 2780 22504 0 0 0 0 0 0 0 
_1.ptx 2805 : 2780 59 0 0 0 0 0 0 4 
_1.ptx 2808 : 7680 77824 0 0 0 0 0 0 0 
_1.ptx 2809 : 7680 62048 0 0 0 0 0 0 0 
_1.ptx 2810 : 7680 46816 0 0 0 0 0 0 0 
_1.ptx 2816 : 7680 46432 0 0 0 0 0 0 0 
_1.ptx 2630 : 7680 46080 0 0 0 0 0 0 0 
_1.ptx 2631 : 7680 46080 0 0 0 0 0 0 0 
_1.ptx 2632 : 7680 120000 0 0 0 0 0 0 0 
_1.ptx 2633 : 7680 994560 128 0 0 0 0 0 0 
_1.ptx 2634 : 7680 131520 0 0 0 0 0 0 0 
_1.ptx 2635 : 7680 23040 0 0 0 0 0 0 0 
_1.ptx 2636 : 7680 23040 0 0 0 0 0 0 0 
_1.ptx 2637 : 7680 88000 0 0 0 0 0 0 0 
_1.ptx 2638 : 7680 52096 0 0 0 0 0 0 0 
_1.ptx 2639 : 7680 86336 0 0 0 0 0 0 0 
_1.ptx 2640 : 7680 85664 0 0 0 0 0 0 0 
_1.ptx 2641 : 7680 77056 0 0 0 0 0 0 0 
_1.ptx 2642 : 7680 1349216 0 0 0 0 0 0 0 
_1.ptx 2643 : 7680 85088 0 0 0 0 0 0 0 
_1.ptx 2644 : 7680 85920 0 0 0 0 0 0 0 
_1.ptx 2645 : 7680 55488 0 0 0 0 0 0 0 
_1.ptx 2646 : 7680 86208 0 0 0 0 0 0 0 
_1.ptx 2647 : 7680 63488 0 0 0 0 0 0 0 
_1.ptx 2648 : 7680 0 0 0 0 0 0 0 0 
_1.ptx 2649 : 7680 23040 0 0 0 0 0 0 0 
_1.ptx 2650 : 7680 62528 0 0 0 0 0 0 0 
_1.ptx 2651 : 7680 0 0 0 0 0 0 0 0 
_1.ptx 2652 : 7680 62912 0 0 0 0 0 0 0 
_1.ptx 2655 : 7680 59552 0 0 0 0 0 0 0 
_1.ptx 2656 : 7680 0 0 0 0 0 0 0 0 
_1.ptx 2657 : 7680 91360 0 0 0 0 0 0 0 
_1.ptx 2658 : 7680 59296 0 0 0 0 0 0 0 
_1.ptx 2659 : 7680 55008 0 0 0 0 0 0 0 
_1.ptx 2660 : 7680 56864 0 0 0 0 0 0 0 
_1.ptx 2661 : 7680 65824 0 0 0 0 0 0 0 
_1.ptx 2662 : 7680 50656 0 0 0 0 0 0 0 
_1.ptx 2663 : 7680 60256 0 0 0 0 0 0 0 
_1.ptx 2666 : 29491200 242192512 0 0 0 0 0 0 0 
_1.ptx 2667 : 29491200 48340 0 0 0 0 0 0 7680 
_1.ptx 2669 : 29483520 92837459 0 0 0 0 0 0 0 
_1.ptx 2670 : 29483520 184552862 0 0 0 0 0 0 0 
_1.ptx 2671 : 29483520 184491672 0 0 0 0 0 0 0 
_1.ptx 2672 : 29483520 215513644 0 0 0 0 0 0 0 
_1.ptx 2673 : 29483520 305924850 0 0 0 0 0 0 0 
_1.ptx 2674 : 29483520 329700874 0 0 0 0 0 0 0 
_1.ptx 2675 : 29483520 191879722 92160 0 0 2764800 921600 0 0 
_1.ptx 2676 : 29483520 184599820 0 0 0 0 0 0 0 
_1.ptx 2677 : 29483520 242710977 0 0 0 0 0 0 0 
_1.ptx 2678 : 29483520 270932279 0 0 0 0 0 0 0 
_1.ptx 2680 : 29483520 306701540 0 0 0 0 0 0 0 
_1.ptx 2681 : 29483520 190323712 0 0 0 0 0 0 0 
_1.ptx 2682 : 29483520 191273705 0 0 0 0 0 0 0 
_1.ptx 2683 : 29483520 216420987 0 0 0 0 0 0 0 
_1.ptx 2684 : 29483520 307083738 0 0 0 0 0 0 0 
_1.ptx 2685 : 29483520 330188198 0 0 0 0 0 0 0 
_1.ptx 2686 : 29483520 282737399 0 0 0 921600 921600 0 0 
_1.ptx 2687 : 29483520 185581002 0 0 0 0 0 0 0 
_1.ptx 2688 : 29483520 242964768 0 0 0 0 0 0 0 
_1.ptx 2689 : 29483520 272673898 0 0 0 0 0 0 0 
_1.ptx 2690 : 29483520 191166294 0 0 0 0 0 0 0 
_1.ptx 2691 : 29483520 243730430 0 0 0 0 0 0 0 
_1.ptx 2692 : 29483520 0 0 0 0 0 0 0 0 
_1.ptx 2693 : 29483520 218821766 0 0 0 0 0 0 0 
_1.ptx 2694 : 29483520 191278455 0 0 0 0 0 0 0 
_1.ptx 2695 : 29483520 245150605 0 0 0 0 0 0 0 
_1.ptx 2696 : 29483520 196069694 0 0 0 0 0 0 0 
_1.ptx 2697 : 29483520 196177877 0 0 0 0 0 0 0 
_1.ptx 2698 : 29483520 190816522 0 0 0 0 0 0 0 
_1.ptx 2699 : 29483520 219389207 0 0 0 0 0 0 0 
_1.ptx 2702 : 88442886 0 0 0 0 0 0 0 0 
_1.ptx 2703 : 88442886 649001567 0 0 0 0 0 0 0 
_1.ptx 2704 : 88442886 987787444 0 0 0 0 0 0 0 
_1.ptx 2705 : 88442886 650082608 0 0 0 0 0 0 0 
_1.ptx 2706 : 88442886 918450613 0 0 0 0 0 0 0 
_1.ptx 2707 : 88442886 986601564 0 0 0 0 0 0 0 
