kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1035 : 1000448 6184768 0 0 0 0 0 0 0 
_1.ptx 1012 : 1000448 18092832 0 0 0 0 0 0 0 
_1.ptx 1013 : 1000448 6188448 0 0 0 0 0 0 0 
_1.ptx 1014 : 1000448 11183968 0 0 0 0 0 0 0 
_1.ptx 1015 : 1000448 18463072 128 0 0 0 0 0 0 
_1.ptx 1016 : 1000448 8265600 0 0 0 0 0 0 0 
_1.ptx 1017 : 1000448 2752 0 0 0 0 0 0 0 
_1.ptx 1019 : 1000000 7464896 0 0 0 0 0 0 0 
_1.ptx 1020 : 1000000 14113856 0 0 0 0 0 0 0 
_1.ptx 1021 : 1000000 6548320 0 0 0 0 0 0 0 
_1.ptx 1022 : 1000000 16966752 0 0 0 0 0 0 0 
_1.ptx 1023 : 1000000 11111296 0 0 0 0 0 0 0 
_1.ptx 1024 : 1000000 66275424 4000000 0 0 31250 31250 0 0 
_1.ptx 1025 : 1000000 6307296 0 0 0 0 0 0 0 
_1.ptx 1026 : 1000000 24806688 0 0 0 0 0 0 0 
_1.ptx 1027 : 1000000 11075744 0 0 0 0 0 0 0 
_1.ptx 1028 : 1000000 73658112 4000000 0 0 31250 31250 0 0 
_1.ptx 1029 : 1000000 6196704 0 0 0 0 0 0 0 
_1.ptx 1030 : 1000000 28898016 0 0 0 0 0 0 0 
_1.ptx 1031 : 1000000 11064416 0 0 0 0 0 0 0 
_1.ptx 1032 : 1000000 80175616 4000000 0 0 31250 31250 0 0 
_1.ptx 1010 : 1000448 6173408 0 0 0 0 0 0 0 
_1.ptx 1011 : 1000448 6170496 0 0 0 0 0 0 0 
