kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2189 : 16519988 167361255 0 0 0 0 0 0 0 
_1.ptx 2190 : 16519988 133400728 0 0 0 0 0 0 0 
_1.ptx 2191 : 16519988 117404438 0 0 0 0 0 0 0 
_1.ptx 2192 : 16519988 117635787 0 0 0 0 0 0 0 
_1.ptx 2193 : 16519988 133126461 0 0 0 0 0 0 0 
_1.ptx 2194 : 16519988 117022084 0 0 0 0 0 0 0 
_1.ptx 2195 : 16519988 133451526 0 0 0 0 0 0 0 
_1.ptx 2196 : 16519988 100708518 0 0 0 0 0 0 0 
_1.ptx 2197 : 16519988 132975642 0 0 0 0 0 0 0 
_1.ptx 2198 : 16519988 0 0 0 0 0 0 0 0 
_1.ptx 2200 : 16519988 635918246 128 0 0 0 0 0 0 
_1.ptx 2201 : 16519988 117620894 0 0 0 0 0 0 0 
_1.ptx 2202 : 16519988 168434137 0 0 0 0 0 0 0 
_1.ptx 2203 : 16519988 182647507 0 0 0 0 0 0 0 
_1.ptx 2204 : 16519988 8162068604 582422144 0 0 13495818 4270526 0 0 
_1.ptx 2205 : 16519988 100637828 0 0 0 0 0 0 0 
_1.ptx 2019 : 2097152 13477728 0 0 0 0 0 0 0 
_1.ptx 2020 : 2097152 13482880 0 0 0 0 0 0 0 
_1.ptx 2021 : 2097152 44860224 0 0 0 0 0 0 0 
_1.ptx 2022 : 2097152 12876800 0 0 0 0 0 0 0 
_1.ptx 2023 : 2097152 425539872 0 0 0 0 0 0 0 
_1.ptx 2024 : 2097152 12988992 0 0 0 0 0 0 0 
_1.ptx 2025 : 2097152 23384352 0 0 0 0 0 0 0 
_1.ptx 2026 : 2097152 30815776 0 0 0 0 0 0 0 
_1.ptx 2027 : 2097152 16267168 0 0 0 0 0 0 0 
_1.ptx 2028 : 2097152 22210784 0 0 0 0 0 0 0 
_1.ptx 2029 : 2097152 29463776 0 0 0 0 0 0 0 
_1.ptx 2030 : 2097152 17913824 0 0 0 0 0 0 0 
_1.ptx 2230 : 16519988 99983060 0 0 0 0 0 0 0 
_1.ptx 2031 : 2097152 0 0 0 0 0 0 0 0 
_1.ptx 2231 : 16519988 132899374 0 0 0 0 0 0 0 
_1.ptx 2032 : 2097152 16476160 0 0 0 0 0 0 0 
_1.ptx 2232 : 16519988 99815664 0 0 0 0 0 0 0 
_1.ptx 2033 : 2097152 11093152 0 0 0 0 0 0 0 
_1.ptx 2034 : 2097152 14451296 0 0 0 0 0 0 0 
_1.ptx 2035 : 2097152 16390848 0 0 0 0 0 0 0 
_1.ptx 2238 : 16519988 742856209 0 0 0 0 0 0 0 
_1.ptx 2039 : 4194304 35060832 0 0 0 0 0 0 0 
_1.ptx 2239 : 16519988 182686175 0 0 0 0 0 0 0 
_1.ptx 2040 : 4194304 13310560 0 0 0 0 0 0 0 
_1.ptx 2240 : 16519988 5913563351 151814528 0 0 6075212 4270526 0 0 
_1.ptx 2042 : 2097152 14474816 0 0 0 0 0 0 0 
_1.ptx 2241 : 16519988 182468302 0 0 0 0 0 0 0 
_1.ptx 2043 : 2097152 14409120 0 0 0 0 0 0 0 
_1.ptx 2242 : 16519988 117081955 0 0 0 0 0 0 0 
_1.ptx 2243 : 16519988 167394000 0 0 0 0 0 0 0 
_1.ptx 2244 : 16519988 182370335 0 0 0 0 0 0 0 
_1.ptx 2245 : 16519988 10310834895 1900760576 0 0 16514380 4270526 0 0 
_1.ptx 2046 : 2097152 15224192 0 0 0 0 0 0 0 
_1.ptx 2246 : 16519988 132890277 0 0 0 0 0 0 0 
_1.ptx 2047 : 2097152 22077504 0 0 0 0 0 0 0 
_1.ptx 2247 : 16519988 78925965 0 0 0 0 0 0 1263613 
_1.ptx 2048 : 2097152 33667264 0 0 0 0 0 0 0 
_1.ptx 2049 : 2097152 23375456 0 0 0 0 0 0 0 
_1.ptx 2249 : 3452424 1213452650 365056 0 0 3452375 1856175 0 0 
_1.ptx 2050 : 2097152 892281760 12553856 0 0 131072 65536 0 0 
_1.ptx 2250 : 3452424 24387613 0 0 0 0 0 0 0 
_1.ptx 2051 : 2097152 13126080 0 0 0 0 0 0 0 
_1.ptx 2251 : 3452424 27751310 0 0 0 0 0 0 0 
_1.ptx 2052 : 2097152 16947168 0 0 0 0 0 0 0 
_1.ptx 2252 : 3452424 1765 0 0 0 0 0 0 205 
_1.ptx 2053 : 2097152 2162040 0 0 0 0 0 0 65378 
_1.ptx 2054 : 1741390 12437601 0 0 0 0 0 0 0 
_1.ptx 2254 : 3452133 20844518 0 0 0 0 0 0 0 
_1.ptx 2055 : 1741390 10724426 0 0 0 0 0 0 0 
_1.ptx 2255 : 3452133 20889189 0 0 0 0 0 0 0 
_1.ptx 2056 : 1741390 10559290 0 0 0 0 0 0 0 
_1.ptx 2057 : 1741390 12384675 0 0 0 0 0 0 0 
_1.ptx 2259 : 13067855 78797654 0 0 0 0 0 0 0 
_1.ptx 2061 : 16519988 4747613715 68520704 0 0 6075212 4270526 0 0 
_1.ptx 2062 : 16519988 133029930 0 0 0 0 0 0 0 
_1.ptx 2262 : 16519988 99769014 0 0 0 0 0 0 0 
_1.ptx 2063 : 16519988 0 0 0 0 0 0 0 0 
_1.ptx 2263 : 16519988 132858053 0 0 0 0 0 0 0 
_1.ptx 2264 : 16519988 78879440 0 0 0 0 0 0 1263573 
_1.ptx 2065 : 16519988 100210187 0 0 0 0 0 0 0 
_1.ptx 2265 : 3452133 20898823 0 0 0 0 0 0 0 
_1.ptx 2066 : 16519988 133086060 0 0 0 0 0 0 0 
_1.ptx 2067 : 16519988 0 0 0 0 0 0 0 0 
_1.ptx 2267 : 16519988 166252856 0 0 0 0 0 0 0 
_1.ptx 2068 : 16519988 580323498 0 0 0 0 0 0 0 
_1.ptx 2268 : 16519988 132893488 0 0 0 0 0 0 0 
_1.ptx 2069 : 16519988 182748515 0 0 0 0 0 0 0 
_1.ptx 2269 : 16519988 89195847 0 0 0 0 0 0 807948 
_1.ptx 2070 : 16519988 5339234665 81051392 0 0 6075212 4270526 0 0 
_1.ptx 2270 : 1741390 10563773 0 0 0 0 0 0 0 
_1.ptx 2071 : 16519988 132976445 0 0 0 0 0 0 0 
_1.ptx 2072 : 16519988 0 0 0 0 0 0 0 0 
_1.ptx 2272 : 355762 2157293 0 0 0 0 0 0 0 
_1.ptx 2074 : 16519988 565201918 0 0 0 0 0 0 0 
_1.ptx 2075 : 16519988 117721401 0 0 0 0 0 0 0 
_1.ptx 2275 : 2097152 14952000 0 0 0 0 0 0 0 
_1.ptx 2076 : 16519988 168636540 0 0 0 0 0 0 0 
_1.ptx 2077 : 16519988 182701572 0 0 0 0 0 0 0 
_1.ptx 2078 : 16519988 5301561944 87602560 0 0 6075212 4270526 0 0 
_1.ptx 2278 : 4194304 27008320 0 0 0 0 0 0 0 
_1.ptx 2079 : 16519988 100636555 0 0 0 0 0 0 0 
_1.ptx 2279 : 4194304 34506240 0 0 0 0 0 0 0 
_1.ptx 2280 : 4194304 22533424 0 0 0 0 0 0 54132 
_1.ptx 2282 : 708466 4280050 0 0 0 0 0 0 0 
_1.ptx 2283 : 708466 11664668 0 0 0 0 0 0 0 
_1.ptx 2284 : 708466 10359426 20352 0 0 54132 54132 0 0 
_1.ptx 2286 : 4194304 43101088 0 0 0 0 0 0 0 
_1.ptx 2287 : 4194304 34508512 0 0 0 0 0 0 0 
_1.ptx 2288 : 4194304 13336704 0 0 0 0 0 0 0 
_1.ptx 2291 : 2097152 13212896 0 0 0 0 0 0 0 
_1.ptx 2099 : 16519988 182471350 0 0 0 0 0 0 0 
_1.ptx 2100 : 16519988 589747889 0 0 0 0 0 0 0 
_1.ptx 2101 : 16519988 167272062 0 0 0 0 0 0 0 
_1.ptx 2102 : 16519988 133429525 0 0 0 0 0 0 0 
_1.ptx 2103 : 16519988 117501107 0 0 0 0 0 0 0 
_1.ptx 2104 : 16519988 117738282 0 0 0 0 0 0 0 
_1.ptx 2105 : 16519988 133171266 0 0 0 0 0 0 0 
_1.ptx 2106 : 16519988 117085377 0 0 0 0 0 0 0 
_1.ptx 2107 : 16519988 133508776 0 0 0 0 0 0 0 
_1.ptx 2108 : 16519988 100804056 0 0 0 0 0 0 0 
_1.ptx 2109 : 16519988 133027828 0 0 0 0 0 0 0 
_1.ptx 2110 : 16519988 0 0 0 0 0 0 0 0 
_1.ptx 2112 : 16519988 617431310 0 0 0 0 0 0 0 
_1.ptx 2113 : 16519988 117657042 0 0 0 0 0 0 0 
_1.ptx 2114 : 16519988 168598310 0 0 0 0 0 0 0 
_1.ptx 2115 : 16519988 182685922 0 0 0 0 0 0 0 
