kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 206 : 1048576 4589248 0 0 0 0 0 0 0 
_1.ptx 207 : 1048576 12685888 0 0 0 0 0 0 0 
_1.ptx 208 : 1048576 16463264 0 0 0 0 0 0 0 
_1.ptx 209 : 1048576 9371296 0 0 0 0 0 0 0 
_1.ptx 210 : 1048576 9596192 0 0 0 0 0 0 0 
_1.ptx 211 : 1048576 9552384 0 0 0 0 0 0 0 
_1.ptx 212 : 1048576 17985696 0 0 0 0 0 0 0 
_1.ptx 213 : 1048576 12917088 0 0 0 0 0 0 0 
_1.ptx 214 : 1048576 10472000 0 0 0 0 0 0 0 
_1.ptx 215 : 1048576 19612480 0 0 0 0 0 0 0 
_1.ptx 216 : 1048576 21031168 0 0 0 0 0 0 0 
_1.ptx 217 : 1048576 4550656 0 0 0 0 0 0 0 
_1.ptx 218 : 1048576 13247232 0 0 0 0 0 0 0 
_1.ptx 219 : 1048576 13418208 0 0 0 0 0 0 0 
_1.ptx 220 : 1048576 4641856 0 0 0 0 0 0 0 
_1.ptx 221 : 1048576 19063072 0 0 0 0 0 0 0 
_1.ptx 222 : 1048576 13469568 0 0 0 0 0 0 0 
_1.ptx 223 : 1048576 10204128 0 0 0 0 0 0 0 
_1.ptx 224 : 1048576 18065568 0 0 0 0 0 0 0 
_1.ptx 225 : 1048576 13489408 0 0 0 0 0 0 0 
_1.ptx 226 : 1048576 13487520 0 0 0 0 0 0 0 
_1.ptx 227 : 1048576 13428064 0 0 0 0 0 0 0 
_1.ptx 228 : 1048576 9997536 0 0 0 0 0 0 0 
_1.ptx 229 : 1048576 16302144 0 0 0 0 0 0 0 
_1.ptx 230 : 1048576 9388960 0 0 0 0 0 0 0 
_1.ptx 231 : 1048576 13206656 0 0 0 0 0 0 0 
_1.ptx 232 : 1048576 10362784 0 0 0 0 0 0 0 
_1.ptx 233 : 1048576 13273376 0 0 0 0 0 0 0 
_1.ptx 234 : 1048576 380729952 4456576 0 0 65536 32768 0 0 
_1.ptx 235 : 1048576 10000384 0 0 0 0 0 0 0 
_1.ptx 236 : 1048576 435969824 4456576 0 0 65536 32768 0 0 
_1.ptx 237 : 1048576 12537728 0 0 0 0 0 0 0 
_1.ptx 238 : 1048576 11864896 0 0 0 0 0 0 0 
_1.ptx 239 : 1048576 20139808 0 0 0 0 0 0 0 
_1.ptx 240 : 1048576 219096928 262272 0 0 34816 32768 0 0 
_1.ptx 241 : 1048576 12904448 0 0 0 0 0 0 0 
_1.ptx 242 : 1048576 15711168 128 0 0 32768 32768 0 0 
_1.ptx 243 : 1048576 13852000 0 0 0 0 0 0 0 
_1.ptx 244 : 1048576 14196064 0 0 0 0 0 0 0 
_1.ptx 245 : 1048576 26687744 0 0 0 0 0 0 0 
_1.ptx 246 : 1048576 28299232 0 0 0 0 0 0 0 
_1.ptx 247 : 1048576 27438688 0 0 0 0 0 0 0 
_1.ptx 248 : 1048576 16889984 0 0 0 0 0 0 0 
_1.ptx 249 : 1048576 15532384 0 0 0 65536 32768 0 0 
_1.ptx 251 : 1048576 61492000 0 0 0 65536 32768 0 0 
_1.ptx 252 : 1048576 15042304 0 0 0 0 0 0 0 
_1.ptx 253 : 1048576 14407552 0 0 0 0 0 0 0 
_1.ptx 254 : 1048576 23886272 0 0 0 0 0 0 0 
_1.ptx 255 : 1048576 11410208 0 0 0 34816 32768 0 0 
_1.ptx 256 : 1048576 14526784 0 0 0 0 0 0 0 
_1.ptx 257 : 1048576 10424672 0 0 0 32768 32768 0 0 
_1.ptx 258 : 1048576 14003808 0 0 0 0 0 0 0 
_1.ptx 259 : 1048576 13507584 0 0 0 0 0 0 0 
_1.ptx 260 : 1048576 23464832 0 0 0 0 0 0 0 
_1.ptx 261 : 1048576 23471200 0 0 0 0 0 0 0 
_1.ptx 262 : 1048576 14235328 0 0 0 0 0 0 0 
_1.ptx 263 : 1048576 18103392 0 0 0 65536 32768 0 0 
_1.ptx 265 : 1048576 12593216 0 0 0 0 0 0 0 
_1.ptx 266 : 1048576 9490048 0 0 0 0 0 0 0 
_1.ptx 67 : 1048576 7755456 0 0 0 0 0 0 0 
_1.ptx 267 : 1048576 10808512 0 0 0 0 0 0 0 
_1.ptx 68 : 1048576 7828448 0 0 0 0 0 0 0 
_1.ptx 268 : 1048576 10020544 0 0 0 0 0 0 0 
_1.ptx 69 : 1048576 9505152 0 0 0 0 0 0 0 
_1.ptx 269 : 1048576 9180128 0 0 0 0 0 0 0 
_1.ptx 70 : 1048576 8048640 0 0 0 0 0 0 0 
