kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1 11 0 0 0 0 0 0 0 
_1.ptx 98 : 1 3 0 0 0 0 0 0 0 
_1.ptx 102 : 3 322 128 0 0 3 3 0 0 
_1.ptx 103 : 3 21 0 0 0 0 0 0 0 
_1.ptx 104 : 3 33 0 0 0 0 0 0 0 
_1.ptx 105 : 3 840 384 0 0 3 3 0 0 
_1.ptx 106 : 3 23 0 0 0 0 0 0 0 
_1.ptx 107 : 3 29 0 0 0 0 0 0 0 
_1.ptx 108 : 3 0 0 0 0 0 0 0 0 
_1.ptx 110 : 3 9 0 0 0 0 0 0 0 
_1.ptx 111 : 3 30 0 0 0 0 0 0 0 
_1.ptx 112 : 3 33 0 0 0 0 0 0 0 
_1.ptx 113 : 3 442 128 0 0 3 3 0 0 
_1.ptx 114 : 3 31 0 0 0 0 0 0 0 
_1.ptx 115 : 3 34 0 0 0 0 0 0 0 
_1.ptx 116 : 3 36 0 0 0 0 0 0 0 
_1.ptx 117 : 3 16 64 0 0 3 3 0 0 
_1.ptx 119 : 3 19 0 0 0 0 0 0 0 
_1.ptx 120 : 3 10 0 0 0 0 0 0 0 
_1.ptx 121 : 3 33 0 0 0 0 0 0 0 
_1.ptx 122 : 3 16 96 0 0 3 3 0 0 
_1.ptx 123 : 3 13 0 0 0 3 3 0 0 
_1.ptx 124 : 3 13 0 0 0 3 3 0 0 
_1.ptx 125 : 3 33 0 0 0 0 0 0 0 
_1.ptx 128 : 3 34 0 0 0 0 0 0 0 
_1.ptx 129 : 3 35 0 0 0 0 0 0 0 
_1.ptx 130 : 3 26 0 0 0 0 0 0 0 
_1.ptx 131 : 3 14 0 0 0 0 0 0 0 
_1.ptx 135 : 1000448 6432192 0 0 0 0 0 0 0 
_1.ptx 151 : 1000448 6114944 0 0 0 0 0 0 0 
_1.ptx 152 : 1000448 15697568 0 0 0 0 0 0 0 
_1.ptx 153 : 1000448 6856288 0 0 0 0 0 0 0 
_1.ptx 154 : 1000448 12159616 0 0 0 0 0 0 0 
_1.ptx 155 : 1000448 3004736 0 0 0 0 0 0 0 
_1.ptx 156 : 1000448 8651104 0 0 0 0 0 0 0 
_1.ptx 157 : 1000448 3232 0 0 0 0 0 0 0 
_1.ptx 158 : 1000000 7876832 0 0 0 0 0 0 0 
_1.ptx 159 : 1000000 3172736 0 0 0 0 0 0 0 
_1.ptx 160 : 1000000 11257152 0 0 0 0 0 0 0 
_1.ptx 161 : 1000000 262360224 1000064 0 0 31250 31250 0 0 
_1.ptx 162 : 1000000 6388800 0 0 0 0 0 0 0 
_1.ptx 163 : 1000000 8487968 0 0 0 0 0 0 0 
_1.ptx 164 : 1000000 6921034 0 0 0 0 0 0 3 
_1.ptx 67 : 1000448 6127840 0 0 0 0 0 0 0 
_1.ptx 68 : 1000448 15670848 0 0 0 0 0 0 0 
_1.ptx 166 : 3 20 0 0 0 0 0 0 0 
_1.ptx 69 : 1000448 6835808 0 0 0 0 0 0 0 
_1.ptx 167 : 3 9 0 0 0 0 0 0 0 
_1.ptx 70 : 1000448 12155744 0 0 0 0 0 0 0 
_1.ptx 168 : 3 33 0 0 0 0 0 0 0 
_1.ptx 71 : 1000448 7462880 128 0 0 0 0 0 0 
_1.ptx 169 : 3 15 96 0 0 3 3 0 0 
_1.ptx 72 : 1000448 8653088 0 0 0 0 0 0 0 
_1.ptx 73 : 1000448 3232 0 0 0 0 0 0 0 
_1.ptx 171 : 3 18 0 0 0 0 0 0 0 
_1.ptx 74 : 1000000 7880064 0 0 0 0 0 0 0 
_1.ptx 172 : 3 9 0 0 0 0 0 0 0 
_1.ptx 75 : 1000000 3183104 0 0 0 0 0 0 0 
_1.ptx 173 : 3 33 0 0 0 0 0 0 0 
_1.ptx 76 : 1000000 11262272 0 0 0 0 0 0 0 
_1.ptx 174 : 3 15 96 0 0 3 3 0 0 
_1.ptx 77 : 1000000 262126848 1000064 0 0 31250 31250 0 0 
_1.ptx 78 : 1000000 6409120 0 0 0 0 0 0 0 
_1.ptx 176 : 3 18 0 0 0 0 0 0 0 
_1.ptx 79 : 1000000 8487392 0 0 0 0 0 0 0 
_1.ptx 177 : 3 9 0 0 0 0 0 0 0 
_1.ptx 80 : 1000000 6926202 0 0 0 0 0 0 1 
_1.ptx 178 : 3 15 32 0 0 3 3 0 0 
_1.ptx 82 : 1 7 0 0 0 0 0 0 0 
_1.ptx 180 : 3 18 0 0 0 0 0 0 0 
_1.ptx 83 : 1 6 0 0 0 1 1 0 0 
_1.ptx 181 : 3 15 0 0 0 3 3 0 0 
_1.ptx 85 : 1 3 0 0 0 0 0 0 0 
_1.ptx 86 : 1 10 0 0 0 0 0 0 0 
_1.ptx 87 : 1 11 0 0 0 0 0 0 0 
_1.ptx 185 : 1000448 6437440 0 0 0 0 0 0 0 
_1.ptx 88 : 1 274 128 0 0 1 1 0 0 
_1.ptx 89 : 1 7 0 0 0 0 0 0 0 
_1.ptx 90 : 1 4 0 0 0 1 1 0 0 
_1.ptx 91 : 1 11 0 0 0 0 0 0 0 
_1.ptx 92 : 1 8 0 0 0 0 0 0 0 
_1.ptx 93 : 1 0 0 0 0 0 0 0 0 
_1.ptx 94 : 1 3 0 0 0 0 0 0 0 
_1.ptx 95 : 1 7 0 0 0 0 0 0 0 
_1.ptx 96 : 1 10 0 0 0 0 0 0 0 
