kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 62 : 580608 3626112 0 0 0 0 0 0 0 
_1.ptx 63 : 580608 3638688 0 0 0 0 0 0 0 
_1.ptx 64 : 580608 8376896 0 0 0 0 0 0 0 
_1.ptx 65 : 580608 3606912 0 0 0 0 0 0 0 
_1.ptx 66 : 580608 6448320 0 0 0 0 0 0 0 
_1.ptx 67 : 580608 18423616 128 0 0 0 0 0 0 
_1.ptx 68 : 580608 15789248 128 0 0 0 0 0 0 
_1.ptx 69 : 580608 4253632 0 0 0 0 0 0 0 
_1.ptx 70 : 580608 7983904 0 0 0 0 0 0 0 
_1.ptx 71 : 580608 6467776 0 0 0 0 0 0 0 
_1.ptx 72 : 580608 41795520 2322432 0 0 18144 18144 0 0 
_1.ptx 73 : 580608 20084832 0 0 0 0 0 0 0 
_1.ptx 74 : 580608 19661152 0 0 0 0 0 0 0 
_1.ptx 75 : 580608 6435776 0 0 0 0 0 0 0 
_1.ptx 76 : 580608 4204128 0 0 0 0 0 0 0 
_1.ptx 77 : 580608 7194592 0 0 0 0 0 0 0 
_1.ptx 78 : 580608 6424672 0 0 0 0 0 0 0 
_1.ptx 79 : 580608 46421664 2322432 0 0 18144 18144 0 0 
_1.ptx 80 : 580608 26711616 0 0 0 0 0 0 0 
_1.ptx 81 : 580608 6791200 0 0 0 0 0 0 0 
_1.ptx 82 : 580608 6421312 0 0 0 0 0 0 0 
_1.ptx 83 : 580608 4174112 0 0 0 0 0 0 0 
_1.ptx 84 : 580608 6782816 0 0 0 0 0 0 0 
_1.ptx 85 : 580608 6415872 0 0 0 0 0 0 0 
_1.ptx 86 : 580608 47455392 2322432 0 0 18144 18144 0 0 
_1.ptx 87 : 580608 24884832 0 0 0 0 0 0 0 
_1.ptx 88 : 580608 6942048 0 0 0 0 0 0 0 
_1.ptx 89 : 580608 6415200 0 0 0 0 0 0 0 
_1.ptx 90 : 580608 4171488 0 0 0 0 0 0 0 
_1.ptx 91 : 580608 6753216 0 0 0 0 0 0 0 
_1.ptx 92 : 580608 6414336 0 0 0 0 0 0 0 
_1.ptx 93 : 580608 49255104 2322432 0 0 18144 18144 0 0 
_1.ptx 94 : 580608 26962592 0 0 0 0 0 0 0 
_1.ptx 95 : 580608 6784384 0 0 0 0 0 0 0 
_1.ptx 96 : 580608 6412512 0 0 0 0 0 0 0 
_1.ptx 97 : 580608 4176736 0 0 0 0 0 0 0 
_1.ptx 98 : 580608 6676448 0 0 0 0 0 0 0 
_1.ptx 99 : 580608 6426176 0 0 0 0 0 0 0 
_1.ptx 100 : 580608 53591456 2322432 0 0 18144 18144 0 0 
_1.ptx 102 : 580608 3532768 0 0 0 0 0 0 0 
_1.ptx 118 : 193536 1275840 0 0 0 0 0 0 0 
_1.ptx 119 : 193536 1294432 0 0 0 0 0 0 0 
_1.ptx 120 : 193536 1265280 0 0 0 0 0 0 0 
_1.ptx 121 : 193536 3758304 0 0 0 0 0 0 0 
_1.ptx 122 : 193536 2188960 0 0 0 0 0 0 0 
_1.ptx 123 : 193536 1479648 0 0 0 0 0 0 0 
_1.ptx 124 : 193536 4023360 0 0 0 0 0 0 0 
_1.ptx 125 : 193536 2873088 0 0 0 0 0 0 0 
_1.ptx 126 : 193536 2157312 0 0 0 0 0 0 0 
_1.ptx 127 : 193536 90390752 774144 0 0 6048 6048 0 0 
_1.ptx 129 : 193536 4688512 0 0 0 0 0 0 0 
_1.ptx 130 : 193536 2157792 0 0 0 0 0 0 0 
_1.ptx 131 : 193536 1430528 0 0 0 0 0 0 0 
_1.ptx 132 : 193536 3675488 0 0 0 0 0 0 0 
_1.ptx 133 : 193536 2155104 0 0 0 0 0 0 0 
_1.ptx 134 : 193536 93427296 774144 0 0 6048 6048 0 0 
_1.ptx 136 : 193536 3589472 0 0 0 0 0 0 0 
_1.ptx 137 : 193536 2151296 0 0 0 0 0 0 0 
_1.ptx 138 : 193536 1410976 0 0 0 0 0 0 0 
_1.ptx 139 : 193536 3627552 0 0 0 0 0 0 0 
_1.ptx 140 : 193536 2147008 0 0 0 0 0 0 0 
_1.ptx 141 : 193536 94535808 774144 0 0 6048 6048 0 0 
_1.ptx 143 : 193536 3564832 0 0 0 0 0 0 0 
_1.ptx 144 : 193536 2148832 0 0 0 0 0 0 0 
_1.ptx 145 : 193536 1404768 0 0 0 0 0 0 0 
_1.ptx 146 : 193536 3674016 0 0 0 0 0 0 0 
_1.ptx 147 : 193536 2149056 0 0 0 0 0 0 0 
_1.ptx 148 : 193536 94494976 774144 0 0 6048 6048 0 0 
_1.ptx 150 : 193536 10242240 0 0 0 0 0 0 0 
_1.ptx 151 : 193536 10363232 0 0 0 0 0 0 0 
_1.ptx 152 : 193536 10533600 0 0 0 0 0 0 0 
_1.ptx 153 : 193536 2163904 0 0 0 0 0 0 0 
_1.ptx 154 : 193536 1776512 0 0 0 0 0 0 0 
_1.ptx 155 : 193536 1782112 0 0 0 0 0 0 0 
_1.ptx 156 : 193536 1212832 0 0 0 0 0 0 0 
_1.ptx 157 : 193536 4730944 0 0 0 0 0 0 0 
_1.ptx 158 : 193536 5097184 0 0 0 0 0 0 0 
_1.ptx 159 : 193536 2147456 0 0 0 0 0 0 0 
_1.ptx 160 : 193536 1396832 0 0 0 0 0 0 0 
_1.ptx 161 : 193536 4250400 0 0 0 0 0 0 0 
_1.ptx 162 : 193536 2148128 0 0 0 0 0 0 0 
_1.ptx 163 : 193536 86511232 774144 0 0 6048 6048 0 0 
_1.ptx 164 : 193536 1199776 0 0 0 0 0 0 0 
_1.ptx 165 : 193536 2152896 0 0 0 0 0 0 0 
_1.ptx 166 : 193536 2151840 0 0 0 0 0 0 0 
_1.ptx 167 : 193536 2154400 0 0 0 0 0 0 0 
_1.ptx 168 : 193536 1206784 0 0 0 0 0 0 0 
_1.ptx 169 : 193536 2156320 0 0 0 0 0 0 0 
_1.ptx 170 : 193536 1208736 0 0 0 0 0 0 0 
_1.ptx 171 : 193536 2151456 0 0 0 0 0 0 0 
_1.ptx 172 : 193536 10940544 0 0 0 0 0 0 0 
_1.ptx 173 : 193536 4895648 0 0 0 0 0 0 0 
_1.ptx 174 : 193536 2145600 0 0 0 0 0 0 0 
_1.ptx 175 : 193536 4128896 0 0 0 0 0 0 0 
_1.ptx 176 : 193536 2147776 0 0 0 0 0 0 0 
_1.ptx 177 : 193536 116163168 774144 0 0 6048 6048 0 0 
_1.ptx 178 : 193536 4840544 0 0 0 0 0 0 0 
_1.ptx 179 : 193536 2142016 0 0 0 0 0 0 0 
_1.ptx 180 : 193536 11190528 0 0 0 0 0 0 0 
_1.ptx 182 : 193536 3676352 0 0 0 0 0 0 0 
_1.ptx 183 : 193536 2144896 0 0 0 0 0 0 0 
_1.ptx 184 : 193536 4098784 774144 0 0 6048 6048 0 0 
_1.ptx 186 : 193536 1191840 0 0 0 0 0 0 0 
_1.ptx 208 : 193536 1200224 0 0 0 0 0 0 0 
_1.ptx 209 : 193536 1204736 0 0 0 0 0 0 0 
_1.ptx 210 : 193536 1189888 0 0 0 0 0 0 0 
_1.ptx 211 : 193536 2952032 0 0 0 0 0 0 0 
_1.ptx 212 : 193536 2151936 0 0 0 0 0 0 0 
_1.ptx 213 : 193536 1430528 0 0 0 0 0 0 0 
_1.ptx 214 : 193536 2554592 0 0 0 0 0 0 0 
_1.ptx 215 : 193536 6339200 0 0 0 0 0 0 0 
_1.ptx 216 : 193536 2152960 0 0 0 0 0 0 0 
_1.ptx 217 : 193536 76897504 346368 0 0 6048 6048 0 0 
_1.ptx 219 : 193536 5115616 0 0 0 0 0 0 0 
_1.ptx 220 : 193536 2152480 0 0 0 0 0 0 0 
_1.ptx 221 : 193536 1455744 0 0 0 0 0 0 0 
_1.ptx 222 : 193536 2784864 0 0 0 0 0 0 0 
_1.ptx 223 : 193536 2153184 0 0 0 0 0 0 0 
_1.ptx 224 : 193536 78724608 365440 0 0 6048 6048 0 0 
_1.ptx 226 : 193536 2833952 0 0 0 0 0 0 0 
_1.ptx 227 : 193536 2159488 0 0 0 0 0 0 0 
_1.ptx 228 : 193536 1435264 0 0 0 0 0 0 0 
_1.ptx 229 : 193536 3073696 0 0 0 0 0 0 0 
_1.ptx 230 : 193536 2149120 0 0 0 0 0 0 0 
_1.ptx 231 : 193536 85477056 368768 0 0 6048 6048 0 0 
_1.ptx 233 : 193536 2804992 0 0 0 0 0 0 0 
_1.ptx 234 : 193536 2151328 0 0 0 0 0 0 0 
_1.ptx 235 : 193536 1405024 0 0 0 0 0 0 0 
_1.ptx 236 : 193536 2564800 0 0 0 0 0 0 0 
_1.ptx 237 : 193536 2141472 0 0 0 0 0 0 0 
_1.ptx 238 : 193536 82352704 365824 0 0 6048 6048 0 0 
_1.ptx 240 : 193536 2776992 0 0 0 0 0 0 0 
_1.ptx 241 : 193536 2152064 0 0 0 0 0 0 0 
_1.ptx 242 : 193536 1431904 0 0 0 0 0 0 0 
_1.ptx 243 : 193536 2903552 0 0 0 0 0 0 0 
_1.ptx 244 : 193536 2153920 0 0 0 0 0 0 0 
_1.ptx 245 : 193536 85755936 375040 0 0 6048 6048 0 0 
_1.ptx 247 : 193536 9004352 0 0 0 0 0 0 0 
_1.ptx 248 : 193536 2143680 0 0 0 0 0 0 0 
_1.ptx 249 : 193536 102581600 774144 0 0 6048 6048 0 0 
_1.ptx 251 : 193536 10825664 0 0 0 0 0 0 0 
_1.ptx 252 : 193536 2144608 0 0 0 0 0 0 0 
_1.ptx 253 : 193536 105253472 774144 0 0 6048 6048 0 0 
_1.ptx 255 : 193536 2145472 0 0 0 0 0 0 0 
_1.ptx 256 : 193536 108651680 774144 0 0 6048 6048 0 0 
_1.ptx 258 : 193536 2664640 0 0 0 0 0 0 0 
_1.ptx 259 : 193536 2149984 0 0 0 0 0 0 0 
_1.ptx 260 : 193536 1417440 0 0 0 0 0 0 0 
_1.ptx 261 : 193536 2384640 0 0 0 0 0 0 0 
_1.ptx 262 : 193536 2154240 0 0 0 0 0 0 0 
_1.ptx 263 : 193536 114881632 774144 0 0 6048 6048 0 0 
_1.ptx 264 : 193536 1187392 0 0 0 0 0 0 0 
_1.ptx 265 : 193536 1572736 0 0 0 0 0 0 0 
_1.ptx 266 : 193536 94025 0 0 0 0 0 0 3151 
_1.ptx 268 : 178150 1277782 0 0 0 0 0 0 0 
_1.ptx 269 : 178150 2073494 0 0 0 0 0 0 0 
_1.ptx 270 : 178150 1978014 0 0 0 0 0 0 0 
_1.ptx 271 : 178150 177837039 251904 0 0 114727 6046 0 0 
_1.ptx 273 : 178150 1975686 0 0 0 0 0 0 0 
_1.ptx 274 : 178150 1272599 0 0 0 0 0 0 0 
_1.ptx 275 : 178150 2066287 0 0 0 0 0 0 0 
_1.ptx 276 : 178150 1974250 0 0 0 0 0 0 0 
_1.ptx 277 : 178150 194724781 283264 0 0 114727 6046 0 0 
_1.ptx 279 : 178150 1973103 0 0 0 0 0 0 0 
_1.ptx 280 : 178150 1269877 0 0 0 0 0 0 0 
_1.ptx 281 : 178150 1993114 0 0 0 0 0 0 0 
_1.ptx 282 : 178150 1971940 0 0 0 0 0 0 0 
_1.ptx 283 : 178150 200919836 237952 0 0 114727 6046 0 0 
_1.ptx 285 : 178150 1971888 0 0 0 0 0 0 0 
_1.ptx 286 : 178150 1266223 0 0 0 0 0 0 0 
_1.ptx 287 : 178150 2009692 0 0 0 0 0 0 0 
_1.ptx 288 : 178150 1976563 0 0 0 0 0 0 0 
_1.ptx 289 : 178150 201235115 231168 0 0 114727 6046 0 0 
_1.ptx 291 : 178150 1971651 0 0 0 0 0 0 0 
_1.ptx 292 : 178150 1267162 0 0 0 0 0 0 0 
_1.ptx 293 : 178150 2117780 0 0 0 0 0 0 0 
_1.ptx 294 : 178150 1970058 0 0 0 0 0 0 0 
_1.ptx 295 : 178150 198177605 252800 0 0 114727 6046 0 0 
_1.ptx 297 : 178150 8670125 0 0 0 0 0 0 0 
_1.ptx 298 : 178150 9109964 0 0 0 0 0 0 0 
_1.ptx 299 : 178150 9502529 0 0 0 0 0 0 0 
_1.ptx 300 : 178150 1078782 0 0 0 0 0 0 0 
_1.ptx 301 : 178150 1977149 0 0 0 0 0 0 0 
_1.ptx 302 : 178150 9063064 0 0 0 0 0 0 0 
_1.ptx 303 : 178150 9230044 0 0 0 0 0 0 0 
_1.ptx 304 : 178150 9029302 0 0 0 0 0 0 0 
_1.ptx 305 : 178150 1079131 0 0 0 0 0 0 0 
_1.ptx 306 : 178150 1970196 0 0 0 0 0 0 0 
_1.ptx 307 : 178150 1982918 0 0 0 0 0 0 0 
_1.ptx 308 : 178150 1979979 0 0 0 0 0 0 0 
_1.ptx 309 : 178150 1620317 0 0 0 0 0 0 0 
_1.ptx 310 : 178150 1618566 0 0 0 0 0 0 0 
_1.ptx 311 : 178150 1617535 0 0 0 0 0 0 0 
_1.ptx 312 : 178150 1620740 0 0 0 0 0 0 0 
_1.ptx 313 : 178150 1979248 0 0 0 0 0 0 0 
