kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2052 : 26112 195200 0 0 0 0 0 0 0 
_1.ptx 2053 : 26112 173888 0 0 0 0 0 0 0 
_1.ptx 2054 : 26112 171552 0 0 0 0 0 0 0 
_1.ptx 2055 : 26112 218144 0 0 0 0 0 0 0 
_1.ptx 2056 : 26112 197312 0 0 0 0 0 0 0 
_1.ptx 2057 : 26112 319872 0 0 0 0 0 0 0 
_1.ptx 2058 : 26112 195680 0 0 0 0 0 0 0 
_1.ptx 2059 : 26112 0 0 0 0 0 0 0 0 
_1.ptx 2060 : 26112 194304 0 0 0 0 0 0 0 
_1.ptx 2061 : 26112 294336 0 0 0 0 0 0 0 
_1.ptx 2062 : 26112 296576 0 0 0 0 0 0 0 
_1.ptx 72 : 26112 3966016 128 0 0 0 0 0 0 
_1.ptx 2063 : 26112 174176 0 0 0 0 0 0 0 
_1.ptx 73 : 26112 157600 0 0 0 0 0 0 0 
_1.ptx 2064 : 26112 218784 0 0 0 0 0 0 0 
_1.ptx 74 : 26112 217344 0 0 0 0 0 0 0 
_1.ptx 2065 : 26112 195680 0 0 0 0 0 0 0 
_1.ptx 75 : 26112 0 0 0 0 0 0 0 0 
_1.ptx 2066 : 26112 220192 0 0 0 0 0 0 0 
_1.ptx 2067 : 26112 175936 0 0 0 0 0 0 0 
_1.ptx 77 : 26112 199776 0 0 0 0 0 0 0 
_1.ptx 2068 : 26112 218080 0 0 0 0 0 0 0 
_1.ptx 78 : 26112 202400 0 0 0 0 0 0 0 
_1.ptx 2069 : 26112 172288 0 0 0 0 0 0 0 
_1.ptx 79 : 26112 217888 0 0 0 0 0 0 0 
_1.ptx 80 : 26112 394304 0 0 0 0 0 0 0 
_1.ptx 81 : 26112 292224 0 0 0 0 0 0 0 
_1.ptx 82 : 26112 6911200 6528 0 0 0 0 0 0 
_1.ptx 83 : 26112 6802400 0 0 0 0 0 0 0 
_1.ptx 84 : 26112 212768 0 0 0 0 0 0 0 
_1.ptx 85 : 26112 370368 0 0 0 0 0 0 0 
_1.ptx 86 : 26112 313632 0 0 0 0 0 0 0 
_1.ptx 87 : 26112 227712 0 0 0 0 0 0 0 
_1.ptx 88 : 26112 209184 0 0 0 0 0 0 0 
_1.ptx 89 : 26112 183968 0 0 0 0 0 0 0 
_1.ptx 90 : 26112 225152 0 0 0 0 0 0 0 
_1.ptx 91 : 26112 174984 0 0 0 0 0 0 51 
_1.ptx 93 : 51 212 0 0 0 0 0 0 0 
_1.ptx 94 : 51 9226 128 0 0 0 0 0 0 
_1.ptx 95 : 51 627 0 0 0 0 0 0 0 
