kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 62 : 16 96 0 0 0 0 0 0 0 
_1.ptx 64 : 16 4480 128 0 0 0 0 0 0 
_1.ptx 65 : 16 4464 0 0 0 0 0 0 0 
_1.ptx 66 : 16 176 0 0 0 0 0 0 0 
_1.ptx 67 : 16 96 0 0 0 0 0 0 0 
_1.ptx 68 : 16 112 0 0 0 0 0 0 0 
_1.ptx 69 : 16 176 0 0 0 0 0 0 0 
_1.ptx 70 : 16 160 0 0 0 0 0 0 0 
_1.ptx 71 : 16 176 0 0 0 0 0 0 0 
_1.ptx 72 : 16 48 0 0 0 0 0 0 0 
_1.ptx 73 : 16 176 0 0 0 0 0 0 0 
_1.ptx 74 : 16 112 0 0 0 0 0 0 0 
_1.ptx 75 : 16 160 0 0 0 0 0 0 0 
_1.ptx 76 : 16 176 0 0 0 0 0 0 0 
_1.ptx 77 : 16 4384 128 0 0 1 1 0 0 
_1.ptx 78 : 16 80 0 1 1 0 0 0 0 
_1.ptx 79 : 16 176 0 0 0 0 0 0 0 
_1.ptx 80 : 16 176 0 0 0 0 0 0 0 
_1.ptx 81 : 16 112 0 0 0 0 0 0 0 
_1.ptx 82 : 16 160 0 0 0 0 0 0 0 
_1.ptx 83 : 16 176 0 0 0 0 0 0 0 
_1.ptx 84 : 16 4384 128 0 0 1 1 0 0 
_1.ptx 85 : 16 80 0 1 1 0 0 0 0 
_1.ptx 86 : 16 176 0 0 0 0 0 0 0 
_1.ptx 87 : 16 176 0 0 0 0 0 0 0 
_1.ptx 88 : 16 112 0 0 0 0 0 0 0 
_1.ptx 89 : 16 160 0 0 0 0 0 0 0 
_1.ptx 90 : 16 176 0 0 0 0 0 0 0 
_1.ptx 91 : 16 4384 128 0 0 1 1 0 0 
_1.ptx 92 : 16 80 0 1 1 0 0 0 0 
_1.ptx 93 : 16 176 0 0 0 0 0 0 0 
_1.ptx 94 : 16 176 0 0 0 0 0 0 0 
_1.ptx 95 : 16 112 0 0 0 0 0 0 0 
_1.ptx 96 : 16 160 0 0 0 0 0 0 0 
_1.ptx 97 : 16 176 0 0 0 0 0 0 0 
_1.ptx 98 : 16 4240 128 0 0 1 1 0 0 
_1.ptx 99 : 16 80 0 1 1 0 0 0 0 
_1.ptx 100 : 16 176 0 0 0 0 0 0 0 
_1.ptx 101 : 16 176 0 0 0 0 0 0 0 
_1.ptx 102 : 16 112 0 0 0 0 0 0 0 
_1.ptx 103 : 16 160 0 0 0 0 0 0 0 
_1.ptx 104 : 16 176 0 0 0 0 0 0 0 
_1.ptx 105 : 16 4240 128 0 0 1 1 0 0 
_1.ptx 106 : 16 80 0 1 1 0 0 0 0 
_1.ptx 107 : 16 176 0 0 0 0 0 0 0 
_1.ptx 108 : 16 176 0 0 0 0 0 0 0 
