kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4504064 39775072 0 0 0 0 0 0 0 
_1.ptx 200 : 4504064 42091904 0 0 0 0 0 0 0 
_1.ptx 201 : 4504064 37193856 0 0 0 0 0 0 0 
_1.ptx 210 : 237056 1874336 0 0 0 0 0 0 0 
_1.ptx 211 : 237056 2183584 0 0 0 0 0 0 0 
_1.ptx 214 : 237056 289016 0 0 0 0 0 0 1852 
_1.ptx 216 : 200000 1731912 0 0 0 0 0 0 0 
_1.ptx 217 : 200000 2526908 0 0 0 0 0 0 0 
_1.ptx 218 : 200000 2367284 0 0 0 0 0 0 0 
_1.ptx 219 : 200000 1880756 0 7408 7408 0 0 0 0 
_1.ptx 220 : 200000 833056 0 0 0 0 0 0 0 
_1.ptx 221 : 200000 1668824 0 0 0 0 0 0 0 
_1.ptx 222 : 200000 2405232 0 0 0 0 0 0 0 
_1.ptx 223 : 200000 2351028 0 0 0 0 0 0 0 
_1.ptx 224 : 200000 2224908 1029184 0 0 13426 7408 0 0 
_1.ptx 227 : 237056 1759328 0 0 0 0 0 0 0 
_1.ptx 68 : 237056 5507168 128 0 0 0 0 0 0 
_1.ptx 69 : 237056 3498880 0 0 0 0 0 0 0 
_1.ptx 70 : 237056 909088 0 0 0 0 0 0 0 
_1.ptx 71 : 237056 2612000 0 0 0 0 0 0 0 
_1.ptx 72 : 237056 1914336 0 0 0 0 0 0 0 
_1.ptx 73 : 237056 2841408 0 0 0 0 0 0 0 
_1.ptx 74 : 237056 1929632 0 0 0 0 0 0 0 
_1.ptx 75 : 237056 3334816 0 0 0 0 0 0 0 
_1.ptx 76 : 237056 889568 0 0 0 0 0 0 0 
_1.ptx 77 : 237056 2832960 0 0 0 0 0 0 0 
_1.ptx 78 : 237056 1887360 0 0 0 0 0 0 0 
_1.ptx 79 : 237056 2857440 0 0 0 0 0 0 0 
_1.ptx 80 : 237056 2168128 0 0 0 0 0 0 0 
_1.ptx 81 : 237056 2040832 0 0 0 0 0 0 0 
_1.ptx 82 : 237056 1824480 0 0 0 0 0 0 0 
_1.ptx 83 : 237056 2144224 0 0 0 0 0 0 0 
_1.ptx 84 : 237056 1999392 0 0 0 0 0 0 0 
_1.ptx 85 : 237056 2124960 0 0 0 0 0 0 0 
_1.ptx 86 : 237056 1801248 0 0 0 0 0 0 0 
_1.ptx 87 : 237056 2123072 0 0 0 0 0 0 0 
