kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 409 : 10000 75600 0 0 0 0 0 0 0 
_1.ptx 410 : 10000 194016 0 0 0 0 0 0 0 
_1.ptx 411 : 10000 112256 0 0 0 0 0 0 0 
_1.ptx 412 : 10000 167248 0 0 0 313 313 0 0 
_1.ptx 413 : 10000 200032 0 0 0 0 0 0 0 
_1.ptx 414 : 10000 116192 0 0 0 0 0 0 0 
_1.ptx 415 : 10000 81408 0 0 0 0 0 0 0 
_1.ptx 416 : 10000 83056 0 0 0 0 0 0 0 
_1.ptx 417 : 10000 96992 0 0 0 0 0 0 0 
_1.ptx 418 : 10000 91776 0 0 0 0 0 0 0 
_1.ptx 419 : 10000 126896 0 0 0 0 0 0 0 
_1.ptx 420 : 10000 120896 0 0 0 0 0 0 0 
_1.ptx 421 : 10000 87392 0 0 0 0 0 0 0 
_1.ptx 422 : 10000 120144 0 0 0 0 0 0 0 
_1.ptx 423 : 10000 86144 0 0 0 0 0 0 0 
_1.ptx 424 : 10000 58728 0 0 0 0 0 0 0 
_1.ptx 425 : 10000 80144 0 0 0 0 0 0 0 
_1.ptx 426 : 10000 192896 0 0 0 0 0 0 0 
_1.ptx 427 : 10000 110736 0 0 0 0 0 0 0 
_1.ptx 428 : 10000 138704 0 0 0 313 313 0 0 
_1.ptx 430 : 10000 1181520 0 0 0 0 0 0 0 
_1.ptx 431 : 10000 110832 0 0 0 0 0 0 0 
_1.ptx 432 : 10000 3654656 40064 0 0 313 313 0 0 
_1.ptx 433 : 10000 92416 0 0 0 0 0 0 0 
_1.ptx 434 : 10000 90272 0 0 0 0 0 0 0 
_1.ptx 435 : 10000 166992 0 0 0 0 0 0 0 
_1.ptx 436 : 10000 104688 0 0 0 0 0 0 0 
_1.ptx 437 : 10000 98768 0 0 0 0 0 0 0 
_1.ptx 438 : 10000 583776 0 0 0 0 0 0 0 
_1.ptx 439 : 10000 91920 0 0 0 0 0 0 0 
_1.ptx 440 : 10000 87344 0 0 0 0 0 0 0 
_1.ptx 441 : 10000 130128 0 0 0 0 0 0 0 
_1.ptx 442 : 10000 390656 0 0 0 0 0 0 0 
_1.ptx 443 : 10000 74832 0 0 0 0 0 0 0 
_1.ptx 444 : 10000 68080 0 0 0 0 0 0 0 
_1.ptx 445 : 10000 792800 0 0 0 0 0 0 0 
_1.ptx 446 : 10000 70384 0 0 0 0 0 0 0 
_1.ptx 447 : 10000 678240 0 0 0 0 0 0 0 
_1.ptx 448 : 10000 61696 0 0 0 0 0 0 0 
_1.ptx 449 : 10000 112176 0 0 0 0 0 0 0 
_1.ptx 450 : 10000 60896 0 0 0 0 0 0 0 
_1.ptx 451 : 10000 111088 0 0 0 0 0 0 0 
_1.ptx 452 : 10000 837344 0 0 0 0 0 0 0 
_1.ptx 453 : 10000 113040 0 0 0 0 0 0 0 
_1.ptx 454 : 10000 77808 0 0 0 0 0 0 0 
_1.ptx 455 : 10000 72128 0 0 0 0 0 0 0 
_1.ptx 456 : 10000 161280 0 0 0 0 0 0 0 
_1.ptx 457 : 10000 75856 0 0 0 0 0 0 0 
_1.ptx 458 : 10000 50704 0 0 0 313 313 0 0 
_1.ptx 460 : 10000 2236592 0 0 0 313 313 0 0 
_1.ptx 461 : 10000 135424 0 0 0 0 0 0 0 
_1.ptx 462 : 10000 110336 0 0 0 0 0 0 0 
_1.ptx 464 : 10000 73664 0 0 0 0 0 0 0 
_1.ptx 465 : 10000 75040 0 0 0 0 0 0 0 
_1.ptx 466 : 10000 88768 0 0 0 0 0 0 0 
_1.ptx 467 : 10000 82768 0 0 0 0 0 0 0 
_1.ptx 468 : 10000 121104 0 0 0 0 0 0 0 
_1.ptx 469 : 10000 117088 0 0 0 0 0 0 0 
_1.ptx 470 : 10000 81168 0 0 0 0 0 0 0 
_1.ptx 471 : 10000 117136 0 0 0 0 0 0 0 
_1.ptx 472 : 10000 82864 0 0 0 0 0 0 0 
_1.ptx 473 : 10000 58722 0 0 0 0 0 0 0 
_1.ptx 474 : 10000 82128 0 0 0 0 0 0 0 
_1.ptx 475 : 10000 113808 0 0 0 0 0 0 0 
_1.ptx 476 : 10000 116720 0 0 0 0 0 0 0 
_1.ptx 477 : 10000 132096 0 0 0 313 313 0 0 
_1.ptx 478 : 10000 144176 0 0 0 0 0 0 0 
_1.ptx 479 : 10000 116960 0 0 0 0 0 0 0 
_1.ptx 480 : 10000 82240 0 0 0 0 0 0 0 
_1.ptx 481 : 10000 84000 0 0 0 0 0 0 0 
_1.ptx 482 : 10000 93424 0 0 0 0 0 0 0 
_1.ptx 483 : 10000 86400 0 0 0 0 0 0 0 
_1.ptx 484 : 10000 142736 0 0 0 0 0 0 0 
_1.ptx 485 : 10000 118304 0 0 0 0 0 0 0 
_1.ptx 486 : 10000 88560 0 0 0 0 0 0 0 
_1.ptx 487 : 10000 121088 0 0 0 0 0 0 0 
_1.ptx 488 : 10000 88272 0 0 0 0 0 0 0 
_1.ptx 489 : 10000 59647 0 0 0 0 0 0 0 
_1.ptx 490 : 10000 82864 0 0 0 0 0 0 0 
