kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 409 : 4194304 46551840 0 0 0 0 0 0 0 
_1.ptx 410 : 4194304 121563296 10976000 0 0 262144 131072 0 0 
_1.ptx 412 : 4194304 71914272 0 0 0 0 0 0 0 
_1.ptx 413 : 4194304 46405536 0 0 0 0 0 0 0 
_1.ptx 414 : 4194304 131651296 10918528 0 0 262144 131072 0 0 
_1.ptx 416 : 4194304 77726656 0 0 0 0 0 0 0 
_1.ptx 417 : 4194304 46337024 0 0 0 0 0 0 0 
_1.ptx 418 : 4194304 146131104 11073472 0 0 262144 131072 0 0 
_1.ptx 420 : 4194304 83732352 0 0 0 0 0 0 0 
_1.ptx 421 : 4194304 46257344 0 0 0 0 0 0 0 
_1.ptx 422 : 4194304 164765376 11440576 0 0 262144 131072 0 0 
_1.ptx 424 : 4194304 25428960 0 0 0 0 0 0 0 
_1.ptx 453 : 4194304 27314560 0 0 0 0 0 0 0 
_1.ptx 454 : 4194304 50642048 0 0 0 0 0 0 0 
_1.ptx 455 : 4194304 57601920 0 0 0 0 0 0 0 
_1.ptx 456 : 4194304 28631328 0 0 0 0 0 0 0 
_1.ptx 457 : 4194304 64015328 0 0 0 0 0 0 0 
_1.ptx 458 : 4194304 29830592 0 0 0 0 0 0 0 
_1.ptx 459 : 4194304 30425728 0 0 0 0 0 0 0 
_1.ptx 460 : 4194304 49438496 0 0 0 0 0 0 0 
_1.ptx 461 : 4194304 53683808 0 0 0 0 0 0 0 
_1.ptx 462 : 4194304 49640992 0 0 0 0 0 0 0 
_1.ptx 463 : 4194304 36258560 0 0 0 0 0 0 0 
_1.ptx 464 : 4194304 36244480 0 0 0 0 0 0 0 
_1.ptx 465 : 4194304 52736064 0 0 0 0 0 0 0 
_1.ptx 466 : 4194304 49279168 0 0 0 0 0 0 0 
_1.ptx 467 : 4194304 51757632 0 0 0 0 0 0 0 
_1.ptx 468 : 4194304 30474720 0 0 0 0 0 0 0 
_1.ptx 469 : 4194304 49313760 0 0 0 0 0 0 0 
_1.ptx 470 : 4194304 49597760 0 0 0 0 0 0 0 
_1.ptx 471 : 4194304 34035552 0 0 0 0 0 0 0 
_1.ptx 472 : 4194304 49042976 0 0 0 0 0 0 0 
_1.ptx 473 : 4194304 66317248 0 0 0 0 0 0 0 
_1.ptx 474 : 4194304 47976736 0 0 0 0 0 0 0 
