kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 131072 5173920 128 0 0 0 0 0 0 
_1.ptx 71 : 131072 793408 0 0 0 0 0 0 0 
_1.ptx 72 : 131072 1073632 0 0 0 0 0 0 0 
_1.ptx 73 : 131072 845056 0 0 0 0 0 0 0 
_1.ptx 74 : 131072 875520 0 0 0 0 0 0 0 
_1.ptx 75 : 131072 1118816 0 0 0 0 0 0 0 
_1.ptx 76 : 131072 873275 0 0 0 0 0 0 256 
_1.ptx 77 : 256 0 0 0 0 0 0 0 0 
_1.ptx 78 : 256 1592 0 0 0 0 0 0 0 
_1.ptx 79 : 256 1881 0 0 0 0 0 0 0 
_1.ptx 80 : 256 3165 0 0 0 0 0 0 0 
_1.ptx 81 : 256 1799 0 0 0 0 0 0 0 
_1.ptx 82 : 256 1795 0 0 0 0 0 0 0 
_1.ptx 83 : 256 2617 0 0 0 0 0 0 0 
_1.ptx 84 : 256 1672 0 0 0 0 0 0 0 
_1.ptx 85 : 256 1511 0 0 0 0 0 0 0 
_1.ptx 86 : 256 2611 0 0 0 0 0 0 0 
_1.ptx 87 : 256 2825 0 0 0 0 0 0 0 
_1.ptx 88 : 256 1547 0 0 0 0 0 0 0 
_1.ptx 89 : 256 1827 0 0 0 0 0 0 0 
_1.ptx 93 : 65536 18118500 226816 0 0 65536 65536 0 0 
_1.ptx 94 : 65536 347683 0 65536 65536 0 0 0 0 
_1.ptx 95 : 65536 655494 0 0 0 0 0 0 0 
_1.ptx 96 : 65536 655715 0 0 0 0 0 0 0 
_1.ptx 97 : 65536 721282 0 0 0 0 0 0 0 
_1.ptx 98 : 65536 524363 0 0 0 0 0 0 0 
_1.ptx 99 : 65536 391990 0 0 0 0 0 0 0 
_1.ptx 101 : 256 1538 0 0 0 0 0 0 0 
_1.ptx 103 : 131072 847840 0 0 0 0 0 0 0 
_1.ptx 105 : 131072 842880 0 0 0 0 0 0 0 
_1.ptx 106 : 131072 802240 0 0 0 0 0 0 0 
_1.ptx 107 : 131072 805184 0 0 0 0 0 0 0 
_1.ptx 108 : 131072 815072 0 0 0 0 0 0 0 
_1.ptx 109 : 131072 821408 0 0 0 0 0 0 0 
_1.ptx 110 : 131072 0 0 0 0 0 0 0 0 
_1.ptx 111 : 131072 951744 0 0 0 0 0 0 0 
_1.ptx 112 : 131072 2974624 0 0 0 0 0 0 0 
_1.ptx 113 : 131072 1483008 0 0 0 0 0 0 0 
_1.ptx 114 : 131072 3220608 0 0 0 0 0 0 0 
_1.ptx 115 : 131072 1095680 0 0 0 0 0 0 0 
_1.ptx 116 : 131072 1499968 0 0 0 0 0 0 0 
_1.ptx 117 : 131072 1061568 0 0 0 0 0 0 0 
_1.ptx 118 : 131072 394592 0 0 0 0 0 0 0 
_1.ptx 119 : 131072 1050176 0 0 0 0 0 0 0 
_1.ptx 120 : 131072 2732960 0 0 0 0 0 0 0 
_1.ptx 121 : 131072 401824 0 0 0 0 0 0 0 
_1.ptx 122 : 131072 2777376 0 0 0 0 0 0 0 
_1.ptx 123 : 131072 1496896 0 0 0 0 0 0 0 
_1.ptx 124 : 131072 912736 0 0 0 0 0 0 0 
_1.ptx 125 : 131072 908736 0 0 0 0 0 0 0 
_1.ptx 126 : 131072 999936 0 0 0 0 0 0 0 
_1.ptx 130 : 33554432 850722336 0 1048576 1048576 0 0 0 0 
_1.ptx 131 : 33554432 12929806368 134217728 0 0 1048576 1048576 0 0 
_1.ptx 132 : 33554432 374796672 0 0 0 0 0 0 0 
_1.ptx 133 : 33554432 309040704 0 0 0 0 0 0 0 
_1.ptx 134 : 33554432 348031424 0 0 0 0 0 0 0 
_1.ptx 135 : 33554432 343363232 0 0 0 0 0 0 0 
_1.ptx 136 : 33554432 376005280 0 0 0 0 0 0 0 
_1.ptx 137 : 33554432 276057696 0 0 0 0 0 0 0 
_1.ptx 138 : 33554432 208928864 0 0 0 0 0 0 0 
_1.ptx 139 : 131072 799328 0 0 0 0 0 0 0 
_1.ptx 149 : 131072 7204800 0 0 0 0 0 0 0 
_1.ptx 150 : 131072 1333792 0 0 0 0 0 0 0 
_1.ptx 151 : 131072 1450912 0 0 0 0 0 0 0 
_1.ptx 152 : 131072 79377344 4194304 0 0 32768 4096 0 0 
_1.ptx 153 : 131072 1446240 0 0 0 0 0 0 0 
_1.ptx 155 : 131072 29422080 6016 0 0 32768 4096 0 0 
_1.ptx 156 : 131072 8669120 0 0 0 0 0 0 0 
_1.ptx 157 : 131072 7533792 0 0 0 0 0 0 0 
_1.ptx 158 : 131072 1319392 0 0 0 0 0 0 0 
_1.ptx 159 : 131072 1461984 0 0 0 0 0 0 0 
_1.ptx 160 : 131072 929792 0 0 0 0 0 0 0 
_1.ptx 161 : 131072 1326880 0 0 0 0 0 0 0 
_1.ptx 162 : 131072 1448672 0 0 0 0 0 0 0 
_1.ptx 163 : 131072 1059808 0 0 0 0 0 0 0 
_1.ptx 164 : 131072 539932 0 0 0 0 0 0 3941 
_1.ptx 166 : 41758 253528 0 0 0 0 0 0 0 
_1.ptx 167 : 41758 1747931 0 0 0 0 0 0 0 
_1.ptx 168 : 41758 461491 0 0 0 0 0 0 0 
_1.ptx 169 : 41758 1574999 61280 0 0 3941 3941 0 0 
_1.ptx 171 : 41758 296620 0 0 0 0 0 0 0 
_1.ptx 172 : 41758 427290 0 0 0 0 0 0 0 
_1.ptx 173 : 41758 461498 0 0 0 0 0 0 0 
_1.ptx 174 : 41758 14972931 9344 0 0 8805 3941 0 0 
_1.ptx 175 : 41758 461367 0 0 0 0 0 0 0 
_1.ptx 176 : 41758 461153 0 0 0 0 0 0 0 
_1.ptx 177 : 41758 1603814 192 0 0 8805 3941 0 0 
_1.ptx 178 : 41758 252933 0 0 0 0 0 0 0 
_1.ptx 181 : 89314 19676277 13696 0 0 31109 4096 0 0 
_1.ptx 183 : 89314 6609442 0 0 0 0 0 0 0 
_1.ptx 184 : 89314 631088 0 0 0 0 0 0 0 
_1.ptx 185 : 89314 908688 0 0 0 0 0 0 0 
_1.ptx 186 : 89314 985965 0 0 0 0 0 0 0 
_1.ptx 187 : 89314 23595148 7424 0 0 20681 4096 0 0 
_1.ptx 188 : 89314 631197 0 0 0 0 0 0 0 
_1.ptx 189 : 89314 922340 0 0 0 0 0 0 0 
_1.ptx 190 : 89314 985572 0 0 0 0 0 0 0 
_1.ptx 191 : 89314 65887238 3662336 0 0 28612 4096 0 0 
_1.ptx 192 : 89314 986003 0 0 0 0 0 0 0 
_1.ptx 193 : 89314 984668 0 0 0 0 0 0 0 
_1.ptx 194 : 89314 15518236 10816 0 0 28612 4096 0 0 
_1.ptx 197 : 131072 790848 0 0 0 0 0 0 0 
