kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 102 : 1024 285696 128 0 0 0 0 0 0 
_1.ptx 103 : 1024 11584 0 0 0 0 0 0 0 
_1.ptx 104 : 1024 9024 0 0 0 0 0 0 0 
_1.ptx 105 : 1024 9088 0 0 0 0 0 0 0 
_1.ptx 106 : 1024 13440 0 0 0 0 0 0 0 
_1.ptx 107 : 1024 8192 0 0 0 0 0 0 0 
_1.ptx 108 : 1024 11520 0 0 0 0 0 0 0 
_1.ptx 109 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 110 : 1024 203648 0 0 0 0 0 0 0 
_1.ptx 111 : 1024 11264 0 0 0 0 0 0 0 
_1.ptx 112 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 113 : 1024 11392 0 0 0 0 0 0 0 
_1.ptx 114 : 1024 8192 0 0 0 0 0 0 0 
_1.ptx 115 : 1024 5952 0 0 0 0 0 0 0 
_1.ptx 117 : 32 352 0 0 0 0 0 0 0 
_1.ptx 118 : 32 320 0 0 0 0 0 0 0 
_1.ptx 119 : 32 224 0 0 0 0 0 0 0 
_1.ptx 120 : 32 192 0 0 0 0 0 0 0 
_1.ptx 121 : 32 320 0 0 0 0 0 0 0 
_1.ptx 122 : 32 320 0 0 0 0 0 0 0 
_1.ptx 125 : 1024 7936 0 0 0 0 0 0 0 
_1.ptx 126 : 1024 12000 0 0 0 0 0 0 0 
_1.ptx 127 : 1024 10976 0 0 0 0 0 0 0 
_1.ptx 128 : 1024 9632 0 0 0 0 0 0 0 
_1.ptx 129 : 1024 0 0 0 0 0 0 0 0 
_1.ptx 130 : 1024 9824 0 0 0 0 0 0 0 
_1.ptx 131 : 1024 12064 0 0 0 0 0 0 0 
_1.ptx 132 : 1024 8768 0 0 0 0 0 0 0 
_1.ptx 133 : 1024 12512 0 0 0 0 0 0 0 
_1.ptx 134 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 135 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 136 : 1024 7264 0 0 0 0 0 0 0 
_1.ptx 139 : 32000 358176 0 0 0 0 0 0 0 
_1.ptx 140 : 32000 450720 4096 0 0 1000 1000 0 0 
_1.ptx 141 : 32000 262336 0 0 0 0 0 0 0 
_1.ptx 142 : 32000 208896 0 0 0 0 0 0 0 
_1.ptx 144 : 32 96 0 0 0 0 0 0 0 
_1.ptx 145 : 32 352 0 0 0 0 0 0 0 
_1.ptx 146 : 32 8480 128 0 0 1 1 0 0 
_1.ptx 147 : 32 8480 0 0 0 1 1 0 0 
_1.ptx 148 : 32 352 0 0 0 0 0 0 0 
_1.ptx 150 : 32 224 0 0 0 0 0 0 0 
_1.ptx 151 : 32 256 0 0 0 0 0 0 0 
_1.ptx 152 : 32 270 0 0 0 0 0 0 1 
_1.ptx 153 : 2 22 0 0 0 0 0 0 0 
_1.ptx 154 : 2 6 0 0 0 0 0 0 0 
_1.ptx 158 : 2 14 0 0 0 0 0 0 0 
_1.ptx 159 : 2 20 0 0 0 0 0 0 0 
_1.ptx 160 : 2 22 0 0 0 0 0 0 0 
_1.ptx 161 : 2 530 128 0 0 1 1 0 0 
_1.ptx 162 : 2 18 0 0 0 0 0 0 0 
_1.ptx 163 : 2 20 0 0 0 0 0 0 0 
_1.ptx 164 : 2 22 0 0 0 0 0 0 0 
_1.ptx 165 : 2 8 0 0 0 1 1 0 0 
_1.ptx 166 : 2 14 0 0 0 0 0 0 0 
_1.ptx 167 : 2 16 0 0 0 0 0 0 0 
_1.ptx 168 : 2 0 0 0 0 0 0 0 0 
_1.ptx 170 : 2 20 0 0 0 0 0 0 0 
_1.ptx 171 : 2 10 0 0 0 1 1 0 0 
_1.ptx 173 : 2 12 0 0 0 0 0 0 0 
_1.ptx 174 : 2 6 0 0 0 0 0 0 0 
_1.ptx 175 : 2 10 32 0 0 1 1 0 0 
_1.ptx 177 : 2 22 0 0 0 0 0 0 0 
_1.ptx 178 : 2 22 0 0 0 0 0 0 0 
_1.ptx 179 : 2 16 0 0 0 0 0 0 0 
_1.ptx 180 : 2 0 0 0 0 0 0 0 0 
_1.ptx 183 : 32000 336992 0 0 0 0 0 0 0 
_1.ptx 184 : 32000 339392 0 0 0 0 0 0 0 
_1.ptx 185 : 32000 266272 0 0 0 0 0 0 0 
_1.ptx 186 : 32000 207296 0 0 0 0 0 0 0 
_1.ptx 189 : 1024 6528 0 0 0 0 0 0 0 
