kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 99 : 3145728 6497898816 12582912 0 0 98304 98304 0 0 
_1.ptx 100 : 3145728 22254848 0 0 0 0 0 0 0 
_1.ptx 101 : 3145728 18933280 0 0 0 0 0 0 0 
_1.ptx 102 : 3145728 22314784 0 0 0 0 0 0 0 
_1.ptx 103 : 3145728 18925664 0 0 0 0 0 0 0 
_1.ptx 104 : 3145728 22452896 0 0 0 0 0 0 0 
_1.ptx 105 : 3145728 18957760 0 0 0 0 0 0 0 
_1.ptx 106 : 3145728 22375840 0 0 0 0 0 0 0 
_1.ptx 107 : 3145728 5285808960 384 0 0 0 0 0 0 
_1.ptx 108 : 3145728 23553952 0 0 0 0 0 0 0 
_1.ptx 109 : 3145728 23104672 0 0 0 0 0 0 0 
_1.ptx 110 : 3145728 24954528 0 0 0 0 0 0 0 
_1.ptx 111 : 3145728 36638592 0 0 0 0 0 0 0 
_1.ptx 112 : 3145728 36315136 0 0 0 0 0 0 0 
_1.ptx 113 : 3145728 35444896 0 0 0 0 0 0 0 
_1.ptx 114 : 3145728 35024480 0 0 0 0 0 0 0 
_1.ptx 115 : 3145728 28839264 0 0 0 0 0 0 0 
_1.ptx 116 : 3145728 28788832 0 0 0 0 0 0 0 
_1.ptx 117 : 3145728 25478912 0 0 0 0 0 0 0 
_1.ptx 118 : 3145728 30423 0 0 0 0 0 0 4438 
_1.ptx 120 : 3140668 44215054 0 0 0 0 0 0 0 
_1.ptx 121 : 3140668 34865961 0 0 0 0 0 0 0 
_1.ptx 122 : 3140668 34876322 0 0 0 0 0 0 0 
_1.ptx 123 : 3140668 34892563 0 0 0 0 0 0 0 
_1.ptx 124 : 3140668 937525828 0 0 0 0 0 0 0 
_1.ptx 125 : 3140668 758711416 0 0 0 0 0 0 0 
_1.ptx 126 : 3140668 35752317 0 0 0 0 0 0 0 
_1.ptx 127 : 3140668 35736953 0 0 0 0 0 0 0 
_1.ptx 128 : 3140668 36020514 0 0 0 0 0 0 0 
_1.ptx 129 : 3140668 29878768 0 0 0 0 0 0 0 
_1.ptx 131 : 3140668 29836635 0 0 0 0 0 0 0 
_1.ptx 133 : 3140668 30095499 0 0 0 0 0 0 0 
_1.ptx 135 : 3145728 32795296 0 0 0 0 0 0 0 
_1.ptx 136 : 3145728 36059680 0 0 0 0 0 0 0 
_1.ptx 137 : 3145728 26385728 0 0 0 0 0 0 0 
_1.ptx 138 : 3145728 19212576 0 0 0 0 0 0 0 
_1.ptx 139 : 24576 148736 0 0 0 0 0 0 0 
_1.ptx 146 : 24576 6120608 0 0 0 0 0 0 0 
_1.ptx 147 : 24576 251392 0 0 0 0 0 0 0 
_1.ptx 148 : 24576 277248 0 0 0 0 0 0 0 
_1.ptx 149 : 24576 5550208 294272 0 0 2304 768 0 0 
_1.ptx 150 : 24576 4973536 189312 0 0 2304 768 0 0 
_1.ptx 151 : 24576 5665792 117376 0 0 2304 768 0 0 
_1.ptx 153 : 24576 148608 0 0 0 0 0 0 0 
_1.ptx 69 : 24576 147456 0 0 0 0 0 0 0 
_1.ptx 70 : 24576 147456 0 0 0 0 0 0 0 
_1.ptx 71 : 24576 149088 0 0 0 0 0 0 0 
_1.ptx 72 : 24576 492064 0 0 0 0 0 0 0 
_1.ptx 73 : 24576 278880 0 0 0 0 0 0 0 
_1.ptx 74 : 24576 194976 0 0 0 0 0 0 0 
_1.ptx 75 : 24576 3209472 128 0 0 0 0 0 0 
_1.ptx 76 : 24576 452032 0 0 0 0 0 0 0 
_1.ptx 77 : 24576 272800 0 0 0 0 0 0 0 
_1.ptx 78 : 24576 14936960 196352 0 0 3072 768 0 0 
_1.ptx 79 : 24576 1855584 0 0 0 0 0 0 0 
_1.ptx 80 : 24576 151584 0 0 0 0 0 0 0 
_1.ptx 81 : 24576 200640 0 0 0 0 0 0 0 
_1.ptx 82 : 24576 0 0 0 0 0 0 0 0 
_1.ptx 83 : 24576 177728 0 0 0 0 0 0 0 
_1.ptx 84 : 24576 930144 0 0 0 0 0 0 0 
_1.ptx 85 : 24576 180288 0 0 0 0 0 0 0 
_1.ptx 86 : 24576 335712 0 0 0 0 0 0 0 
_1.ptx 87 : 24576 466784 0 0 0 0 0 0 0 
_1.ptx 88 : 24576 307552 0 0 0 0 0 0 0 
_1.ptx 89 : 24576 273856 0 0 0 0 0 0 0 
_1.ptx 90 : 24576 300288 0 0 0 0 0 0 0 
_1.ptx 91 : 24576 155648 0 0 0 0 0 0 0 
_1.ptx 92 : 24576 153472 0 0 0 0 0 0 0 
_1.ptx 93 : 24576 151936 0 0 0 0 0 0 0 
_1.ptx 94 : 24576 155456 0 0 0 0 0 0 0 
_1.ptx 95 : 24576 177024 0 0 0 0 0 0 0 
