kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 8247 : 3529536 21368544 0 0 0 0 0 0 0 
_1.ptx 8248 : 3529536 28438400 0 0 0 0 0 0 0 
_1.ptx 8249 : 3529536 21402496 0 0 0 0 0 0 0 
_1.ptx 10752 : 118528 956448 0 0 0 0 0 0 0 
_1.ptx 10753 : 118528 406560 0 0 0 0 0 0 0 
_1.ptx 10755 : 51712 371552 0 0 0 0 0 0 0 
_1.ptx 10757 : 51712 375328 0 0 0 0 0 0 0 
_1.ptx 10761 : 262144 2914880 0 0 0 0 0 0 0 
_1.ptx 10762 : 262144 2927680 0 0 0 0 0 0 0 
_1.ptx 10763 : 262144 2133728 0 0 0 0 0 0 0 
_1.ptx 10764 : 262144 1504992 0 0 0 0 0 0 0 
_1.ptx 10765 : 16384 100128 0 0 0 0 0 0 0 
_1.ptx 10771 : 16384 98443 0 0 0 0 0 0 256 
_1.ptx 10773 : 256 7682 0 0 0 0 0 0 0 
_1.ptx 10774 : 256 2574 0 0 0 0 0 0 0 
_1.ptx 8305 : 3529536 21397472 0 0 0 0 0 0 0 
_1.ptx 10775 : 256 1807 0 0 0 0 0 0 0 
_1.ptx 8306 : 3529536 28529216 0 0 0 0 0 0 0 
_1.ptx 10776 : 256 2573 0 0 0 0 0 0 0 
_1.ptx 8307 : 3529536 21481888 0 0 0 0 0 0 0 
_1.ptx 10777 : 256 2821 0 0 0 0 0 0 0 
_1.ptx 10778 : 256 6705 6016 0 0 256 256 0 0 
_1.ptx 10780 : 256 1817 0 0 0 0 0 0 0 
_1.ptx 10781 : 256 4515 5952 0 0 256 256 0 0 
_1.ptx 10784 : 16384 99168 0 0 0 0 0 0 0 
_1.ptx 8363 : 3529536 21406496 0 0 0 0 0 0 0 
_1.ptx 8364 : 3529536 28477888 0 0 0 0 0 0 0 
_1.ptx 8365 : 3529536 21517824 0 0 0 0 0 0 0 
_1.ptx 7555 : 16384 99520 0 0 0 0 0 0 0 
_1.ptx 7556 : 16384 99680 0 0 0 0 0 0 0 
_1.ptx 7557 : 16384 241952 0 0 0 0 0 0 0 
_1.ptx 7558 : 16384 99104 0 0 0 0 0 0 0 
_1.ptx 7559 : 16384 181152 0 0 0 0 0 0 0 
_1.ptx 7560 : 16384 2256576 128 0 0 0 0 0 0 
_1.ptx 7561 : 16384 238144 0 0 0 0 0 0 0 
_1.ptx 7562 : 16384 184960 0 0 0 0 0 0 0 
_1.ptx 7563 : 16384 185408 0 0 0 0 0 0 0 
_1.ptx 7564 : 16384 126432 0 0 0 0 0 0 0 
_1.ptx 7565 : 16384 109824 0 0 0 0 0 0 0 
_1.ptx 7566 : 16384 154592 0 0 0 0 0 0 0 
_1.ptx 7567 : 16384 135392 0 0 0 0 0 0 0 
_1.ptx 7568 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 7569 : 16384 125056 0 0 0 0 0 0 0 
_1.ptx 7570 : 16384 187936 0 0 0 0 0 0 0 
_1.ptx 7571 : 16384 117376 0 0 0 0 0 0 0 
_1.ptx 7572 : 16384 163840 0 0 0 0 0 0 0 
_1.ptx 7573 : 16384 181120 0 0 0 0 0 0 0 
_1.ptx 7574 : 16384 151424 0 0 0 0 0 0 0 
_1.ptx 7575 : 16384 88608 0 0 0 0 0 0 0 
_1.ptx 7576 : 16384 235392 0 0 0 0 0 0 0 
_1.ptx 7577 : 16384 119072 0 0 0 0 0 0 0 
_1.ptx 7578 : 16384 258688 0 0 0 0 0 0 0 
_1.ptx 7579 : 16384 184384 0 0 0 0 0 0 0 
_1.ptx 7580 : 16384 110240 0 0 0 0 0 0 0 
_1.ptx 7581 : 16384 136128 0 0 0 0 0 0 0 
_1.ptx 7582 : 16384 118784 0 0 0 0 0 0 0 
_1.ptx 7583 : 16384 123264 0 0 0 0 0 0 0 
_1.ptx 7584 : 16384 203168 0 0 0 0 0 0 0 
_1.ptx 7585 : 16384 123264 0 0 0 0 0 0 0 
_1.ptx 7586 : 16384 208352 0 0 0 0 0 0 0 
_1.ptx 7587 : 16384 86400 0 0 0 0 0 0 0 
_1.ptx 7588 : 16384 75104 0 0 0 0 0 0 0 
_1.ptx 7589 : 16384 99680 0 0 0 0 0 0 0 
_1.ptx 7590 : 16384 100544 0 0 0 0 0 0 0 
_1.ptx 7591 : 16384 108608 0 0 0 0 0 0 0 
_1.ptx 7595 : 262144 2908064 0 0 0 0 0 0 0 
_1.ptx 7596 : 262144 81529632 333440 0 0 8192 8192 0 0 
_1.ptx 8421 : 3529536 21432288 0 0 0 0 0 0 0 
