kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2896960 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2685024 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 2898688 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2130176 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 1392288 0 0 0 0 0 0 0 
_1.ptx 104 : 32768 200192 0 0 0 0 0 0 0 
_1.ptx 105 : 32768 210048 0 0 0 0 0 0 0 
_1.ptx 106 : 32768 274976 0 0 0 0 0 0 0 
_1.ptx 107 : 32768 106432 0 0 0 0 0 0 0 
_1.ptx 109 : 16384 136768 0 512 512 0 0 0 0 
_1.ptx 110 : 16384 138112 0 512 512 0 0 0 0 
_1.ptx 111 : 16384 183040 0 0 0 0 0 0 0 
_1.ptx 112 : 16384 85440 0 512 512 0 0 0 0 
_1.ptx 115 : 32768 203104 0 0 0 0 0 0 0 
_1.ptx 116 : 32768 207872 0 0 0 0 0 0 0 
_1.ptx 117 : 32768 271136 0 0 0 0 0 0 0 
_1.ptx 118 : 32768 158752 0 0 0 0 0 0 0 
_1.ptx 120 : 8192 67296 0 256 256 0 0 0 0 
_1.ptx 121 : 8192 67616 0 256 256 0 0 0 0 
_1.ptx 122 : 8192 91648 0 0 0 0 0 0 0 
_1.ptx 123 : 8192 42432 0 256 256 0 0 0 0 
_1.ptx 125 : 32768 201504 0 0 0 0 0 0 0 
_1.ptx 126 : 32768 214528 0 0 0 0 0 0 0 
_1.ptx 127 : 32768 274784 0 0 0 0 0 0 0 
_1.ptx 128 : 32768 186944 0 0 0 0 0 0 0 
_1.ptx 130 : 4096 33376 0 128 128 0 0 0 0 
_1.ptx 131 : 4096 34112 0 128 128 0 0 0 0 
_1.ptx 132 : 4096 45440 0 0 0 0 0 0 0 
_1.ptx 133 : 4096 21856 0 128 128 0 0 0 0 
_1.ptx 135 : 4096 35072 0 128 128 0 0 0 0 
_1.ptx 136 : 4096 34304 0 128 128 0 0 0 0 
_1.ptx 137 : 4096 45376 0 0 0 0 0 0 0 
_1.ptx 138 : 4096 21792 0 128 128 0 0 0 0 
_1.ptx 140 : 4096 34592 0 128 128 0 0 0 0 
_1.ptx 141 : 4096 35168 0 128 128 0 0 0 0 
_1.ptx 142 : 4096 45696 0 0 0 0 0 0 0 
_1.ptx 143 : 4096 21120 0 128 128 0 0 0 0 
_1.ptx 145 : 4096 35392 0 128 128 0 0 0 0 
_1.ptx 146 : 4096 34272 0 128 128 0 0 0 0 
_1.ptx 147 : 4096 45152 0 0 0 0 0 0 0 
_1.ptx 148 : 4096 21248 0 128 128 0 0 0 0 
_1.ptx 150 : 4096 34752 0 128 128 0 0 0 0 
_1.ptx 151 : 4096 34112 0 128 128 0 0 0 0 
_1.ptx 152 : 4096 45280 0 0 0 0 0 0 0 
_1.ptx 153 : 4096 21408 0 128 128 0 0 0 0 
_1.ptx 155 : 4096 35072 0 128 128 0 0 0 0 
_1.ptx 156 : 4096 34560 0 128 128 0 0 0 0 
_1.ptx 157 : 4096 45216 0 0 0 0 0 0 0 
_1.ptx 158 : 4096 21376 0 128 128 0 0 0 0 
_1.ptx 160 : 32768 207008 0 0 0 0 0 0 0 
_1.ptx 161 : 32768 271904 0 0 0 0 0 0 0 
_1.ptx 64 : 32768 196640 0 0 0 0 0 0 0 
_1.ptx 162 : 32768 199861 0 0 0 0 0 0 128 
_1.ptx 65 : 32768 196800 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 230848 0 0 0 0 0 0 0 
