kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 134 : 65536 429504 0 0 0 0 0 0 0 
_1.ptx 135 : 65536 430464 0 0 0 0 0 0 0 
_1.ptx 136 : 65536 1275104 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 703872 0 0 0 0 0 0 0 
_1.ptx 138 : 65536 4542240 128 0 0 0 0 0 0 
_1.ptx 139 : 65536 566784 0 0 0 0 0 0 0 
_1.ptx 140 : 65536 488704 0 0 0 0 0 0 0 
_1.ptx 141 : 65536 594240 0 0 0 0 0 0 0 
_1.ptx 142 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 144 : 65536 798656 0 0 0 0 0 0 0 
_1.ptx 145 : 65536 782656 0 0 0 0 0 0 0 
_1.ptx 146 : 65536 761440 0 0 0 0 0 0 0 
_1.ptx 147 : 65536 551520 0 0 0 0 0 0 0 
_1.ptx 151 : 65536 205184 0 0 0 0 0 0 0 
_1.ptx 152 : 65536 725088 0 0 0 0 0 0 0 
_1.ptx 153 : 65536 491904 0 0 0 0 0 0 0 
_1.ptx 154 : 65536 577536 0 0 0 0 0 0 0 
_1.ptx 155 : 65536 501568 0 0 0 0 0 0 0 
_1.ptx 156 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 157 : 65536 512864 0 0 0 0 0 0 0 
_1.ptx 158 : 65536 560224 0 0 0 0 0 0 0 
_1.ptx 159 : 65536 498496 0 0 0 0 0 0 0 
_1.ptx 160 : 65536 1287584 0 0 0 0 0 0 0 
_1.ptx 161 : 65536 527520 0 0 0 0 0 0 0 
_1.ptx 162 : 65536 1545152 0 0 0 0 0 0 0 
_1.ptx 163 : 65536 769440 0 0 0 0 0 0 0 
_1.ptx 164 : 65536 820192 0 0 0 0 0 0 0 
_1.ptx 165 : 65536 607360 0 0 0 0 0 0 0 
_1.ptx 166 : 65536 814240 0 0 0 0 0 0 0 
_1.ptx 167 : 65536 1512352 0 0 0 0 0 0 0 
_1.ptx 168 : 65536 626400 0 0 0 0 0 0 0 
_1.ptx 169 : 65536 786528 0 0 0 0 0 0 0 
_1.ptx 170 : 65536 1508704 0 0 0 0 0 0 0 
_1.ptx 171 : 65536 804704 0 0 0 0 0 0 0 
_1.ptx 172 : 65536 807072 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 621600 0 0 0 0 0 0 0 
_1.ptx 174 : 65536 616224 0 0 0 0 0 0 0 
_1.ptx 175 : 65536 596000 0 0 0 0 0 0 0 
_1.ptx 176 : 65536 583552 0 0 0 0 0 0 0 
_1.ptx 177 : 65536 1405760 0 0 0 0 0 0 0 
_1.ptx 178 : 65536 1462112 0 0 0 0 0 0 0 
_1.ptx 179 : 65536 1479712 0 0 0 0 0 0 0 
_1.ptx 180 : 65536 1490400 0 0 0 0 0 0 0 
_1.ptx 181 : 65536 751008 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 893216 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 746560 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 524320 0 0 0 0 0 0 0 
_1.ptx 188 : 655360 279322528 2378368 0 0 40960 20480 0 0 
_1.ptx 189 : 655360 22300000 0 20480 20480 0 0 0 0 
_1.ptx 190 : 655360 6642176 0 0 0 0 0 0 0 
_1.ptx 191 : 655360 7285408 0 0 0 0 0 0 0 
_1.ptx 192 : 655360 7285184 0 0 0 0 0 0 0 
_1.ptx 193 : 655360 5348064 0 0 0 0 0 0 0 
_1.ptx 194 : 655360 3630336 0 0 0 0 0 0 0 
_1.ptx 196 : 65536 407328 0 0 0 0 0 0 0 
_1.ptx 197 : 65536 404224 0 0 0 0 0 0 0 
_1.ptx 198 : 65536 531712 0 0 0 0 0 0 0 
_1.ptx 199 : 65536 400331 0 0 0 0 0 0 256 
_1.ptx 200 : 256 0 0 0 0 0 0 0 0 
_1.ptx 201 : 256 1831 0 0 0 0 0 0 0 
_1.ptx 202 : 256 1576 0 0 0 0 0 0 0 
_1.ptx 203 : 256 2869 0 0 0 0 0 0 0 
_1.ptx 204 : 256 1560 0 0 0 0 0 0 0 
_1.ptx 205 : 256 2892 0 0 0 0 0 0 0 
_1.ptx 206 : 256 2596 0 0 0 0 0 0 0 
_1.ptx 207 : 256 2847 0 0 0 0 0 0 0 
_1.ptx 208 : 256 1647 0 0 0 0 0 0 0 
_1.ptx 209 : 256 2840 0 0 0 0 0 0 0 
_1.ptx 210 : 256 2867 0 0 0 0 0 0 0 
_1.ptx 211 : 256 1851 0 0 0 0 0 0 0 
_1.ptx 212 : 256 2839 0 0 0 0 0 0 0 
_1.ptx 213 : 256 2870 0 0 0 0 0 0 0 
_1.ptx 214 : 256 2846 0 0 0 0 0 0 0 
_1.ptx 215 : 256 2847 0 0 0 0 0 0 0 
_1.ptx 216 : 256 1881 0 0 0 0 0 0 0 
_1.ptx 217 : 256 1858 0 0 0 0 0 0 0 
_1.ptx 218 : 256 1860 0 0 0 0 0 0 0 
_1.ptx 219 : 256 1848 0 0 0 0 0 0 0 
_1.ptx 220 : 256 2788 0 0 0 0 0 0 0 
_1.ptx 221 : 256 3130 0 0 0 0 0 0 0 
_1.ptx 222 : 256 3330 0 0 0 0 0 0 0 
_1.ptx 223 : 256 3605 0 0 0 0 0 0 0 
_1.ptx 224 : 256 2864 0 0 0 0 0 0 0 
_1.ptx 225 : 256 6998 0 0 0 0 0 0 0 
_1.ptx 226 : 256 2845 0 0 0 0 0 0 0 
_1.ptx 227 : 256 1943 0 0 0 0 0 0 0 
_1.ptx 231 : 2560 819654 7808 0 0 2560 2560 0 0 
