kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 69 : 8388608 170062464 0 0 0 0 0 0 0 
_1.ptx 70 : 8388608 60234688 128 0 0 0 0 0 0 
_1.ptx 71 : 8388608 93071808 0 0 0 0 0 0 0 
_1.ptx 72 : 8388608 2664200928 262144 0 0 262144 262144 0 0 
_1.ptx 73 : 8388608 60846816 0 0 0 0 0 0 0 
_1.ptx 74 : 8388608 92962912 0 0 0 0 0 0 0 
_1.ptx 75 : 8388608 3019846336 262144 0 0 262144 262144 0 0 
_1.ptx 76 : 8388608 103014528 0 0 0 0 0 0 0 
_1.ptx 77 : 8388608 75632576 0 0 0 0 0 0 0 
_1.ptx 78 : 8388608 79039520 0 0 0 0 0 0 0 
_1.ptx 79 : 8388608 92573600 0 0 0 0 0 0 0 
_1.ptx 80 : 8388608 108997760 262144 0 0 262144 262144 0 0 
_1.ptx 82 : 8388608 50573184 0 0 0 0 0 0 0 
_1.ptx 63 : 8388608 51506304 0 0 0 0 0 0 0 
_1.ptx 64 : 8388608 51675520 0 0 0 0 0 0 0 
_1.ptx 65 : 8388608 51505312 0 0 0 0 0 0 0 
_1.ptx 66 : 8388608 153427776 0 0 0 0 0 0 0 
_1.ptx 67 : 8388608 98144896 0 0 0 0 0 0 0 
_1.ptx 68 : 8388608 68635744 0 0 0 0 0 0 0 
