kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 77 : 65792 394784 0 0 0 0 0 0 0 
_1.ptx 78 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 79 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 80 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 81 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 83 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 84 : 65792 659424 0 0 0 0 0 0 0 
_1.ptx 85 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 86 : 65792 461568 0 0 0 0 0 0 0 
_1.ptx 87 : 65792 659808 0 0 0 0 0 0 0 
_1.ptx 88 : 65792 723904 0 0 0 0 0 0 0 
_1.ptx 89 : 65792 724544 0 0 0 0 0 0 0 
_1.ptx 90 : 65792 460864 0 0 0 0 0 0 0 
_1.ptx 91 : 65792 658784 0 0 0 0 0 0 0 
_1.ptx 92 : 65792 449792 128 0 0 0 0 0 0 
_1.ptx 93 : 65792 723840 0 0 0 0 0 0 0 
_1.ptx 94 : 65792 17642272 263168 0 0 2056 2056 0 0 
_1.ptx 95 : 65792 329760 0 2056 2056 0 0 0 0 
_1.ptx 97 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 98 : 65792 723808 0 0 0 0 0 0 0 
_1.ptx 99 : 65792 1505056 1024 0 0 0 0 0 0 
_1.ptx 100 : 65792 723936 0 0 0 0 0 0 0 
_1.ptx 101 : 65792 330432 0 2056 2056 0 0 0 0 
_1.ptx 103 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 104 : 65792 723776 0 0 0 0 0 0 0 
_1.ptx 105 : 65792 2233600 1024 0 0 0 0 0 0 
_1.ptx 106 : 65792 723808 0 0 0 0 0 0 0 
_1.ptx 107 : 65792 329600 0 2056 2056 0 0 0 0 
_1.ptx 109 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 110 : 65792 723808 0 0 0 0 0 0 0 
_1.ptx 111 : 65792 2255680 1024 0 0 0 0 0 0 
_1.ptx 112 : 65792 723840 0 0 0 0 0 0 0 
_1.ptx 113 : 65792 330784 0 2056 2056 0 0 0 0 
_1.ptx 115 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 116 : 65792 723904 0 0 0 0 0 0 0 
_1.ptx 117 : 65792 2227008 1024 0 0 0 0 0 0 
_1.ptx 118 : 65792 723904 0 0 0 0 0 0 0 
_1.ptx 119 : 65792 329920 0 2056 2056 0 0 0 0 
_1.ptx 121 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 122 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 124 : 65792 460544 0 0 0 0 0 0 0 
_1.ptx 125 : 65792 460544 0 0 0 0 0 0 0 
_1.ptx 126 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 127 : 65792 460768 0 0 0 0 0 0 0 
_1.ptx 128 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 129 : 65792 460768 0 0 0 0 0 0 0 
_1.ptx 130 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 131 : 65792 460768 0 0 0 0 0 0 0 
_1.ptx 132 : 65792 805760 128 0 0 0 0 0 0 
_1.ptx 133 : 65792 460544 0 0 0 0 0 0 0 
_1.ptx 135 : 65792 723712 0 0 0 0 0 0 0 
_1.ptx 136 : 65792 580032 0 2056 2056 0 0 0 0 
_1.ptx 137 : 65792 531840 0 0 0 0 0 0 0 
_1.ptx 138 : 65792 328960 0 2056 2056 0 0 0 0 
_1.ptx 140 : 65792 394752 0 0 0 0 0 0 0 
_1.ptx 142 : 65792 460544 0 0 0 0 0 0 0 
_1.ptx 143 : 65792 686912 0 0 0 0 0 0 0 
_1.ptx 144 : 65792 767520 0 0 0 0 0 0 0 
_1.ptx 145 : 65792 476256 0 0 0 0 0 0 0 
_1.ptx 146 : 65792 398592 0 0 0 0 0 0 0 
_1.ptx 147 : 65792 725440 0 0 0 0 0 0 0 
_1.ptx 148 : 65792 514848 128 0 0 0 0 0 0 
_1.ptx 149 : 65792 723712 0 0 0 0 0 0 0 
_1.ptx 150 : 65792 460672 0 0 0 0 0 0 0 
