kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 824 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 825 : 4096 47072 0 0 0 0 0 0 0 
_1.ptx 826 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 827 : 4096 45056 0 0 0 0 0 0 0 
_1.ptx 828 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 829 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 830 : 4096 32768 0 0 0 0 0 0 0 
_1.ptx 831 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 832 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 833 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 834 : 4096 32768 0 0 0 0 0 0 0 
_1.ptx 835 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 836 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 837 : 4096 32768 0 0 0 0 0 0 0 
_1.ptx 838 : 4096 45952 0 0 0 0 0 0 0 
_1.ptx 839 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 840 : 4096 25472 0 0 0 0 0 0 0 
_1.ptx 841 : 4096 35648 0 0 0 0 0 0 0 
_1.ptx 842 : 4096 32768 0 0 0 0 0 0 0 
_1.ptx 843 : 4096 42112 0 0 0 0 0 0 0 
_1.ptx 844 : 4096 26688 0 0 0 0 0 0 0 
_1.ptx 845 : 4096 46976 0 0 0 0 0 0 0 
_1.ptx 846 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 847 : 4096 33120 0 0 0 0 0 0 0 
_1.ptx 848 : 4096 43520 0 0 0 0 0 0 0 
_1.ptx 849 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 850 : 4096 42880 0 0 0 0 0 0 0 
_1.ptx 851 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 852 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 853 : 4096 32768 0 0 0 0 0 0 0 
_1.ptx 854 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 855 : 4096 32768 0 0 0 0 0 0 0 
_1.ptx 856 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 857 : 4096 45056 0 0 0 0 0 0 0 
_1.ptx 858 : 4096 45056 0 0 0 0 0 0 0 
_1.ptx 859 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 860 : 4096 45056 0 0 0 0 0 0 0 
_1.ptx 861 : 4096 25600 0 0 0 0 0 0 0 
_1.ptx 862 : 4096 25600 0 0 0 0 0 0 0 
_1.ptx 863 : 4096 25600 0 0 0 0 0 0 0 
_1.ptx 864 : 4096 25600 0 0 0 0 0 0 0 
_1.ptx 865 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 866 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 867 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 868 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 869 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 870 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 873 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 874 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 875 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 876 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 877 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 878 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 882 : 327680 1966080 0 0 0 0 0 0 0 
_1.ptx 883 : 327680 8850720 1310720 0 0 0 0 0 0 
_1.ptx 885 : 327680 1966080 0 0 0 0 0 0 0 
_1.ptx 886 : 327680 9272864 1310720 0 0 0 0 0 0 
_1.ptx 887 : 327680 3276960 0 0 0 0 0 0 0 
_1.ptx 888 : 327680 3276928 0 0 0 0 0 0 0 
_1.ptx 889 : 327680 3282208 0 0 0 0 0 0 0 
_1.ptx 890 : 327680 2621568 0 0 0 0 0 0 0 
_1.ptx 891 : 327680 1941504 0 0 0 0 0 0 0 
_1.ptx 894 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 895 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 896 : 4096 24608 0 0 0 0 0 0 0 
_1.ptx 897 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 898 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 899 : 4096 29120 0 0 0 0 0 0 0 
_1.ptx 903 : 327680 50684992 35072 0 0 0 0 0 0 
_1.ptx 904 : 327680 1685216 1310720 0 0 0 0 0 0 
_1.ptx 905 : 327680 3276800 0 0 0 0 0 0 0 
_1.ptx 906 : 327680 3288736 0 0 0 0 0 0 0 
_1.ptx 907 : 327680 3301152 0 0 0 0 0 0 0 
_1.ptx 908 : 327680 2621600 0 0 0 0 0 0 0 
_1.ptx 909 : 327680 1941504 0 0 0 0 0 0 0 
_1.ptx 911 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 912 : 4096 28768 0 0 0 0 0 0 0 
_1.ptx 913 : 4096 25376 0 0 0 0 0 0 0 
_1.ptx 914 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 918 : 163840 1653248 0 0 0 0 0 0 0 
_1.ptx 919 : 163840 1148160 0 0 0 0 0 0 0 
_1.ptx 920 : 163840 1311008 0 0 0 0 0 0 0 
_1.ptx 921 : 163840 0 0 0 0 0 0 0 0 
_1.ptx 922 : 163840 1802240 0 0 0 0 0 0 0 
_1.ptx 923 : 163840 1638688 0 0 0 0 0 0 0 
_1.ptx 924 : 163840 491520 0 0 0 0 0 0 0 
_1.ptx 925 : 163840 2341728 0 0 0 0 0 0 0 
_1.ptx 926 : 163840 2700000 0 0 0 0 0 0 0 
_1.ptx 927 : 163840 1802272 0 0 0 0 0 0 0 
_1.ptx 928 : 163840 1147264 0 0 0 0 0 0 0 
_1.ptx 929 : 163840 1811488 0 0 0 0 0 0 0 
_1.ptx 930 : 163840 1802432 0 0 0 0 0 0 0 
_1.ptx 931 : 163840 1146880 0 0 0 0 0 0 0 
_1.ptx 932 : 163840 1689344 0 0 0 0 0 0 0 
_1.ptx 933 : 163840 1802240 0 0 0 0 0 0 0 
_1.ptx 934 : 163840 45634720 637952 0 0 0 0 0 0 
_1.ptx 935 : 163840 1803424 0 0 0 0 0 0 0 
_1.ptx 936 : 163840 1147712 0 0 0 0 0 0 0 
_1.ptx 937 : 163840 984416 0 0 0 0 0 0 0 
_1.ptx 938 : 163840 1146880 0 0 0 0 0 0 0 
_1.ptx 942 : 9748480 107238944 0 0 0 0 0 0 0 
_1.ptx 943 : 9748480 68243904 0 0 0 0 0 0 0 
_1.ptx 944 : 9748480 97501888 0 0 0 0 0 0 0 
_1.ptx 945 : 9748480 107338336 0 0 0 0 0 0 0 
_1.ptx 946 : 9748480 38999712 0 0 0 0 0 0 0 
_1.ptx 948 : 9748480 107413856 0 0 0 0 0 0 0 
_1.ptx 949 : 9748480 730865056 96384 0 0 0 0 0 0 
_1.ptx 950 : 9748480 107236480 0 0 0 0 0 0 0 
_1.ptx 951 : 9748480 107259072 0 0 0 0 0 0 0 
_1.ptx 952 : 9748480 68270144 0 0 0 0 0 0 0 
_1.ptx 953 : 9748480 58538400 0 0 0 0 0 0 0 
_1.ptx 954 : 9748480 146230656 0 0 0 0 0 0 0 
_1.ptx 955 : 9748480 68520512 0 0 0 0 0 0 0 
_1.ptx 956 : 9748480 448437824 0 0 0 0 0 0 0 
_1.ptx 957 : 9748480 107254816 0 0 0 0 0 0 0 
_1.ptx 959 : 9748480 107321120 0 0 0 0 0 0 0 
_1.ptx 960 : 9748480 68268512 0 0 0 0 0 0 0 
_1.ptx 961 : 9748480 68320672 0 0 0 0 0 0 0 
_1.ptx 962 : 9748480 68465216 0 0 0 0 0 0 0 
_1.ptx 963 : 9748480 63010624 0 0 0 0 0 0 0 
_1.ptx 964 : 9748480 146263776 0 0 0 0 0 0 0 
_1.ptx 965 : 9748480 146549760 0 0 0 0 0 0 0 
_1.ptx 966 : 9748480 155977440 0 0 0 0 0 0 0 
_1.ptx 967 : 9748480 68259744 0 0 0 0 0 0 0 
_1.ptx 968 : 9748480 58529216 0 0 0 0 0 0 0 
_1.ptx 969 : 9748480 107238976 0 0 0 0 0 0 0 
_1.ptx 970 : 9748480 136816736 0 0 0 0 0 0 0 
_1.ptx 971 : 9748480 107283168 0 0 0 0 0 0 0 
_1.ptx 972 : 9748480 50603904 0 0 0 0 0 0 0 
_1.ptx 974 : 9748480 107324128 0 0 0 0 0 0 0 
_1.ptx 975 : 9748480 69294368 0 0 0 0 0 0 0 
_1.ptx 976 : 9748480 98805120 0 0 0 0 0 0 0 
_1.ptx 977 : 9748480 107248544 0 0 0 0 0 0 0 
_1.ptx 978 : 9748480 48748160 38993920 0 0 0 0 0 0 
_1.ptx 979 : 9748480 97486816 0 0 0 0 0 0 0 
_1.ptx 980 : 9748480 97489120 0 0 0 0 0 0 0 
_1.ptx 981 : 9748480 77990816 0 0 0 0 0 0 0 
_1.ptx 982 : 9748480 57507936 0 0 0 0 0 0 0 
_1.ptx 984 : 163840 1146880 0 0 0 0 0 0 0 
_1.ptx 985 : 163840 1310784 0 0 0 0 0 0 0 
_1.ptx 986 : 163840 958464 0 0 0 0 0 0 0 
_1.ptx 989 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 990 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 991 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 992 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 993 : 4096 24736 0 0 0 0 0 0 0 
_1.ptx 994 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 995 : 4096 40960 0 0 0 0 0 0 0 
_1.ptx 996 : 4096 45696 0 0 0 0 0 0 0 
_1.ptx 997 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 998 : 4096 24672 0 0 0 0 0 0 0 
_1.ptx 999 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 1000 : 4096 28864 0 0 0 0 0 0 0 
_1.ptx 1004 : 163840 1147776 0 0 0 0 0 0 0 
_1.ptx 1005 : 163840 3359968 0 0 0 0 0 0 0 
_1.ptx 1006 : 163840 1804096 0 0 0 0 0 0 0 
_1.ptx 1007 : 163840 1147328 0 0 0 0 0 0 0 
_1.ptx 1008 : 163840 983040 0 0 0 0 0 0 0 
_1.ptx 1009 : 163840 2463264 0 0 0 0 0 0 0 
_1.ptx 1010 : 163840 1146944 0 0 0 0 0 0 0 
_1.ptx 1011 : 163840 7553632 0 0 0 0 0 0 0 
_1.ptx 1013 : 163840 1480768 0 0 0 0 0 0 0 
_1.ptx 1015 : 163840 831744 655360 0 0 0 0 0 0 
_1.ptx 1017 : 163840 823616 655360 0 0 0 0 0 0 
_1.ptx 1018 : 163840 1642560 0 0 0 0 0 0 0 
_1.ptx 1019 : 163840 1645216 0 0 0 0 0 0 0 
_1.ptx 1020 : 163840 1652064 0 0 0 0 0 0 0 
_1.ptx 1021 : 163840 1646624 0 0 0 0 0 0 0 
_1.ptx 1022 : 163840 1311328 0 0 0 0 0 0 0 
_1.ptx 1023 : 163840 958464 0 0 0 0 0 0 0 
_1.ptx 1025 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 1026 : 4096 28672 0 0 0 0 0 0 0 
_1.ptx 1027 : 4096 24576 0 0 0 0 0 0 0 
