kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 1024000 4915200 0 0 0 0 0 0 0 
_1.ptx 200 : 204800 1228800 0 0 0 0 0 0 0 
_1.ptx 205 : 10496 62976 0 0 0 0 0 0 0 
_1.ptx 207 : 215296 62976 0 0 0 0 0 0 0 
_1.ptx 209 : 204800 614400 0 0 0 0 0 0 0 
_1.ptx 210 : 204800 1433600 0 0 0 0 0 0 0 
_1.ptx 211 : 204800 2048000 0 0 0 0 0 0 0 
_1.ptx 212 : 204800 2260032 0 0 0 0 0 0 0 
_1.ptx 213 : 204800 1061088 819200 0 0 6400 6400 0 0 
_1.ptx 216 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 2368448 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2369600 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 2620448 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1723232 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 62976 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 3457088 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1228800 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1638464 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1485280 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2256288 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1433664 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2252800 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1434816 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2050080 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 3524192 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1433696 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2048896 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2252864 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 894368 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1433600 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2048000 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2252832 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1434976 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 513541952 27852800 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 197131072 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69640032 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69644800 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76603072 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55705888 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40550400 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 125 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 126 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 127 : 215296 2371808 0 0 0 0 0 0 0 
_1.ptx 128 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 129 : 215296 2369632 0 0 0 0 0 0 0 
_1.ptx 130 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 131 : 215296 2374944 0 0 0 0 0 0 0 
_1.ptx 132 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 133 : 215296 2369184 0 0 0 0 0 0 0 
_1.ptx 134 : 215296 1291776 0 0 0 0 0 0 0 
_1.ptx 135 : 215296 2368256 0 0 0 0 0 0 0 
_1.ptx 136 : 215296 645888 0 0 0 0 0 0 0 
_1.ptx 137 : 215296 1729312 0 0 0 0 0 0 0 
_1.ptx 138 : 215296 62976 0 0 0 0 0 0 0 
_1.ptx 139 : 204800 614400 0 0 0 0 0 0 0 
_1.ptx 140 : 204800 1228800 0 0 0 0 0 0 0 
_1.ptx 141 : 204800 1640608 0 0 0 0 0 0 0 
_1.ptx 142 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 143 : 204800 1433728 0 0 0 0 0 0 0 
_1.ptx 144 : 204800 614400 0 0 0 0 0 0 0 
_1.ptx 145 : 204800 1228800 0 0 0 0 0 0 0 
_1.ptx 146 : 204800 1732544 0 0 0 0 0 0 0 
_1.ptx 147 : 204800 1292416 0 0 0 0 0 0 0 
_1.ptx 148 : 204800 1289472 0 0 0 0 0 0 0 
_1.ptx 149 : 204800 1228800 0 0 0 0 0 0 0 
_1.ptx 150 : 204800 1229824 0 0 0 0 0 0 0 
_1.ptx 151 : 204800 1434080 0 0 0 0 0 0 0 
_1.ptx 154 : 1024000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 1024000 7170208 0 0 0 0 0 0 0 
_1.ptx 156 : 1024000 11266208 0 0 0 0 0 0 0 
_1.ptx 157 : 1024000 7233536 0 0 0 0 0 0 0 
_1.ptx 158 : 1024000 11368288 0 0 0 0 0 0 0 
_1.ptx 159 : 1024000 7480608 0 0 0 0 0 0 0 
