kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1741 : 875211 5094594 0 0 0 0 0 0 51 
_1.ptx 1744 : 26112 156672 0 0 0 0 0 0 0 
_1.ptx 1746 : 26112 78336 0 0 0 0 0 0 0 
_1.ptx 1747 : 26112 288352 0 0 0 0 0 0 0 
_1.ptx 1748 : 26112 120768 0 0 0 0 0 0 0 
_1.ptx 1749 : 26112 88128 0 0 0 0 0 0 0 
_1.ptx 1750 : 26112 289376 0 0 0 0 0 0 0 
_1.ptx 1751 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1752 : 26112 182784 0 0 0 0 0 0 0 
_1.ptx 1753 : 26112 261120 0 0 0 0 0 0 0 
_1.ptx 1754 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1755 : 26112 1042720 6528 0 0 816 816 0 0 
_1.ptx 1756 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1757 : 26112 626816 640 0 0 816 816 0 0 
_1.ptx 1758 : 26112 287488 0 0 0 0 0 0 0 
_1.ptx 1760 : 26112 104448 0 0 0 0 0 0 0 
_1.ptx 1761 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1762 : 26112 1029120 6528 0 0 816 816 0 0 
_1.ptx 1763 : 26112 287264 0 0 0 0 0 0 0 
_1.ptx 1764 : 26112 626816 640 0 0 816 816 0 0 
_1.ptx 1765 : 26112 287776 0 0 0 0 0 0 0 
_1.ptx 1767 : 26112 207008 0 0 0 0 0 0 0 
_1.ptx 1768 : 26112 78336 0 0 0 0 0 0 0 
_1.ptx 1769 : 26112 208896 0 0 0 0 0 0 0 
_1.ptx 1770 : 26112 0 0 0 0 0 0 0 0 
_1.ptx 1771 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1772 : 26112 261120 0 0 0 0 0 0 0 
_1.ptx 1773 : 26112 182784 0 0 0 0 0 0 0 
_1.ptx 1774 : 26112 156672 0 0 0 0 0 0 0 
_1.ptx 1775 : 26112 209056 0 0 0 0 0 0 0 
_1.ptx 1776 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1777 : 26112 182784 0 0 0 0 0 0 0 
_1.ptx 1778 : 26112 182784 0 0 0 0 0 0 0 
_1.ptx 1779 : 26112 78336 0 0 0 0 0 0 0 
_1.ptx 1780 : 26112 336192 0 0 0 0 0 0 0 
_1.ptx 1781 : 26112 283968 0 0 0 0 0 0 0 
_1.ptx 1782 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1783 : 26112 104448 0 0 0 0 0 0 0 
_1.ptx 1784 : 26112 288256 0 0 0 0 0 0 0 
_1.ptx 1785 : 26112 184000 0 0 0 0 0 0 0 
_1.ptx 1789 : 875211 5262082 0 0 0 0 0 0 0 
_1.ptx 1790 : 875211 5259426 0 0 0 0 0 0 0 
_1.ptx 1791 : 875211 7002200 0 0 0 0 0 0 0 
_1.ptx 1792 : 875211 7878219 0 0 0 0 0 0 0 
_1.ptx 1793 : 875211 4378880 3502272 0 0 27387 27387 0 0 
_1.ptx 1794 : 875211 8752110 0 0 0 0 0 0 0 
_1.ptx 1795 : 875211 8752366 0 0 0 0 0 0 0 
_1.ptx 1796 : 875211 7001688 0 0 0 0 0 0 0 
_1.ptx 1797 : 875211 5094594 0 0 0 0 0 0 51 
_1.ptx 1800 : 26112 156672 0 0 0 0 0 0 0 
_1.ptx 1802 : 26112 183008 0 0 0 0 0 0 0 
_1.ptx 1803 : 26112 78336 0 0 0 0 0 0 0 
_1.ptx 1804 : 26112 209056 0 0 0 0 0 0 0 
_1.ptx 1805 : 26112 0 0 0 0 0 0 0 0 
_1.ptx 1806 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1807 : 26112 261632 0 0 0 0 0 0 0 
_1.ptx 1808 : 26112 183008 0 0 0 0 0 0 0 
_1.ptx 1809 : 26112 157280 0 0 0 0 0 0 0 
_1.ptx 1810 : 26112 208896 0 0 0 0 0 0 0 
_1.ptx 1811 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1812 : 26112 182784 0 0 0 0 0 0 0 
_1.ptx 1813 : 26112 182976 0 0 0 0 0 0 0 
_1.ptx 72 : 52224 385984 128 0 0 0 0 0 0 
_1.ptx 1814 : 26112 263296 0 0 0 0 0 0 0 
_1.ptx 73 : 52224 313664 0 0 0 0 0 0 0 
_1.ptx 1815 : 26112 104960 0 0 0 0 0 0 0 
_1.ptx 74 : 52224 418176 0 0 0 0 0 0 0 
_1.ptx 1816 : 26112 105376 0 0 0 0 0 0 0 
_1.ptx 75 : 52224 156992 0 0 0 0 0 0 0 
_1.ptx 1817 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 1818 : 26112 287232 0 0 0 0 0 0 0 
_1.ptx 77 : 26112 156672 0 0 0 0 0 0 0 
_1.ptx 1819 : 26112 78464 0 0 0 0 0 0 0 
_1.ptx 78 : 26112 156672 0 0 0 0 0 0 0 
_1.ptx 1820 : 26112 78336 0 0 0 0 0 0 0 
_1.ptx 79 : 26112 182976 0 0 0 0 0 0 0 
_1.ptx 1821 : 26112 244000 128 0 0 0 0 0 0 
_1.ptx 80 : 26112 266240 0 0 0 0 0 0 0 
_1.ptx 1822 : 26112 78784 0 0 0 0 0 0 0 
_1.ptx 81 : 26112 287616 0 0 0 0 0 0 0 
_1.ptx 1823 : 26112 183104 0 0 0 0 0 0 0 
_1.ptx 82 : 26112 792672 6528 0 0 0 0 0 0 
_1.ptx 83 : 26112 790592 0 0 0 0 0 0 0 
_1.ptx 84 : 26112 183200 0 0 0 0 0 0 0 
_1.ptx 85 : 26112 264416 0 0 0 0 0 0 0 
_1.ptx 1827 : 875211 8771918 0 0 0 0 0 0 0 
_1.ptx 86 : 26112 287296 0 0 0 0 0 0 0 
_1.ptx 1828 : 875211 7002040 0 0 0 0 0 0 0 
_1.ptx 87 : 26112 185696 0 0 0 0 0 0 0 
_1.ptx 1829 : 875211 6131962 0 0 0 0 0 0 0 
_1.ptx 88 : 26112 157440 0 0 0 0 0 0 0 
_1.ptx 89 : 26112 156672 0 0 0 0 0 0 0 
_1.ptx 1831 : 875211 133045640 0 0 0 0 0 0 0 
_1.ptx 90 : 26112 209248 0 0 0 0 0 0 0 
_1.ptx 1832 : 875211 8774889 0 0 0 0 0 0 0 
_1.ptx 91 : 26112 156366 0 0 0 0 0 0 51 
_1.ptx 1833 : 875211 5294283 0 0 0 0 0 0 0 
_1.ptx 1834 : 875211 7009240 0 0 0 0 0 0 0 
_1.ptx 93 : 51 214 0 0 0 0 0 0 0 
_1.ptx 1835 : 875211 5211308 0 0 0 0 0 0 6681 
_1.ptx 94 : 51 4864 128 0 0 0 0 0 0 
_1.ptx 95 : 51 561 0 0 0 0 0 0 0 
_1.ptx 1837 : 6681 46992 0 0 0 0 0 0 0 
_1.ptx 96 : 51 357 0 0 0 0 0 0 0 
_1.ptx 97 : 51 561 0 0 0 0 0 0 0 
_1.ptx 1839 : 6681 46767 0 0 0 0 0 0 0 
_1.ptx 98 : 51 510 0 0 0 0 0 0 0 
_1.ptx 99 : 51 357 0 0 0 0 0 0 0 
_1.ptx 100 : 51 510 0 0 0 0 0 0 0 
_1.ptx 1842 : 875211 9640326 0 0 0 0 0 0 0 
_1.ptx 101 : 51 5155 1408 0 0 0 0 0 0 
_1.ptx 1843 : 875211 8752590 0 0 0 0 0 0 0 
_1.ptx 102 : 51 561 0 0 0 0 0 0 0 
_1.ptx 1844 : 875211 9649145 0 0 0 0 0 0 0 
_1.ptx 103 : 51 6188 256 0 0 51 51 0 0 
_1.ptx 1845 : 875211 7022968 0 0 0 0 0 0 0 
_1.ptx 104 : 51 207 0 0 0 0 0 0 0 
_1.ptx 1846 : 875211 8930930 0 0 0 0 0 0 0 
_1.ptx 105 : 51 561 0 0 0 0 0 0 0 
_1.ptx 1847 : 875211 5269556 0 0 0 0 0 0 0 
_1.ptx 106 : 51 306 1632 0 0 51 51 0 0 
_1.ptx 1848 : 875211 7877091 0 0 0 0 0 0 0 
_1.ptx 1849 : 875211 6127149 0 0 0 0 0 0 0 
_1.ptx 108 : 51 204 0 0 0 0 0 0 0 
_1.ptx 1850 : 875211 7011923 0 0 0 0 0 0 0 
_1.ptx 109 : 51 561 0 0 0 0 0 0 0 
_1.ptx 1851 : 875211 7890947 0 0 0 0 0 0 0 
_1.ptx 110 : 51 6652 128 0 0 51 51 0 0 
_1.ptx 1852 : 875211 7002040 0 0 0 0 0 0 0 
_1.ptx 111 : 51 204 0 0 0 0 0 0 0 
_1.ptx 1853 : 875211 0 0 0 0 0 0 0 0 
_1.ptx 112 : 51 561 0 0 0 0 0 0 0 
_1.ptx 1854 : 875211 2663379 0 0 0 0 0 0 0 
_1.ptx 113 : 51 256 1632 0 0 51 51 0 0 
_1.ptx 1855 : 875211 9635673 0 0 0 0 0 0 0 
