kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 206 : 1048576 5327456 0 0 0 0 0 0 0 
_1.ptx 207 : 1048576 15034112 0 0 0 0 0 0 0 
_1.ptx 208 : 1048576 13266176 0 0 0 0 0 0 0 
_1.ptx 209 : 1048576 11261792 0 0 0 0 0 0 0 
_1.ptx 210 : 1048576 11174560 0 0 0 0 0 0 0 
_1.ptx 211 : 1048576 11193056 0 0 0 0 0 0 0 
_1.ptx 212 : 1048576 14022208 0 0 0 0 0 0 0 
_1.ptx 213 : 1048576 14007296 0 0 0 0 0 0 0 
_1.ptx 214 : 1048576 11413408 0 0 0 0 0 0 0 
_1.ptx 215 : 1048576 14026176 0 0 0 0 0 0 0 
_1.ptx 216 : 1048576 14981568 0 0 0 0 0 0 0 
_1.ptx 217 : 1048576 5358528 0 0 0 0 0 0 0 
_1.ptx 218 : 1048576 14487008 0 0 0 0 0 0 0 
_1.ptx 219 : 1048576 14517280 0 0 0 0 0 0 0 
_1.ptx 220 : 1048576 4830464 0 0 0 0 0 0 0 
_1.ptx 221 : 1048576 13400960 0 0 0 0 0 0 0 
_1.ptx 222 : 1048576 14847424 0 0 0 0 0 0 0 
_1.ptx 223 : 1048576 11275840 0 0 0 0 0 0 0 
_1.ptx 224 : 1048576 12525664 0 0 0 0 0 0 0 
_1.ptx 225 : 1048576 14598336 0 0 0 0 0 0 0 
_1.ptx 226 : 1048576 14659264 0 0 0 0 0 0 0 
_1.ptx 227 : 1048576 14519424 0 0 0 0 0 0 0 
_1.ptx 228 : 1048576 10861568 0 0 0 0 0 0 0 
_1.ptx 229 : 1048576 12146752 0 0 0 0 0 0 0 
_1.ptx 230 : 1048576 5320576 0 0 0 0 0 0 0 
_1.ptx 231 : 1048576 14560928 0 0 0 0 0 0 0 
_1.ptx 232 : 1048576 5025696 0 0 0 0 0 0 0 
_1.ptx 233 : 1048576 14727072 0 0 0 0 0 0 0 
_1.ptx 234 : 1048576 422541600 4456576 0 0 65536 32768 0 0 
_1.ptx 235 : 1048576 12953216 0 0 0 0 0 0 0 
_1.ptx 236 : 1048576 472101056 4456576 0 0 65536 32768 0 0 
_1.ptx 237 : 1048576 12787168 0 0 0 0 0 0 0 
_1.ptx 238 : 1048576 12140352 0 0 0 0 0 0 0 
_1.ptx 239 : 1048576 19487648 0 0 0 0 0 0 0 
_1.ptx 240 : 1048576 222416384 262272 0 0 34816 32768 0 0 
_1.ptx 241 : 1048576 11419264 0 0 0 0 0 0 0 
_1.ptx 242 : 1048576 7337792 512 0 0 32768 32768 0 0 
_1.ptx 243 : 1048576 12107168 0 0 0 0 0 0 0 
_1.ptx 244 : 1048576 12098144 0 0 0 0 0 0 0 
_1.ptx 245 : 1048576 22207424 0 0 0 0 0 0 0 
_1.ptx 246 : 1048576 26728384 0 0 0 0 0 0 0 
_1.ptx 247 : 1048576 26031360 0 0 0 0 0 0 0 
_1.ptx 248 : 1048576 15345184 0 0 0 0 0 0 0 
_1.ptx 249 : 1048576 9753248 0 0 0 65536 32768 0 0 
_1.ptx 251 : 1048576 35796320 0 0 0 65536 32768 0 0 
_1.ptx 252 : 1048576 13080928 0 0 0 0 0 0 0 
_1.ptx 253 : 1048576 12374816 0 0 0 0 0 0 0 
_1.ptx 254 : 1048576 20304128 0 0 0 0 0 0 0 
_1.ptx 255 : 1048576 8432128 0 0 0 34816 32768 0 0 
_1.ptx 256 : 1048576 14805632 0 0 0 0 0 0 0 
_1.ptx 257 : 1048576 7246976 128 0 0 32768 32768 0 0 
_1.ptx 258 : 1048576 13813568 0 0 0 0 0 0 0 
_1.ptx 259 : 1048576 13105056 0 0 0 0 0 0 0 
_1.ptx 260 : 1048576 21143072 0 0 0 0 0 0 0 
_1.ptx 261 : 1048576 22040960 0 0 0 0 0 0 0 
_1.ptx 262 : 1048576 13847424 0 0 0 0 0 0 0 
_1.ptx 263 : 1048576 10515104 0 0 0 65536 32768 0 0 
_1.ptx 265 : 1048576 12374752 0 0 0 0 0 0 0 
_1.ptx 266 : 1048576 10426656 0 0 0 0 0 0 0 
_1.ptx 67 : 1048576 7461248 0 0 0 0 0 0 0 
_1.ptx 267 : 1048576 11173856 0 0 0 0 0 0 0 
_1.ptx 68 : 1048576 7614880 0 0 0 0 0 0 0 
_1.ptx 268 : 1048576 10199168 0 0 0 0 0 0 0 
_1.ptx 69 : 1048576 9227264 0 0 0 0 0 0 0 
_1.ptx 269 : 1048576 9196672 0 0 0 0 0 0 0 
_1.ptx 70 : 1048576 7301408 0 0 0 0 0 0 0 
_1.ptx 270 : 1048576 10068352 0 0 0 0 0 0 0 
_1.ptx 71 : 1048576 8442144 0 0 0 0 0 0 0 
_1.ptx 271 : 1048576 9892352 0 0 0 0 0 0 0 
_1.ptx 72 : 1048576 7587392 0 0 0 0 0 0 0 
_1.ptx 272 : 1048576 10628096 0 0 0 0 0 0 0 
_1.ptx 73 : 1048576 32933280 0 0 0 0 0 0 0 
_1.ptx 273 : 1048576 8966048 0 0 0 0 0 0 0 
_1.ptx 74 : 1048576 12334272 0 0 0 0 0 0 0 
_1.ptx 274 : 1048576 10450144 0 0 0 0 0 0 0 
_1.ptx 75 : 1048576 7648160 0 0 0 0 0 0 0 
_1.ptx 275 : 1048576 9519216 0 0 0 0 0 0 1 
_1.ptx 76 : 1048576 7409040 0 0 0 0 0 0 32768 
_1.ptx 277 : 16 176 0 0 0 0 0 0 0 
_1.ptx 78 : 65536 441908 128 0 0 0 0 0 0 
_1.ptx 278 : 16 176 0 0 0 0 0 0 0 
_1.ptx 79 : 65536 1930446 0 0 0 0 0 0 0 
_1.ptx 279 : 16 3456 0 0 0 1 1 0 0 
_1.ptx 80 : 65536 767216 0 0 0 0 0 0 0 
_1.ptx 280 : 16 112 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 536628 0 0 0 0 0 0 0 
