kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 102 : 1024 285696 128 0 0 0 0 0 0 
_1.ptx 103 : 1024 11072 0 0 0 0 0 0 0 
_1.ptx 104 : 1024 7808 0 0 0 0 0 0 0 
_1.ptx 105 : 1024 8512 0 0 0 0 0 0 0 
_1.ptx 106 : 1024 26688 0 0 0 0 0 0 0 
_1.ptx 107 : 1024 7488 0 0 0 0 0 0 0 
_1.ptx 108 : 1024 11776 0 0 0 0 0 0 0 
_1.ptx 109 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 110 : 1024 187584 0 0 0 0 0 0 0 
_1.ptx 111 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 112 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 113 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 114 : 1024 8192 0 0 0 0 0 0 0 
_1.ptx 115 : 1024 5952 0 0 0 0 0 0 0 
_1.ptx 117 : 32 352 0 0 0 0 0 0 0 
_1.ptx 118 : 32 320 0 0 0 0 0 0 0 
_1.ptx 119 : 32 192 0 0 0 0 0 0 0 
_1.ptx 120 : 32 288 0 0 0 0 0 0 0 
_1.ptx 121 : 32 288 0 0 0 0 0 0 0 
_1.ptx 122 : 32 288 0 0 0 0 0 0 0 
_1.ptx 125 : 1024 7488 0 0 0 0 0 0 0 
_1.ptx 126 : 1024 11648 0 0 0 0 0 0 0 
_1.ptx 127 : 1024 10848 0 0 0 0 0 0 0 
_1.ptx 128 : 1024 8768 0 0 0 0 0 0 0 
_1.ptx 129 : 1024 0 0 0 0 0 0 0 0 
_1.ptx 130 : 1024 8736 0 0 0 0 0 0 0 
_1.ptx 131 : 1024 10784 0 0 0 0 0 0 0 
_1.ptx 132 : 1024 8064 0 0 0 0 0 0 0 
_1.ptx 133 : 1024 11712 0 0 0 0 0 0 0 
_1.ptx 134 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 135 : 1024 3072 0 0 0 0 0 0 0 
_1.ptx 136 : 1024 7584 0 0 0 0 0 0 0 
_1.ptx 139 : 32000 356224 0 0 0 0 0 0 0 
_1.ptx 140 : 32000 452256 4096 0 0 1000 1000 0 0 
_1.ptx 141 : 32000 261792 0 0 0 0 0 0 0 
_1.ptx 142 : 32000 210368 0 0 0 0 0 0 0 
_1.ptx 144 : 32 96 0 0 0 0 0 0 0 
_1.ptx 145 : 32 352 0 0 0 0 0 0 0 
_1.ptx 146 : 32 8480 128 0 0 1 1 0 0 
_1.ptx 147 : 32 8480 0 0 0 1 1 0 0 
_1.ptx 148 : 32 352 0 0 0 0 0 0 0 
_1.ptx 150 : 32 224 0 0 0 0 0 0 0 
_1.ptx 151 : 32 320 0 0 0 0 0 0 0 
_1.ptx 152 : 32 300 0 0 0 0 0 0 1 
_1.ptx 153 : 2 22 0 0 0 0 0 0 0 
_1.ptx 154 : 2 6 0 0 0 0 0 0 0 
_1.ptx 158 : 2 14 0 0 0 0 0 0 0 
_1.ptx 159 : 2 20 0 0 0 0 0 0 0 
_1.ptx 160 : 2 22 0 0 0 0 0 0 0 
_1.ptx 161 : 2 532 128 0 0 1 1 0 0 
_1.ptx 162 : 2 14 0 0 0 0 0 0 0 
_1.ptx 163 : 2 20 0 0 0 0 0 0 0 
_1.ptx 164 : 2 22 0 0 0 0 0 0 0 
_1.ptx 165 : 2 8 0 0 0 1 1 0 0 
_1.ptx 166 : 2 14 0 0 0 0 0 0 0 
_1.ptx 167 : 2 16 0 0 0 0 0 0 0 
_1.ptx 168 : 2 0 0 0 0 0 0 0 0 
_1.ptx 170 : 2 22 0 0 0 0 0 0 0 
_1.ptx 171 : 2 10 0 0 0 1 1 0 0 
_1.ptx 173 : 2 12 0 0 0 0 0 0 0 
_1.ptx 174 : 2 6 0 0 0 0 0 0 0 
_1.ptx 175 : 2 10 32 0 0 1 1 0 0 
_1.ptx 177 : 2 22 0 0 0 0 0 0 0 
_1.ptx 178 : 2 22 0 0 0 0 0 0 0 
_1.ptx 179 : 2 16 0 0 0 0 0 0 0 
_1.ptx 180 : 2 0 0 0 0 0 0 0 0 
_1.ptx 183 : 32000 337312 0 0 0 0 0 0 0 
_1.ptx 184 : 32000 336960 0 0 0 0 0 0 0 
_1.ptx 185 : 32000 270272 0 0 0 0 0 0 0 
_1.ptx 186 : 32000 204800 0 0 0 0 0 0 0 
_1.ptx 189 : 1024 6400 0 0 0 0 0 0 0 
