kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2898272 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2655872 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 2907136 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2150400 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 1414752 0 0 0 0 0 0 0 
_1.ptx 104 : 32768 201184 0 0 0 0 0 0 0 
_1.ptx 105 : 32768 205888 0 0 0 0 0 0 0 
_1.ptx 106 : 32768 272704 0 0 0 0 0 0 0 
_1.ptx 107 : 32768 99008 0 0 0 0 0 0 0 
_1.ptx 109 : 16384 137760 0 512 512 0 0 0 0 
_1.ptx 110 : 16384 138336 0 512 512 0 0 0 0 
_1.ptx 111 : 16384 181344 0 0 0 0 0 0 0 
_1.ptx 112 : 16384 85056 0 512 512 0 0 0 0 
_1.ptx 115 : 32768 198304 0 0 0 0 0 0 0 
_1.ptx 116 : 32768 205600 0 0 0 0 0 0 0 
_1.ptx 117 : 32768 272480 0 0 0 0 0 0 0 
_1.ptx 118 : 32768 151424 0 0 0 0 0 0 0 
_1.ptx 120 : 8192 67392 0 256 256 0 0 0 0 
_1.ptx 121 : 8192 67232 0 256 256 0 0 0 0 
_1.ptx 122 : 8192 91136 0 0 0 0 0 0 0 
_1.ptx 123 : 8192 41632 0 256 256 0 0 0 0 
_1.ptx 125 : 32768 200544 0 0 0 0 0 0 0 
_1.ptx 126 : 32768 208448 0 0 0 0 0 0 0 
_1.ptx 127 : 32768 271360 0 0 0 0 0 0 0 
_1.ptx 128 : 32768 177952 0 0 0 0 0 0 0 
_1.ptx 130 : 4096 33696 0 128 128 0 0 0 0 
_1.ptx 131 : 4096 33472 0 128 128 0 0 0 0 
_1.ptx 132 : 4096 45440 0 0 0 0 0 0 0 
_1.ptx 133 : 4096 22912 0 128 128 0 0 0 0 
_1.ptx 135 : 4096 36320 0 128 128 0 0 0 0 
_1.ptx 136 : 4096 33920 0 128 128 0 0 0 0 
_1.ptx 137 : 4096 45216 0 0 0 0 0 0 0 
_1.ptx 138 : 4096 23264 0 128 128 0 0 0 0 
_1.ptx 140 : 4096 35744 0 128 128 0 0 0 0 
_1.ptx 141 : 4096 34400 0 128 128 0 0 0 0 
_1.ptx 142 : 4096 45152 0 0 0 0 0 0 0 
_1.ptx 143 : 4096 20832 0 128 128 0 0 0 0 
_1.ptx 145 : 4096 37056 0 128 128 0 0 0 0 
_1.ptx 146 : 4096 33728 0 128 128 0 0 0 0 
_1.ptx 147 : 4096 45152 0 0 0 0 0 0 0 
_1.ptx 148 : 4096 21632 0 128 128 0 0 0 0 
_1.ptx 150 : 4096 36064 0 128 128 0 0 0 0 
_1.ptx 151 : 4096 33632 0 128 128 0 0 0 0 
_1.ptx 152 : 4096 45216 0 0 0 0 0 0 0 
_1.ptx 153 : 4096 22432 0 128 128 0 0 0 0 
_1.ptx 155 : 4096 35616 0 128 128 0 0 0 0 
_1.ptx 156 : 4096 33888 0 128 128 0 0 0 0 
_1.ptx 157 : 4096 45248 0 0 0 0 0 0 0 
_1.ptx 158 : 4096 20704 0 128 128 0 0 0 0 
_1.ptx 160 : 32768 203936 0 0 0 0 0 0 0 
_1.ptx 161 : 32768 267520 0 0 0 0 0 0 0 
_1.ptx 64 : 32768 196864 0 0 0 0 0 0 0 
_1.ptx 162 : 32768 199637 0 0 0 0 0 0 128 
_1.ptx 65 : 32768 196960 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 232928 0 0 0 0 0 0 0 
_1.ptx 164 : 128 912 0 128 128 0 0 0 0 
_1.ptx 67 : 32768 653216 0 0 0 0 0 0 0 
_1.ptx 165 : 128 396 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 427392 0 0 0 0 0 0 0 
_1.ptx 166 : 128 901 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 274336 0 0 0 0 0 0 0 
_1.ptx 167 : 128 1299 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 197664 0 1024 1024 0 0 0 0 
_1.ptx 168 : 128 1408 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 213952 0 0 0 0 0 0 0 
_1.ptx 169 : 128 647 384 0 0 128 128 0 0 
_1.ptx 72 : 32768 196992 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 694624 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 752832 0 0 0 0 0 0 0 
_1.ptx 172 : 32768 200608 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 364288 0 0 0 0 0 0 0 
_1.ptx 76 : 32768 239520 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 3850432 128 0 0 0 0 0 0 
_1.ptx 78 : 32768 270176 0 0 0 0 0 0 0 
_1.ptx 79 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 80 : 32768 203712 0 0 0 0 0 0 0 
_1.ptx 81 : 32768 633888 0 0 0 0 0 0 0 
_1.ptx 82 : 32768 657664 0 0 0 0 0 0 0 
_1.ptx 83 : 32768 566560 0 0 0 0 0 0 0 
_1.ptx 84 : 32768 236928 0 0 0 0 0 0 0 
_1.ptx 85 : 32768 626528 0 0 0 0 0 0 0 
_1.ptx 86 : 32768 368288 0 0 0 0 0 0 0 
_1.ptx 87 : 32768 242528 0 0 0 0 0 0 0 
_1.ptx 91 : 262144 5822336 0 8192 8192 0 0 0 0 
_1.ptx 92 : 262144 100050208 1040256 0 0 8192 8192 0 0 
_1.ptx 93 : 262144 101310688 1040640 0 0 8192 8192 0 0 
_1.ptx 94 : 262144 2895872 0 0 0 0 0 0 0 
_1.ptx 95 : 262144 2897408 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 5004192 0 8192 8192 0 0 0 0 
