kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 134 : 65536 427744 0 0 0 0 0 0 0 
_1.ptx 135 : 65536 433344 0 0 0 0 0 0 0 
_1.ptx 136 : 65536 1054848 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 706592 0 0 0 0 0 0 0 
_1.ptx 138 : 65536 4200096 128 0 0 0 0 0 0 
_1.ptx 139 : 65536 588320 0 0 0 0 0 0 0 
_1.ptx 140 : 65536 505184 0 0 0 0 0 0 0 
_1.ptx 141 : 65536 601280 0 0 0 0 0 0 0 
_1.ptx 142 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 144 : 65536 793664 0 0 0 0 0 0 0 
_1.ptx 145 : 65536 784480 0 0 0 0 0 0 0 
_1.ptx 146 : 65536 750720 0 0 0 0 0 0 0 
_1.ptx 147 : 65536 508864 0 0 0 0 0 0 0 
_1.ptx 151 : 65536 313664 0 0 0 0 0 0 0 
_1.ptx 152 : 65536 738848 0 0 0 0 0 0 0 
_1.ptx 153 : 65536 480928 0 0 0 0 0 0 0 
_1.ptx 154 : 65536 585856 0 0 0 0 0 0 0 
_1.ptx 155 : 65536 493056 0 0 0 0 0 0 0 
_1.ptx 156 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 157 : 65536 484000 0 0 0 0 0 0 0 
_1.ptx 158 : 65536 548800 0 0 0 0 0 0 0 
_1.ptx 159 : 65536 481472 0 0 0 0 0 0 0 
_1.ptx 160 : 65536 948288 0 0 0 0 0 0 0 
_1.ptx 161 : 65536 480352 0 0 0 0 0 0 0 
_1.ptx 162 : 65536 1011232 0 0 0 0 0 0 0 
_1.ptx 163 : 65536 730784 0 0 0 0 0 0 0 
_1.ptx 164 : 65536 783968 0 0 0 0 0 0 0 
_1.ptx 165 : 65536 533696 0 0 0 0 0 0 0 
_1.ptx 166 : 65536 790592 0 0 0 0 0 0 0 
_1.ptx 167 : 65536 918080 0 0 0 0 0 0 0 
_1.ptx 168 : 65536 561600 0 0 0 0 0 0 0 
_1.ptx 169 : 65536 762240 0 0 0 0 0 0 0 
_1.ptx 170 : 65536 1024256 0 0 0 0 0 0 0 
_1.ptx 171 : 65536 769824 0 0 0 0 0 0 0 
_1.ptx 172 : 65536 771168 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 564416 0 0 0 0 0 0 0 
_1.ptx 174 : 65536 577376 0 0 0 0 0 0 0 
_1.ptx 175 : 65536 546496 0 0 0 0 0 0 0 
_1.ptx 176 : 65536 550976 0 0 0 0 0 0 0 
_1.ptx 177 : 65536 941056 0 0 0 0 0 0 0 
_1.ptx 178 : 65536 1000800 0 0 0 0 0 0 0 
_1.ptx 179 : 65536 1034912 0 0 0 0 0 0 0 
