kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 291 : 4194304 46288928 0 0 0 0 0 0 0 
_1.ptx 292 : 4194304 46279456 0 0 0 0 0 0 0 
_1.ptx 293 : 4194304 27828736 0 0 0 131072 131072 0 0 
_1.ptx 295 : 4194304 46289376 0 0 0 0 0 0 0 
_1.ptx 296 : 4194304 46258304 0 0 0 0 0 0 0 
_1.ptx 297 : 4194304 26074880 0 0 0 131072 131072 0 0 
_1.ptx 298 : 4194304 46297248 0 0 0 0 0 0 0 
_1.ptx 299 : 4194304 46222944 0 0 0 0 0 0 0 
_1.ptx 300 : 4194304 23970720 0 0 0 131072 131072 0 0 
_1.ptx 302 : 4194304 25282112 0 0 0 0 0 0 0 
_1.ptx 237 : 4194304 25357536 0 0 0 0 0 0 0 
_1.ptx 238 : 4194304 25511008 0 0 0 0 0 0 0 
_1.ptx 239 : 4194304 46746400 0 0 0 0 0 0 0 
_1.ptx 240 : 4194304 14939680 128 0 0 0 0 0 0 
_1.ptx 241 : 4194304 42519456 0 0 0 0 0 0 0 
_1.ptx 242 : 4194304 25831136 0 0 0 0 0 0 0 
_1.ptx 243 : 4194304 46706752 0 0 0 0 0 0 0 
_1.ptx 244 : 4194304 25327200 0 0 0 0 0 0 0 
_1.ptx 245 : 4194304 46785120 0 0 0 0 0 0 0 
_1.ptx 246 : 4194304 25309344 0 0 0 0 0 0 0 
_1.ptx 247 : 4194304 46338496 0 0 0 0 0 0 0 
_1.ptx 248 : 4194304 33763456 0 0 0 0 0 0 0 
_1.ptx 249 : 4194304 46280512 0 0 0 0 0 0 0 
_1.ptx 250 : 4194304 42688832 0 0 0 0 0 0 0 
_1.ptx 251 : 4194304 29708864 0 0 0 0 0 0 0 
_1.ptx 252 : 4194304 42709408 0 0 0 0 0 0 0 
_1.ptx 253 : 4194304 29757952 0 0 0 0 0 0 0 
_1.ptx 254 : 4194304 14053344 0 0 0 0 0 0 0 
_1.ptx 255 : 4194304 46296832 0 0 0 0 0 0 0 
_1.ptx 256 : 4194304 46259552 0 0 0 0 0 0 0 
_1.ptx 257 : 4194304 29690976 0 0 0 0 0 0 0 
_1.ptx 258 : 4194304 42673632 0 0 0 0 0 0 0 
_1.ptx 259 : 4194304 46249792 0 0 0 0 0 0 0 
_1.ptx 260 : 4194304 1278564640 16777216 0 0 131072 131072 0 0 
_1.ptx 262 : 4194304 46284864 0 0 0 0 0 0 0 
_1.ptx 263 : 4194304 29669632 0 0 0 0 0 0 0 
_1.ptx 264 : 4194304 42464352 0 0 0 0 0 0 0 
_1.ptx 265 : 4194304 46240864 0 0 0 0 0 0 0 
_1.ptx 266 : 4194304 1236897824 16777216 0 0 131072 131072 0 0 
_1.ptx 268 : 4194304 46289216 0 0 0 0 0 0 0 
_1.ptx 269 : 4194304 29596096 0 0 0 0 0 0 0 
_1.ptx 270 : 4194304 42558304 0 0 0 0 0 0 0 
_1.ptx 271 : 4194304 46264896 0 0 0 0 0 0 0 
_1.ptx 272 : 4194304 1241033504 16777216 0 0 131072 131072 0 0 
_1.ptx 274 : 4194304 46243840 0 0 0 0 0 0 0 
_1.ptx 275 : 4194304 29652928 0 0 0 0 0 0 0 
_1.ptx 276 : 4194304 42446912 0 0 0 0 0 0 0 
_1.ptx 277 : 4194304 46251616 0 0 0 0 0 0 0 
_1.ptx 278 : 4194304 1305113472 16777216 0 0 131072 131072 0 0 
_1.ptx 280 : 4194304 46232256 0 0 0 0 0 0 0 
_1.ptx 281 : 4194304 46263168 0 0 0 0 0 0 0 
_1.ptx 283 : 4194304 46284992 0 0 0 0 0 0 0 
_1.ptx 284 : 4194304 46272544 0 0 0 0 0 0 0 
_1.ptx 286 : 4194304 15615808 0 0 0 0 0 0 0 
_1.ptx 287 : 4194304 46318624 0 0 0 0 0 0 0 
_1.ptx 288 : 4194304 46327552 0 0 0 0 0 0 0 
_1.ptx 289 : 4194304 46299808 0 0 0 0 0 0 0 
_1.ptx 290 : 4194304 27012032 0 0 0 131072 131072 0 0 
