kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 2644204 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 531079 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 536793 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5178681 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5226191 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3321066 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4159888 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2305025 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 778885 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1033411 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 910474 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 769128 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1030883 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 911658 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1034150 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 774518 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1026569 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 391575 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 639909 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 450245 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 437174 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 667041 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 685893 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 263476 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 263426 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 266833 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 274040 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 277011 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 282964 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 281760 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 687402 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 686651 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 686899 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 686412 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 689376 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 687181 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 282165 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 388569 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 502409 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 115186 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 259759 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 259599 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 260024 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 259519 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 62973 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 211471 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 211983 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 213191 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 211854 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 215704 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 173131 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 173029 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 383358 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 211474 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 211443 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 211554 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 696278 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 692390 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 691934 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 699674 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 564736 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 563620 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1165777 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 691422 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 688133 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 690625 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 685900 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 561372 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 568664 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 375018 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 500526 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 374673 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 437985 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 442511 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 446186 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 396166 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 689361 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 442524 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 689576 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 685718 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 316578 1952 0 0 0 0 0 0 
_1.ptx 921 : 62282 374074 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 685961 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 313773 1216 0 0 0 0 0 0 
_1.ptx 924 : 62282 374029 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 685770 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 324531 1664 0 0 0 0 0 0 
_1.ptx 927 : 62282 374152 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 686091 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 312975 2272 0 0 0 0 0 0 
_1.ptx 931 : 62282 374013 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 686592 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 375278 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 686455 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 374389 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 687919 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 690272 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 561266 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 563461 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 1322556 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 694239 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 697293 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 702576 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 689590 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 569372 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 565807 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 377728 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 504164 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 33032 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 401340 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 341968 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 891976 0 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 893114 0 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 892337 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 892655 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1327253 0 0 0 0 0 0 0 
