kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 1853632 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2107968 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2892672 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2639872 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 1866880 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1617920 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2113504 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2901632 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1856224 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1850464 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2639424 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 788704 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2901792 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 788992 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2904064 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1602176 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 1871616 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 290260832 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 291455392 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9459360 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10565792 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10508384 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10528416 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8443584 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 4735424 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1580288 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 1320928 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2897024 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2893184 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2108608 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1187712 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 398976 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 3978016 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5291872 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 2791328 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1408926 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1226256 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1392847 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2176192 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2247201 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2501952 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2643890 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2178309 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1409340 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2179272 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2194728 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 2170776 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 2155691 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 2894499 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 1324000 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 2883370 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 2884042 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 199296 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 2897525 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 230688 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2119754 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 595584 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 395456 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 262592 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 198016 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 4691328 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 197472 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4003968 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 265760 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5290816 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 200928 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 3567936 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 203136 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 395460 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 263264 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 197920 0 0 0 0 0 0 0 
_1.ptx 175 : 256 1798 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 200704 0 0 0 0 0 0 0 
_1.ptx 176 : 256 771 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1850 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2649 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2914 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 197472 0 0 0 0 0 0 0 
_1.ptx 180 : 256 1292 1088 0 0 256 256 0 0 
_1.ptx 83 : 65536 530016 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 729152 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 723360 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 474752 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 526176 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 415072 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 198784 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 468000 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 725536 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 676992 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 197632 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 682880 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 727616 0 0 0 0 0 0 0 
_1.ptx 92 : 65536 725632 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 1853472 0 0 0 0 0 0 0 
