kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 995 : 4718592 37885856 0 0 0 0 0 0 0 
_2.ptx 996 : 4718592 22117856 0 0 0 0 0 0 10240 
_2.ptx 998 : 1046528 6279168 0 0 0 0 0 0 0 
_2.ptx 999 : 1046528 8376992 0 0 0 0 0 0 0 
_2.ptx 1000 : 1046528 8397403 0 0 0 0 0 0 0 
_2.ptx 1001 : 1046528 11525836 0 0 0 0 0 0 0 
_2.ptx 1002 : 1046528 10491680 0 0 0 0 0 0 0 
_2.ptx 1003 : 1046528 7376081 0 0 0 0 0 0 0 
_2.ptx 1004 : 1046528 11513449 0 0 0 0 0 0 0 
_2.ptx 1005 : 1046528 7327796 0 0 0 0 0 0 0 
_2.ptx 1006 : 1046528 11127446 0 0 0 0 0 0 0 
_2.ptx 1007 : 1046528 11554106 0 0 0 0 0 0 0 
_2.ptx 1008 : 1046528 9422121 0 69632 40960 0 0 0 0 
_2.ptx 1010 : 1046528 11641220 0 0 0 0 0 0 0 
_2.ptx 1011 : 1046528 10468573 0 0 0 0 0 0 0 
_2.ptx 1012 : 1046528 7332172 0 0 0 0 0 0 0 
_2.ptx 1013 : 1046528 11525043 0 0 0 0 0 0 0 
_2.ptx 1014 : 1046528 7327460 0 0 0 0 0 0 0 
_2.ptx 1015 : 1046528 10654054 0 0 0 0 0 0 0 
_2.ptx 1016 : 1046528 11515867 0 0 0 0 0 0 0 
_2.ptx 1017 : 1046528 9319273 0 69632 40960 0 0 0 0 
_2.ptx 1018 : 1046528 7263449 0 69632 40960 0 0 0 0 
_2.ptx 1020 : 1046528 11907092 0 69632 40960 0 0 0 0 
_2.ptx 1021 : 1046528 11535553 0 0 0 0 0 0 0 
_2.ptx 1022 : 1046528 6256846 0 69632 40960 0 0 0 0 
_2.ptx 1025 : 4718592 49218944 0 0 0 0 0 0 0 
_2.ptx 1026 : 4718592 37887584 0 0 0 0 0 0 0 
_2.ptx 1027 : 4718592 25185312 0 0 0 0 0 0 0 
_3.ptx 828 : 1048576 6297088 0 0 0 0 0 0 0 
_3.ptx 829 : 1048576 6296768 0 0 0 0 0 0 0 
_3.ptx 830 : 1048576 11591072 0 0 0 0 0 0 0 
_2.ptx 1030 : 524288 3147104 0 0 0 0 0 0 0 
_3.ptx 831 : 1048576 6294560 0 0 0 0 0 0 0 
_3.ptx 832 : 1048576 11553312 0 0 0 0 0 0 0 
_2.ptx 1032 : 524288 2133184 0 0 0 0 0 0 0 
