kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 1227 : 1000000 11021280 0 0 0 0 0 0 0 
_3.ptx 1228 : 1000000 3008896 0 0 0 0 0 0 0 
_3.ptx 1232 : 1000000 277664160 4000000 0 0 31250 31250 0 0 
_3.ptx 1233 : 1000000 10007168 0 0 0 0 0 0 0 
_3.ptx 1234 : 1000000 318607904 16000000 0 0 125000 31250 0 0 
_3.ptx 1235 : 1000000 7000064 0 0 0 0 0 0 0 
_3.ptx 1236 : 1000000 11000032 0 0 0 0 0 0 0 
_3.ptx 1237 : 1000000 287337856 8000000 0 0 62500 31250 0 0 
_3.ptx 1238 : 1000000 6000000 0 0 0 0 0 0 0 
_3.ptx 1239 : 1000000 8000064 0 0 0 0 0 0 0 
_3.ptx 1240 : 1000000 0 0 0 0 0 0 0 0 
_3.ptx 1242 : 1000000 5920608 0 0 0 31250 31250 0 0 
_3.ptx 1244 : 1000000 276613984 4000000 0 0 31250 31250 0 0 
_3.ptx 1245 : 1000000 10040000 0 0 0 0 0 0 0 
_3.ptx 1246 : 1000000 5041568 0 0 0 31250 31250 0 0 
_3.ptx 1248 : 1000000 277873504 4000000 0 0 31250 31250 0 0 
_3.ptx 1249 : 1000000 10056192 0 0 0 0 0 0 0 
_3.ptx 1250 : 1000000 5089344 0 0 0 31250 31250 0 0 
_3.ptx 1252 : 1000000 6018592 0 0 0 0 0 0 0 
_3.ptx 1266 : 1000000 11020224 0 0 0 0 0 0 0 
_3.ptx 1267 : 1000000 11043648 0 0 0 0 0 0 0 
_3.ptx 1268 : 1000000 8030080 0 0 0 0 0 0 0 
_3.ptx 1269 : 1000000 0 0 0 0 0 0 0 0 
_3.ptx 1272 : 1000192 6017632 0 0 0 0 0 0 0 
_2.ptx 869 : 499968 3067232 0 0 0 0 0 0 0 
_2.ptx 870 : 499968 1501504 0 0 0 0 0 0 0 
_2.ptx 871 : 499968 3001088 0 0 0 0 0 0 0 
_2.ptx 872 : 499968 4066784 0 0 0 0 0 0 0 
_2.ptx 873 : 499968 0 0 0 0 0 0 0 0 
_2.ptx 874 : 499968 3008992 0 0 0 0 0 0 0 
_2.ptx 875 : 499968 3517664 0 0 0 0 0 0 0 
_2.ptx 876 : 499968 4044800 0 0 0 0 0 0 0 
_2.ptx 877 : 499968 3104384 0 0 0 0 0 0 0 
_2.ptx 881 : 499968 3004160 0 0 0 0 0 0 0 
_2.ptx 883 : 499968 3004192 0 0 0 0 0 0 0 
_2.ptx 884 : 499968 5512480 0 0 0 0 0 0 0 
_2.ptx 885 : 499968 3001024 0 0 0 0 0 0 0 
_2.ptx 886 : 499968 3519040 0 0 0 0 0 0 0 
_2.ptx 887 : 499968 5092128 0 0 0 0 0 0 0 
_2.ptx 888 : 499968 3526304 0 0 0 0 0 0 0 
_2.ptx 889 : 499968 5507840 0 0 0 0 0 0 0 
_2.ptx 890 : 499968 3516352 0 0 0 0 0 0 0 
_2.ptx 891 : 499968 5034592 0 0 0 0 0 0 0 
_2.ptx 892 : 499968 5511968 0 0 0 0 0 0 0 
_2.ptx 893 : 499968 1516128 0 0 0 0 0 0 0 
_2.ptx 894 : 499968 5505664 0 0 0 0 0 0 0 
_2.ptx 895 : 499968 134121344 1999872 0 0 15624 15624 0 0 
_2.ptx 896 : 499968 3007520 0 31248 15624 0 0 0 0 
_2.ptx 898 : 499968 5513440 0 0 0 0 0 0 0 
_2.ptx 899 : 499968 5503872 0 0 0 0 0 0 0 
_2.ptx 900 : 499968 3512736 0 0 0 0 0 0 0 
_2.ptx 901 : 499968 5201312 0 0 0 0 0 0 0 
_2.ptx 902 : 499968 3518688 0 0 0 0 0 0 0 
_2.ptx 903 : 499968 5508608 0 0 0 0 0 0 0 
_2.ptx 904 : 499968 3509952 0 0 0 0 0 0 0 
_2.ptx 905 : 499968 5039520 0 0 0 0 0 0 0 
_2.ptx 906 : 499968 5502944 0 0 0 0 0 0 0 
_2.ptx 907 : 499968 5516608 0 0 0 0 0 0 0 
_2.ptx 908 : 499968 134048864 1999872 0 0 15624 15624 0 0 
_2.ptx 909 : 499968 3009696 0 31248 15624 0 0 0 0 
_2.ptx 911 : 499968 3011840 0 0 0 0 0 0 0 
_2.ptx 912 : 499968 3540992 0 0 0 0 0 0 0 
_2.ptx 913 : 499968 3050432 0 0 0 0 0 0 0 
_2.ptx 914 : 499968 4003552 0 0 0 0 0 0 0 
_2.ptx 915 : 499968 0 0 0 0 0 0 0 0 
_2.ptx 916 : 499968 3075904 0 0 0 0 0 0 0 
_2.ptx 919 : 4499712 27030176 0 0 0 0 0 0 0 
_2.ptx 920 : 4499712 36074080 0 0 0 0 0 0 0 
_2.ptx 921 : 4499712 21049638 0 0 0 0 0 0 9765 
_2.ptx 923 : 997983 5987930 0 0 0 0 0 0 0 
_2.ptx 924 : 997983 8093044 0 0 0 0 0 0 0 
_2.ptx 925 : 997983 8170021 0 0 0 0 0 0 0 
_2.ptx 926 : 997983 10999461 0 0 0 0 0 0 0 
_2.ptx 927 : 997983 10995059 0 0 0 0 0 0 0 
_2.ptx 928 : 997983 10019361 0 0 0 0 0 0 0 
_2.ptx 929 : 997983 7019693 0 0 0 0 0 0 0 
_2.ptx 930 : 997983 11011011 0 0 0 0 0 0 0 
_2.ptx 931 : 997983 7031803 0 0 0 0 0 0 0 
_2.ptx 932 : 997983 10513032 0 0 0 0 0 0 0 
_2.ptx 933 : 997983 11011675 0 0 0 0 0 0 0 
_2.ptx 934 : 997983 8990604 0 66402 39060 0 0 0 0 
_2.ptx 935 : 997983 9993228 0 0 0 0 0 0 0 
_2.ptx 936 : 997983 7065970 0 0 0 0 0 0 0 
_2.ptx 937 : 997983 11002245 0 0 0 0 0 0 0 
_2.ptx 938 : 997983 7041631 0 0 0 0 0 0 0 
_2.ptx 939 : 997983 10138022 0 0 0 0 0 0 0 
_2.ptx 940 : 997983 10986085 0 0 0 0 0 0 0 
