kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2786 : 2771 8512 0 0 0 0 0 0 0 
_1.ptx 2787 : 2771 19831 0 0 0 0 0 0 0 
_1.ptx 2791 : 2780 30676 0 0 0 0 0 0 0 
_1.ptx 2792 : 2780 19771 0 0 0 0 0 0 0 
_1.ptx 2793 : 2780 28689 0 0 0 0 0 0 0 
_1.ptx 2794 : 2780 16899 0 0 0 0 0 0 0 
_1.ptx 2795 : 2780 30695 0 0 0 0 0 0 0 
_1.ptx 2796 : 2780 21035 0 0 0 578 221 0 0 
_1.ptx 2798 : 2780 16689 0 0 0 0 0 0 0 
_1.ptx 2799 : 2780 30889 0 0 0 0 0 0 0 
_1.ptx 2800 : 2780 27532 0 0 0 578 221 0 0 
_1.ptx 2802 : 2780 28057 0 0 0 0 0 0 0 
_1.ptx 2803 : 2780 16918 0 0 0 0 0 0 0 
_1.ptx 2804 : 2780 22293 0 0 0 0 0 0 0 
_1.ptx 2805 : 2780 54 0 0 0 0 0 0 4 
_1.ptx 2808 : 7680 77408 0 0 0 0 0 0 0 
_1.ptx 2809 : 7680 61792 0 0 0 0 0 0 0 
_1.ptx 2810 : 7680 46240 0 0 0 0 0 0 0 
_1.ptx 2816 : 7680 46208 0 0 0 0 0 0 0 
_1.ptx 2630 : 7680 46208 0 0 0 0 0 0 0 
_1.ptx 2631 : 7680 46208 0 0 0 0 0 0 0 
_1.ptx 2632 : 7680 92480 0 0 0 0 0 0 0 
_1.ptx 2633 : 7680 508032 128 0 0 0 0 0 0 
_1.ptx 2634 : 7680 98304 0 0 0 0 0 0 0 
_1.ptx 2635 : 7680 23968 0 0 0 0 0 0 0 
_1.ptx 2636 : 7680 23872 0 0 0 0 0 0 0 
_1.ptx 2637 : 7680 85248 0 0 0 0 0 0 0 
_1.ptx 2638 : 7680 47008 0 0 0 0 0 0 0 
_1.ptx 2639 : 7680 84864 0 0 0 0 0 0 0 
_1.ptx 2640 : 7680 84832 0 0 0 0 0 0 0 
_1.ptx 2641 : 7680 77024 0 0 0 0 0 0 0 
_1.ptx 2642 : 7680 1216928 0 0 0 0 0 0 0 
_1.ptx 2643 : 7680 85376 0 0 0 0 0 0 0 
_1.ptx 2644 : 7680 85472 0 0 0 0 0 0 0 
_1.ptx 2645 : 7680 54656 0 0 0 0 0 0 0 
_1.ptx 2646 : 7680 85248 0 0 0 0 0 0 0 
_1.ptx 2647 : 7680 61632 0 0 0 0 0 0 0 
_1.ptx 2648 : 7680 0 0 0 0 0 0 0 0 
_1.ptx 2649 : 7680 23136 0 0 0 0 0 0 0 
_1.ptx 2650 : 7680 62400 0 0 0 0 0 0 0 
_1.ptx 2651 : 7680 0 0 0 0 0 0 0 0 
_1.ptx 2652 : 7680 61984 0 0 0 0 0 0 0 
_1.ptx 2655 : 7680 61824 0 0 0 0 0 0 0 
_1.ptx 2656 : 7680 0 0 0 0 0 0 0 0 
_1.ptx 2657 : 7680 78816 0 0 0 0 0 0 0 
_1.ptx 2658 : 7680 56928 0 0 0 0 0 0 0 
_1.ptx 2659 : 7680 50816 0 0 0 0 0 0 0 
_1.ptx 2660 : 7680 52256 0 0 0 0 0 0 0 
_1.ptx 2661 : 7680 63648 0 0 0 0 0 0 0 
_1.ptx 2662 : 7680 48608 0 0 0 0 0 0 0 
_1.ptx 2663 : 7680 56576 0 0 0 0 0 0 0 
_1.ptx 2666 : 29491200 242433888 0 0 0 0 0 0 0 
_1.ptx 2667 : 29491200 46415 0 0 0 0 0 0 7680 
_1.ptx 2669 : 29483520 89317918 0 0 0 0 0 0 0 
_1.ptx 2670 : 29483520 177589648 0 0 0 0 0 0 0 
_1.ptx 2671 : 29483520 180124911 0 0 0 0 0 0 0 
_1.ptx 2672 : 29483520 210990381 0 0 0 0 0 0 0 
_1.ptx 2673 : 29483520 297695487 0 0 0 0 0 0 0 
