kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 194 : 143360 688160 0 0 0 0 0 0 0 
_1.ptx 195 : 28672 172064 0 0 0 0 0 0 0 
_1.ptx 200 : 2304 13824 0 0 0 0 0 0 0 
_1.ptx 202 : 30976 13856 0 0 0 0 0 0 0 
_1.ptx 204 : 28672 15093792 0 0 0 0 0 0 0 
_1.ptx 205 : 28672 200960 0 0 0 0 0 0 0 
_1.ptx 206 : 28672 287744 0 0 0 0 0 0 0 
_1.ptx 207 : 28672 315616 0 0 0 0 0 0 0 
_1.ptx 208 : 28672 15270848 114688 0 0 896 896 0 0 
_1.ptx 211 : 30976 185856 0 0 0 0 0 0 0 
_1.ptx 123 : 30976 188320 0 0 0 0 0 0 0 
_1.ptx 124 : 30976 188224 0 0 0 0 0 0 0 
_1.ptx 125 : 30976 592256 0 0 0 0 0 0 0 
_1.ptx 126 : 30976 204928 0 0 0 0 0 0 0 
_1.ptx 127 : 30976 377344 0 0 0 0 0 0 0 
_1.ptx 128 : 30976 235424 0 0 0 0 0 0 0 
_1.ptx 129 : 30976 600800 0 0 0 0 0 0 0 
_1.ptx 130 : 30976 211040 0 0 0 0 0 0 0 
_1.ptx 131 : 30976 617568 0 0 0 0 0 0 0 
_1.ptx 132 : 30976 190816 0 0 0 0 0 0 0 
_1.ptx 133 : 30976 343776 0 0 0 0 0 0 0 
_1.ptx 134 : 30976 6425760 128 0 0 0 0 0 0 
_1.ptx 135 : 30976 258336 0 0 0 0 0 0 0 
_1.ptx 136 : 30976 13824 0 0 0 0 0 0 0 
_1.ptx 137 : 28672 1956320 0 0 0 0 0 0 0 
_1.ptx 138 : 28672 173760 0 0 0 0 0 0 0 
_1.ptx 139 : 28672 236928 0 0 0 0 0 0 0 
_1.ptx 140 : 28672 0 0 0 0 0 0 0 0 
_1.ptx 141 : 28672 208128 0 0 0 0 0 0 0 
_1.ptx 142 : 28672 1757920 0 0 0 0 0 0 0 
_1.ptx 143 : 28672 184800 0 0 0 0 0 0 0 
_1.ptx 144 : 28672 237664 0 0 0 0 0 0 0 
_1.ptx 145 : 28672 191264 0 0 0 0 0 0 0 
_1.ptx 146 : 28672 191136 0 0 0 0 0 0 0 
_1.ptx 147 : 28672 187168 0 0 0 0 0 0 0 
_1.ptx 148 : 28672 225952 0 0 0 0 0 0 0 
_1.ptx 151 : 143360 0 0 0 0 0 0 0 0 
_1.ptx 152 : 143360 1024992 0 0 0 0 0 0 0 
_1.ptx 153 : 143360 1728768 0 0 0 0 0 0 0 
_1.ptx 154 : 143360 1013568 0 0 0 0 0 0 0 
_1.ptx 155 : 143360 1582496 0 0 0 0 0 0 0 
_1.ptx 156 : 143360 65020352 0 0 0 0 0 0 0 
_1.ptx 157 : 143360 1016000 0 0 0 0 0 0 0 
_1.ptx 158 : 143360 1719808 0 0 0 0 0 0 0 
_1.ptx 159 : 143360 1583040 0 0 0 0 0 0 0 
_1.ptx 160 : 143360 1841728 0 0 0 0 0 0 0 
_1.ptx 161 : 143360 1019296 0 0 0 0 0 0 0 
_1.ptx 162 : 143360 70879904 0 0 0 0 0 0 0 
_1.ptx 163 : 143360 871744 0 0 0 0 0 0 0 
_1.ptx 164 : 143360 1017664 0 0 0 0 0 0 0 
_1.ptx 168 : 19783680 138571296 0 0 0 0 0 0 0 
_1.ptx 169 : 19783680 198061600 0 0 0 0 0 0 0 
_1.ptx 170 : 19783680 217705120 0 0 0 0 0 0 0 
_1.ptx 171 : 19783680 27855523904 179358848 0 0 19783680 618240 0 0 
_1.ptx 172 : 19783680 19312751072 110208 0 0 618240 618240 0 0 
_1.ptx 173 : 19783680 217637696 0 0 0 0 0 0 0 
_1.ptx 175 : 19783680 178114848 0 0 0 0 0 0 0 
_1.ptx 176 : 19783680 197916640 0 0 0 0 0 0 0 
_1.ptx 177 : 19783680 198184896 0 0 0 0 0 0 0 
_1.ptx 178 : 19783680 197937568 0 0 0 0 0 0 0 
_1.ptx 179 : 19783680 158360704 0 0 0 0 0 0 0 
_1.ptx 180 : 19783680 117861312 0 0 0 0 0 0 0 
_1.ptx 181 : 143360 860192 0 0 0 0 0 0 0 
_1.ptx 185 : 143360 1147296 0 0 0 0 0 0 0 
_1.ptx 186 : 143360 493040 0 0 0 0 0 0 1186 
_1.ptx 188 : 61192 428548 0 0 0 0 0 0 0 
_1.ptx 190 : 61192 428847 0 0 0 0 0 0 0 
_1.ptx 192 : 143360 1433856 0 0 0 0 0 0 0 
_1.ptx 193 : 143360 1147072 0 0 0 0 0 0 0 
