kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 7478 : 49152 355584 0 0 0 0 0 0 0 
_1.ptx 7479 : 49152 410976 0 0 0 0 0 0 0 
_1.ptx 7480 : 49152 378144 0 0 0 0 0 0 0 
_1.ptx 7481 : 49152 369056 0 0 0 0 0 0 0 
_1.ptx 7482 : 49152 370880 0 0 0 0 0 0 0 
_1.ptx 7483 : 49152 399136 0 0 0 0 0 0 0 
_1.ptx 7484 : 49152 425088 0 0 0 0 0 0 0 
_1.ptx 7485 : 49152 422560 0 0 0 0 0 0 0 
_1.ptx 7486 : 49152 415232 0 0 0 0 0 0 0 
_1.ptx 7487 : 49152 566528 0 0 0 0 0 0 0 
_1.ptx 7488 : 49152 555264 0 0 0 0 0 0 0 
_1.ptx 7489 : 49152 555232 0 0 0 0 0 0 0 
_1.ptx 7490 : 49152 507648 0 0 0 0 0 0 0 
_1.ptx 7492 : 49152 418272 0 1536 1536 0 0 0 0 
_1.ptx 7493 : 49152 418304 0 1536 1536 0 0 0 0 
_1.ptx 7494 : 49152 402592 0 0 0 0 0 0 0 
_1.ptx 7495 : 49152 404192 0 0 0 0 0 0 0 
_1.ptx 7496 : 49152 408032 0 0 0 0 0 0 0 
_1.ptx 7497 : 49152 354816 0 0 0 0 0 0 0 
_1.ptx 7499 : 49152 355552 0 0 0 0 0 0 0 
_1.ptx 7500 : 49152 364768 0 0 0 0 0 0 0 
_1.ptx 7501 : 49152 368672 0 0 0 0 0 0 0 
_1.ptx 7502 : 49152 368736 0 0 0 0 0 0 0 
_1.ptx 7503 : 49152 366624 0 0 0 0 0 0 0 
_1.ptx 7504 : 49152 372832 0 0 0 0 0 0 0 
_1.ptx 7505 : 49152 408416 0 0 0 0 0 0 0 
_1.ptx 7506 : 49152 257152 0 1536 1536 0 0 0 0 
_1.ptx 7507 : 49152 351552 0 0 0 0 0 0 0 
_1.ptx 7508 : 49152 358880 0 0 0 0 0 0 0 
_1.ptx 7509 : 49152 365984 0 0 0 0 0 0 0 
_1.ptx 7510 : 49152 408544 0 0 0 0 0 0 0 
_1.ptx 7511 : 49152 360704 0 0 0 0 0 0 0 
_1.ptx 7512 : 49152 344896 0 0 0 0 0 0 0 
_1.ptx 7513 : 49152 347552 0 0 0 0 0 0 0 
_1.ptx 7514 : 49152 348608 0 0 0 0 0 0 0 
_1.ptx 7515 : 49152 409824 0 0 0 0 0 0 0 
_1.ptx 7516 : 49152 420832 0 0 0 0 0 0 0 
_1.ptx 7517 : 49152 406112 0 0 0 0 0 0 0 
_1.ptx 7518 : 49152 548256 0 0 0 0 0 0 0 
_1.ptx 7519 : 49152 544352 0 0 0 0 0 0 0 
_1.ptx 7520 : 49152 549312 0 0 0 0 0 0 0 
_1.ptx 7521 : 49152 502208 0 0 0 0 0 0 0 
_1.ptx 7523 : 49152 451264 0 1536 1536 0 0 0 0 
_1.ptx 7524 : 49152 456032 0 1536 1536 0 0 0 0 
_1.ptx 7525 : 49152 415424 0 0 0 0 0 0 0 
_1.ptx 7526 : 49152 423680 0 0 0 0 0 0 0 
_1.ptx 7527 : 49152 414656 0 0 0 0 0 0 0 
_1.ptx 7528 : 49152 364416 0 0 0 0 0 0 0 
_1.ptx 7530 : 49152 347328 0 0 0 0 0 0 0 
_1.ptx 7531 : 49152 353312 0 0 0 0 0 0 0 
_1.ptx 7532 : 49152 367072 0 0 0 0 0 0 0 
_1.ptx 7533 : 49152 365536 0 0 0 0 0 0 0 
_1.ptx 7534 : 49152 373664 0 0 0 0 0 0 0 
_1.ptx 7535 : 49152 368384 0 0 0 0 0 0 0 
_1.ptx 7536 : 49152 401920 0 0 0 0 0 0 0 
_1.ptx 7537 : 49152 263648 0 1536 1536 0 0 0 0 
_1.ptx 7538 : 49152 358496 0 0 0 0 0 0 0 
_1.ptx 7539 : 49152 362656 0 0 0 0 0 0 0 
_1.ptx 7540 : 49152 377152 0 0 0 0 0 0 0 
_1.ptx 7541 : 49152 410304 0 0 0 0 0 0 0 
_1.ptx 7542 : 49152 365472 0 0 0 0 0 0 0 
_1.ptx 7543 : 49152 360640 0 0 0 0 0 0 0 
_1.ptx 7544 : 49152 355904 0 0 0 0 0 0 0 
_1.ptx 7545 : 49152 373664 0 0 0 0 0 0 0 
_1.ptx 7546 : 49152 404320 0 0 0 0 0 0 0 
_1.ptx 7547 : 49152 407136 0 0 0 0 0 0 0 
_1.ptx 7548 : 49152 406624 0 0 0 0 0 0 0 
_1.ptx 7549 : 49152 550688 0 0 0 0 0 0 0 
_1.ptx 7550 : 49152 542944 0 0 0 0 0 0 0 
_1.ptx 7551 : 49152 548256 0 0 0 0 0 0 0 
_1.ptx 7552 : 49152 517312 0 0 0 0 0 0 0 
_1.ptx 7554 : 49152 416928 0 1536 1536 0 0 0 0 
_1.ptx 7555 : 49152 434112 0 0 0 0 0 0 0 
_1.ptx 7556 : 49152 432064 0 0 0 0 0 0 0 
_1.ptx 7557 : 49152 421760 0 0 0 0 0 0 0 
_1.ptx 7558 : 49152 372672 0 0 0 0 0 0 0 
_1.ptx 7560 : 49152 369184 0 0 0 0 0 0 0 
_1.ptx 7561 : 49152 371424 0 0 0 0 0 0 0 
_1.ptx 7562 : 49152 367392 0 0 0 0 0 0 0 
_1.ptx 7563 : 49152 358816 0 0 0 0 0 0 0 
_1.ptx 7564 : 49152 347072 0 0 0 0 0 0 0 
_1.ptx 7565 : 49152 351392 0 0 0 0 0 0 0 
_1.ptx 7566 : 49152 399456 0 0 0 0 0 0 0 
_1.ptx 7567 : 49152 263456 0 1536 1536 0 0 0 0 
_1.ptx 7568 : 49152 358880 0 0 0 0 0 0 0 
_1.ptx 7569 : 49152 364096 0 0 0 0 0 0 0 
_1.ptx 7570 : 49152 374368 0 0 0 0 0 0 0 
_1.ptx 7571 : 49152 427424 0 0 0 0 0 0 0 
_1.ptx 7572 : 49152 374592 0 0 0 0 0 0 0 
_1.ptx 7573 : 49152 372320 0 0 0 0 0 0 0 
_1.ptx 7574 : 49152 373792 0 0 0 0 0 0 0 
_1.ptx 7575 : 49152 404128 0 0 0 0 0 0 0 
_1.ptx 7576 : 49152 435104 0 0 0 0 0 0 0 
_1.ptx 7577 : 49152 417568 0 0 0 0 0 0 0 
_1.ptx 7578 : 49152 419424 0 0 0 0 0 0 0 
_1.ptx 7579 : 49152 561536 0 0 0 0 0 0 0 
_1.ptx 7580 : 49152 542944 0 0 0 0 0 0 0 
_1.ptx 7581 : 49152 546944 0 0 0 0 0 0 0 
_1.ptx 7582 : 49152 568448 0 0 0 0 0 0 0 
_1.ptx 7584 : 49152 449472 0 0 0 0 0 0 0 
_1.ptx 7585 : 49152 456256 0 0 0 0 0 0 0 
_1.ptx 7586 : 49152 433344 0 0 0 0 0 0 0 
_1.ptx 7587 : 49152 387680 0 0 0 0 0 0 0 
_1.ptx 7589 : 49152 377824 0 0 0 0 0 0 0 
_1.ptx 7590 : 49152 375456 0 0 0 0 0 0 0 
_1.ptx 7591 : 49152 370560 0 0 0 0 0 0 0 
_1.ptx 7592 : 49152 372448 0 0 0 0 0 0 0 
_1.ptx 7593 : 49152 373216 0 0 0 0 0 0 0 
_1.ptx 7594 : 49152 370816 0 0 0 0 0 0 0 
_1.ptx 7595 : 49152 401536 0 0 0 0 0 0 0 
_1.ptx 7596 : 49152 263296 0 1536 1536 0 0 0 0 
_1.ptx 7597 : 49152 348384 0 0 0 0 0 0 0 
_1.ptx 7598 : 49152 344480 0 0 0 0 0 0 0 
_1.ptx 7599 : 49152 359616 0 0 0 0 0 0 0 
_1.ptx 7600 : 49152 423328 0 0 0 0 0 0 0 
_1.ptx 7601 : 49152 372128 0 0 0 0 0 0 0 
_1.ptx 7602 : 49152 382400 0 0 0 0 0 0 0 
_1.ptx 7603 : 49152 378336 0 0 0 0 0 0 0 
_1.ptx 7604 : 49152 392576 0 0 0 0 0 0 0 
_1.ptx 7605 : 49152 427360 0 0 0 0 0 0 0 
_1.ptx 7606 : 49152 421824 0 0 0 0 0 0 0 
_1.ptx 7607 : 49152 420896 0 0 0 0 0 0 0 
_1.ptx 7608 : 49152 570528 0 0 0 0 0 0 0 
_1.ptx 7609 : 49152 565536 0 0 0 0 0 0 0 
_1.ptx 7610 : 49152 567616 0 0 0 0 0 0 0 
_1.ptx 7611 : 49152 547200 0 0 0 0 0 0 0 
_1.ptx 7613 : 49152 440768 0 0 0 0 0 0 0 
_1.ptx 7614 : 49152 446400 0 0 0 0 0 0 0 
_1.ptx 7615 : 49152 394816 0 0 0 0 0 0 0 
_1.ptx 7616 : 49152 346336 0 0 0 0 0 0 0 
_1.ptx 7618 : 49152 352768 0 0 0 0 0 0 0 
_1.ptx 7619 : 49152 354912 0 0 0 0 0 0 0 
_1.ptx 7620 : 49152 381824 0 0 0 0 0 0 0 
_1.ptx 7621 : 49152 373088 0 0 0 0 0 0 0 
_1.ptx 7622 : 49152 385952 0 0 0 0 0 0 0 
_1.ptx 7623 : 49152 370752 0 0 0 0 0 0 0 
_1.ptx 7624 : 49152 405312 0 0 0 0 0 0 0 
_1.ptx 7625 : 49152 267680 0 1536 1536 0 0 0 0 
_1.ptx 7626 : 49152 360896 0 0 0 0 0 0 0 
_1.ptx 7627 : 49152 367712 0 0 0 0 0 0 0 
_1.ptx 7628 : 49152 373152 0 0 0 0 0 0 0 
_1.ptx 7629 : 49152 405728 0 0 0 0 0 0 0 
_1.ptx 7630 : 49152 379584 0 0 0 0 0 0 0 
_1.ptx 7631 : 49152 357184 0 0 0 0 0 0 0 
_1.ptx 7632 : 49152 345024 0 0 0 0 0 0 0 
_1.ptx 7633 : 49152 358336 0 0 0 0 0 0 0 
_1.ptx 7634 : 49152 411552 0 0 0 0 0 0 0 
_1.ptx 7635 : 49152 412480 0 0 0 0 0 0 0 
_1.ptx 7636 : 49152 406912 0 0 0 0 0 0 0 
_1.ptx 7637 : 49152 566336 0 0 0 0 0 0 0 
_1.ptx 7638 : 49152 549024 0 0 0 0 0 0 0 
_1.ptx 7639 : 49152 563040 0 0 0 0 0 0 0 
_1.ptx 7640 : 49152 551296 0 0 0 0 0 0 0 
_1.ptx 7642 : 49152 444576 0 0 0 0 0 0 0 
_1.ptx 7643 : 49152 452544 0 0 0 0 0 0 0 
_1.ptx 7644 : 49152 436992 0 0 0 0 0 0 0 
_1.ptx 7645 : 49152 381024 0 0 0 0 0 0 0 
_1.ptx 7647 : 49152 373600 0 0 0 0 0 0 0 
_1.ptx 7648 : 49152 365952 0 0 0 0 0 0 0 
_1.ptx 7649 : 49152 363680 0 0 0 0 0 0 0 
_1.ptx 7650 : 49152 374432 0 0 0 0 0 0 0 
_1.ptx 7651 : 49152 372512 0 0 0 0 0 0 0 
_1.ptx 7652 : 49152 358272 0 0 0 0 0 0 0 
_1.ptx 7653 : 49152 399040 0 0 0 0 0 0 0 
_1.ptx 7654 : 49152 259200 0 1536 1536 0 0 0 0 
_1.ptx 7655 : 49152 349248 0 0 0 0 0 0 0 
_1.ptx 7656 : 49152 353376 0 0 0 0 0 0 0 
_1.ptx 7657 : 49152 384608 0 0 0 0 0 0 0 
_1.ptx 7658 : 49152 421120 0 0 0 0 0 0 0 
_1.ptx 7659 : 49152 369632 0 0 0 0 0 0 0 
_1.ptx 7660 : 49152 366400 0 0 0 0 0 0 0 
_1.ptx 7661 : 49152 370496 0 0 0 0 0 0 0 
_1.ptx 7662 : 49152 383488 0 0 0 0 0 0 0 
_1.ptx 7663 : 49152 422400 0 0 0 0 0 0 0 
_1.ptx 7664 : 49152 413280 0 0 0 0 0 0 0 
_1.ptx 7665 : 49152 407232 0 0 0 0 0 0 0 
_1.ptx 7666 : 49152 541184 0 0 0 0 0 0 0 
_1.ptx 7667 : 49152 542528 0 0 0 0 0 0 0 
_1.ptx 7668 : 49152 545056 0 0 0 0 0 0 0 
_1.ptx 7669 : 49152 556800 0 0 0 0 0 0 0 
_1.ptx 7671 : 49152 456736 0 0 0 0 0 0 0 
_1.ptx 7672 : 49152 467904 0 0 0 0 0 0 0 
_1.ptx 7673 : 49152 438624 0 0 0 0 0 0 0 
_1.ptx 7674 : 49152 391808 0 0 0 0 0 0 0 
_1.ptx 7676 : 49152 379776 0 0 0 0 0 0 0 
_1.ptx 7677 : 49152 373376 0 0 0 0 0 0 0 
_1.ptx 7678 : 49152 369792 0 0 0 0 0 0 0 
_1.ptx 7679 : 49152 373664 0 0 0 0 0 0 0 
_1.ptx 7680 : 49152 369696 0 0 0 0 0 0 0 
_1.ptx 7681 : 49152 368608 0 0 0 0 0 0 0 
_1.ptx 7682 : 49152 399264 0 0 0 0 0 0 0 
_1.ptx 7683 : 49152 254976 0 1536 1536 0 0 0 0 
_1.ptx 7684 : 49152 346016 0 0 0 0 0 0 0 
_1.ptx 7685 : 49152 347008 0 0 0 0 0 0 0 
_1.ptx 7686 : 49152 353376 0 0 0 0 0 0 0 
_1.ptx 7687 : 49152 416224 0 0 0 0 0 0 0 
_1.ptx 7688 : 49152 389184 0 0 0 0 0 0 0 
_1.ptx 7689 : 49152 385312 0 0 0 0 0 0 0 
_1.ptx 7690 : 49152 373440 0 0 0 0 0 0 0 
