kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1048576 35032064 0 65536 32768 0 0 0 0 
_1.ptx 99 : 1048576 6955616 0 0 0 0 0 0 0 
_1.ptx 101 : 1048576 7031328 0 0 0 0 0 0 0 
_1.ptx 102 : 1048576 12063584 0 0 0 0 0 0 0 
_1.ptx 103 : 1048576 12882784 0 0 0 0 0 0 0 
_1.ptx 104 : 1048576 9766176 0 0 0 0 0 0 0 
_1.ptx 105 : 1048576 8802272 0 0 0 0 0 0 0 
_1.ptx 106 : 1048576 9399936 0 0 0 0 0 0 0 
_1.ptx 107 : 1048576 8694784 0 0 0 0 0 0 0 
_1.ptx 108 : 1048576 9434304 0 0 0 0 0 0 0 
_1.ptx 109 : 1048576 7750336 0 0 0 0 0 0 0 
_1.ptx 110 : 1048576 9336384 0 0 0 0 0 0 0 
_1.ptx 111 : 1048576 0 0 0 0 0 0 0 0 
_1.ptx 113 : 1048576 8672256 0 0 0 0 0 0 0 
_1.ptx 114 : 1048576 8394368 0 0 0 0 0 0 0 
_1.ptx 115 : 1048576 12242528 0 0 0 0 0 0 0 
_1.ptx 116 : 1048576 12313248 0 0 0 0 0 0 0 
_1.ptx 117 : 1048576 13554688 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 12255136 0 0 0 0 0 0 0 
_1.ptx 119 : 1048576 28779488 0 65536 32768 0 0 0 0 
_1.ptx 120 : 1048576 19553248 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 13084544 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 11986816 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 8395168 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 12612768 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 12211872 0 0 0 0 0 0 0 
_1.ptx 126 : 1048576 84710272 4091072 0 0 65536 32768 0 0 
_1.ptx 129 : 1048576 7130496 0 0 0 0 0 0 0 
_1.ptx 145 : 1048576 6388000 0 0 0 0 0 0 0 
_1.ptx 146 : 1048576 6402048 0 0 0 0 0 0 0 
_1.ptx 147 : 1048576 15125504 0 0 0 0 0 0 0 
_1.ptx 148 : 1048576 6344960 0 0 0 0 0 0 0 
_1.ptx 149 : 1048576 6406720 0 0 0 0 0 0 0 
_1.ptx 150 : 1048576 16129760 0 0 0 0 0 0 0 
_1.ptx 151 : 1048576 6424192 0 0 0 0 0 0 0 
_1.ptx 152 : 1048576 12222784 0 0 0 0 0 0 0 
_1.ptx 153 : 1048576 7436224 0 0 0 0 0 0 0 
_1.ptx 154 : 1048576 11995552 0 0 0 0 0 0 0 
_1.ptx 155 : 1048576 229119072 128 0 0 0 0 0 0 
_1.ptx 156 : 1048576 173567584 0 0 0 0 0 0 0 
_1.ptx 157 : 1048576 8588160 0 0 0 0 0 0 0 
